Region,Market,Store Nbr,Bucket,Tier,Details
42,323,1,>90%,Tier 1,ISA On in Total Store
42,322,2,"> 80%, < 90%",Tier 2,GM Pause
2,21,3,"> 80%, < 90%",Tier 2,GM Pause
42,323,4,>90%,Tier 1,ISA On in Total Store
42,326,5,>90%,Tier 1,ISA On in Total Store
42,326,7,< 80%,Tier 3,Total Store ISA Pause
42,326,8,"> 80%, < 90%",Tier 2,GM Pause
40,335,9,"> 80%, < 90%",Tier 2,GM Pause
44,347,10,"> 80%, < 90%",Tier 2,GM Pause
42,328,11,>90%,Tier 1,ISA On in Total Store
44,347,12,"> 80%, < 90%",Tier 2,GM Pause
42,334,13,"> 80%, < 90%",Tier 2,GM Pause
40,357,14,"> 80%, < 90%",Tier 2,GM Pause
40,333,15,< 80%,Tier 3,Total Store ISA Pause
42,321,16,"> 80%, < 90%",Tier 2,GM Pause
42,334,17,>90%,Tier 1,ISA On in Total Store
42,328,18,"> 80%, < 90%",Tier 2,GM Pause
40,335,19,"> 80%, < 90%",Tier 2,GM Pause
40,357,20,"> 80%, < 90%",Tier 2,GM Pause
40,336,21,>90%,Tier 1,ISA On in Total Store
44,347,22,"> 80%, < 90%",Tier 2,GM Pause
42,135,23,"> 80%, < 90%",Tier 2,GM Pause
42,326,24,>90%,Tier 1,ISA On in Total Store
40,359,25,"> 80%, < 90%",Tier 2,GM Pause
47,411,26,"> 80%, < 90%",Tier 2,GM Pause
40,357,27,>90%,Tier 1,ISA On in Total Store
44,347,28,"> 80%, < 90%",Tier 2,GM Pause
40,359,29,>90%,Tier 1,ISA On in Total Store
40,335,30,"> 80%, < 90%",Tier 2,GM Pause
44,351,31,>90%,Tier 1,ISA On in Total Store
40,333,32,>90%,Tier 1,ISA On in Total Store
42,325,33,>90%,Tier 1,ISA On in Total Store
42,334,34,>90%,Tier 1,ISA On in Total Store
47,407,35,"> 80%, < 90%",Tier 2,GM Pause
12,329,36,>90%,Tier 1,ISA On in Total Store
40,335,37,"> 80%, < 90%",Tier 2,GM Pause
44,47,38,>90%,Tier 1,ISA On in Total Store
44,410,39,< 80%,Tier 3,Total Store ISA Pause
40,359,40,"> 80%, < 90%",Tier 2,GM Pause
44,345,41,"> 80%, < 90%",Tier 2,GM Pause
44,410,42,< 80%,Tier 3,Total Store ISA Pause
47,407,43,>90%,Tier 1,ISA On in Total Store
40,336,44,"> 80%, < 90%",Tier 2,GM Pause
12,329,45,>90%,Tier 1,ISA On in Total Store
40,357,46,>90%,Tier 1,ISA On in Total Store
44,351,47,"> 80%, < 90%",Tier 2,GM Pause
