STORE_NUMBER,DC_NUMBER,WMT ITEM NUMBER,ITEM DESCRIPTION,CASE QUANTITY,RETURN AUTHORIZATION
2869,6043,673727792,GV DISP DEC BAGS 8CT,7,2377693364
5844,6043,673727792,GV DISP DEC BAGS 8CT,7,2377693365
2547,6080,673727792,GV DISP DEC BAGS 8CT,1,3819153713
1830,6038,673727792,GV DISP DEC BAGS 8CT,4,2169323090
1830,6038,673727792,GV DISP DEC BAGS 8CT,2,2169323092
2547,6080,673727792,GV DISP DEC BAGS 8CT,3,3819153728
2202,6030,673727792,GV DISP DEC BAGS 8CT,4,1055144534
3621,6054,673727792,GV DISP DEC BAGS 8CT,6,2957665385
5092,6068,661320283,RM BRL PLST 3.2C 2PK,128,8466074630
3212,7034,661320283,RM BRL PLST 3.2C 2PK,124,6154945317
87,6036,658453694,ST FOOTLOCKER TEALSA,4,6953886212
213,6069,658453694,ST FOOTLOCKER TEALSA,14,9709375995
186,6035,658453694,ST FOOTLOCKER TEALSA,5,4104255841
189,6009,658453694,ST FOOTLOCKER TEALSA,11,9654575382
2555,7034,556938077,PALM UL ORIG 32.5OZ,64,6905383104
656,6006,556938077,PALM UL ORIG 32.5OZ,10,7205682819
483,6006,556938077,PALM UL ORIG 32.5OZ,11,7205682823
1489,7039,556938077,PALM UL ORIG 32.5OZ,11,7855602685
510,6054,556938077,PALM UL ORIG 32.5OZ,12,1316752011
4274,6070,556938077,PALM UL ORIG 32.5OZ,11,9355573092
1408,7035,556938077,PALM UL ORIG 32.5OZ,9,9905573820
2066,7036,556938077,PALM UL ORIG 32.5OZ,12,2655962725
220,6068,556938077,PALM UL ORIG 32.5OZ,12,7405683579
243,6069,556938077,PALM UL ORIG 32.5OZ,12,8804892872
5075,7033,576358225,CG TP OW SPK MT 1.4,41,8703715820
1382,6070,557447203,BBY DVE RICH WSH 13Z,41,2604275512
972,6068,557447203,BBY DVE RICH WSH 13Z,43,2203727861
878,6054,557447203,BBY DVE RICH WSH 13Z,39,7182891371
787,6054,557447201,BBY DVE SENS WSH 13Z,42,7182891374
179,6094,572345260,DF 2.5LB FIRELOG,6,6532521985
373,6094,572345260,DF 2.5LB FIRELOG,3,6532521982
622,6094,572345260,DF 2.5LB FIRELOG,5,6532521987
838,6094,572345260,DF 2.5LB FIRELOG,6,6532521981
1147,6094,572345260,DF 2.5LB FIRELOG,7,6532521980
1,6094,572345260,DF 2.5LB FIRELOG,5,6532521989
10,6094,572345260,DF 2.5LB FIRELOG,5,6532521990
32,6094,572345260,DF 2.5LB FIRELOG,21,6532521988
4049,6092,572345260,DF 2.5LB FIRELOG,91,6208509955
925,6020,654906161,FBZ 2PK OCEAN BREEZE,26,8705414114
3225,6036,654906161,FBZ 2PK OCEAN BREEZE,24,8308725097
1118,6036,654906161,FBZ 2PK OCEAN BREEZE,24,8308725098
3282,6024,654906161,FBZ 2PK OCEAN BREEZE,25,7905434474
2828,7039,572341144,HE DUALPK ARGNOIL 27,30,4104112285
3588,6023,572341144,HE DUALPK ARGNOIL 27,29,4404112050
3601,6092,572341144,HE DUALPK ARGNOIL 27,30,8803783038
2910,6027,572341144,HE DUALPK ARGNOIL 27,28,8553783279
2597,6027,572341144,HE DUALPK ARGNOIL 27,29,8553783280
3287,6068,572341144,HE DUALPK ARGNOIL 27,30,4208914528
3362,6066,572341144,HE DUALPK ARGNOIL 27,28,2253892380
3276,7033,572341144,HE DUALPK ARGNOIL 27,30,4967080881
1469,6006,572341144,HE DUALPK ARGNOIL 27,28,4904112758
506,6069,572341144,HE DUALPK ARGNOIL 27,30,5804112359
906,6031,572341144,HE DUALPK ARGNOIL 27,30,5654112083
2507,6021,572341144,HE DUALPK ARGNOIL 27,27,5354115208
2519,7034,572341144,HE DUALPK ARGNOIL 27,29,5054112472
3223,6027,596486304,PN CN COLOR 25.1OZ,35,8553783284
4101,6021,596486304,PN CN COLOR 25.1OZ,34,5354115190
682,6066,573950742,LM UTILITY BUCKET,8,4003705840
204,6066,573950742,LM UTILITY BUCKET,9,4003705841
4381,6094,573950742,LM UTILITY BUCKET,8,4710225843
3243,7045,573950742,LM UTILITY BUCKET,8,7155464624
2233,7045,573950742,LM UTILITY BUCKET,9,7155464625
4241,6094,573950742,LM UTILITY BUCKET,9,4710225844
2044,6026,573950742,LM UTILITY BUCKET,8,2804715159
2547,6080,573950742,LM UTILITY BUCKET,9,5209965585
4299,6012,573950742,LM UTILITY BUCKET,8,7255425318
355,6054,573950747,LM WINDOW WASHER,3,3903705220
4200,6054,573950747,LM WINDOW WASHER,3,3903705221
3344,7045,573950747,LM WINDOW WASHER,3,7155464622
2100,6043,573950747,LM WINDOW WASHER,3,5255435271
1836,6043,573950747,LM WINDOW WASHER,3,5255435272
1240,6031,573950747,LM WINDOW WASHER,3,5055434785
1894,6024,573950747,LM WINDOW WASHER,3,8616043070
2713,6006,573950747,LM WINDOW WASHER,3,9155416031
246,6094,573950751,LM BUCKET WRINGER,5,4710225836
544,6094,573950751,LM BUCKET WRINGER,5,4710225834
5260,6094,573950751,LM BUCKET WRINGER,5,4710225832
67,6094,573950751,LM BUCKET WRINGER,5,4710225835
192,6066,573950751,LM BUCKET WRINGER,5,4003705835
653,6066,573950751,LM BUCKET WRINGER,5,4003705834
1376,6066,573950751,LM BUCKET WRINGER,3,4003705836
107,6066,573950751,LM BUCKET WRINGER,5,4003705837
8331,6080,573950751,LM BUCKET WRINGER,4,5209965571
2637,6080,573950751,LM BUCKET WRINGER,4,5209965572
2080,6043,573950751,LM BUCKET WRINGER,5,5255435264
4399,6043,573950751,LM BUCKET WRINGER,5,5255435266
1804,6043,573950751,LM BUCKET WRINGER,4,5255435268
1499,7045,573950751,LM BUCKET WRINGER,4,7155464628
3720,7045,573950751,LM BUCKET WRINGER,5,7155464627
2656,6012,573950751,LM BUCKET WRINGER,5,7255425314
806,6012,573950751,LM BUCKET WRINGER,5,7255425315
1243,7045,573950751,LM BUCKET WRINGER,4,7155464630
839,6048,573950751,LM BUCKET WRINGER,10,5305435744
5987,6036,666402819,XB RECON70 BLK,39,9966741136
3112,6016,666402819,XB RECON70 BLK,59,9955531389
5445,6027,666402823,PS RECON70 BLK,39,3066721534
862,6010,666402823,PS RECON70 BLK,26,1055291264
5103,7034,666402823,PS RECON70 BLK,28,5416721047
1326,6035,666402823,PS RECON70 BLK,28,8466741081
1928,6043,666402823,PS RECON70 BLK,49,8766741228
3621,6054,574026304,REALTREE QUAD 6V,34,1229037182
510,6054,574026304,REALTREE QUAD 6V,32,1229037181
5409,6024,573973780,DPD UW OVN MN LG 14,17,8366740941
532,6048,573973780,DPD UW OVN MN LG 14,12,8356072049
915,7036,573973780,DPD UW OVN MN LG 14,13,1605611998
1520,6025,573973780,DPD UW OVN MN LG 14,14,4555683170
4237,6070,573973780,DPD UW OVN MN LG 14,13,8055602677
5337,6021,573973780,DPD UW OVN MN LG 14,14,5908596105
3585,7036,573973781,DPD UW OVN MN XL 12,13,1605611960
4298,7036,573973781,DPD UW OVN MN XL 12,15,1605611961
282,6066,573973781,DPD UW OVN MN XL 12,13,8908512611
531,6048,573973781,DPD UW OVN MN XL 12,13,8356072044
1788,6030,573973781,DPD UW OVN MN XL 12,14,9305572966
2335,7039,573973781,DPD UW OVN MN XL 12,14,5953792664
297,7036,573973782,DPD UW OVN MN S/M 16,13,1605611951
5152,6021,573973782,DPD UW OVN MN S/M 16,14,5908596078
3893,7039,573973782,DPD UW OVN MN S/M 16,15,5953792649
2832,6010,573973782,DPD UW OVN MN S/M 16,13,7555682336
5140,7033,573973782,DPD UW OVN MN S/M 16,14,8703715822
2527,6021,578654073,POIS UT PAD3 LGT 48,18,5908596114
4132,6021,578654073,POIS UT PAD3 LGT 48,17,5908596120
5162,6021,578654073,POIS UT PAD3 LGT 48,21,5908596129
5884,6021,578654073,POIS UT PAD3 LGT 48,17,5908596126
6392,6035,673425120,ALL BABY 73OZ,10,5405573037
5667,7039,673425120,ALL BABY 73OZ,9,7855602668
1648,6026,673425120,ALL BABY 73OZ,10,7155382917
1197,6040,673425120,ALL BABY 73OZ,37,6805383026
2611,6027,673425120,ALL BABY 73OZ,8,7110483112
5641,6021,673425120,ALL BABY 73OZ,40,4708974091
3585,7036,673425120,ALL BABY 73OZ,39,2655962637
502,6048,673425120,ALL BABY 73OZ,38,7205382626
3431,6068,673425120,ALL BABY 73OZ,37,7405683570
589,6017,673425120,ALL BABY 73OZ,9,8921542115
8331,6080,572730924,ALL MP FC ODOR 56CT,11,9155485292
5795,7034,572730924,ALL MP FC ODOR 56CT,11,6905383082
3835,6006,572730924,ALL MP FC ODOR 56CT,11,7205682811
703,7036,572730924,ALL MP FC ODOR 56CT,10,2655962655
4450,6017,572730924,ALL MP FC ODOR 56CT,11,8921542106
437,7036,572730924,ALL MP FC ODOR 56CT,11,2655962670
5063,6070,572730924,ALL MP FC ODOR 56CT,10,9355573073
1901,7026,572730924,ALL MP FC ODOR 56CT,10,6955382727
1485,6019,572730924,ALL MP FC ODOR 56CT,12,2556063002
3608,6027,572730924,ALL MP FC ODOR 56CT,11,7110483104
179,6094,574213383,LM WSK BROOM & PAN,14,4710225833
54,6094,574213383,LM WSK BROOM & PAN,15,4710225837
2924,6012,574213383,LM WSK BROOM & PAN,14,7255425308
3423,6012,574213383,LM WSK BROOM & PAN,16,7255425307
150,6012,574213383,LM WSK BROOM & PAN,14,7255425309
2453,6026,574213383,LM WSK BROOM & PAN,15,2804715155
2585,6080,574213383,LM WSK BROOM & PAN,15,5209965568
2917,6080,574213383,LM WSK BROOM & PAN,13,5209965570
3912,6080,574213383,LM WSK BROOM & PAN,14,5209965569
1755,6026,574213383,LM WSK BROOM & PAN,15,2804715156
477,6066,574213383,LM WSK BROOM & PAN,14,4003705848
492,6066,574213383,LM WSK BROOM & PAN,15,4003705846
736,6066,574213383,LM WSK BROOM & PAN,12,4003705845
4183,7036,574213383,LM WSK BROOM & PAN,11,7903775523
1875,7045,574213383,LM WSK BROOM & PAN,14,7155464629
2437,7045,574213383,LM WSK BROOM & PAN,13,7155464631
1335,7045,574213383,LM WSK BROOM & PAN,15,7155464632
2100,6043,574213383,LM WSK BROOM & PAN,14,5255435275
2417,6043,574213383,LM WSK BROOM & PAN,14,5255435273
5844,6043,574213383,LM WSK BROOM & PAN,14,5255435274
1987,6043,574213383,LM WSK BROOM & PAN,10,5255435276
1702,7038,667835769,ALW PAD6 XHVY 33 CT,24,7805683046
4759,6026,667835769,ALW PAD6 XHVY 33 CT,25,7554053120
1977,7034,667835769,ALW PAD6 XHVY 33 CT,26,7605683363
3516,7033,667835769,ALW PAD6 XHVY 33 CT,27,8703715793
363,6069,667835769,ALW PAD6 XHVY 33 CT,24,9605572430
3634,6080,667835769,ALW PAD6 XHVY 33 CT,26,9654048783
2611,6027,673447866,DOVE BODY SCRUB BROW,14,8753713331
2141,7034,673447866,DOVE BODY SCRUB BROW,13,7605683354
2860,6010,673447866,DOVE BODY SCRUB BROW,13,7555682349
4488,6021,673447866,DOVE BODY SCRUB BROW,13,5908596145
2204,6092,673447866,DOVE BODY SCRUB BROW,12,4103733128
356,6054,673447866,DOVE BODY SCRUB BROW,12,4066710882
1568,6027,673447866,DOVE BODY SCRUB BROW,13,8753713330
433,6006,673447866,DOVE BODY SCRUB BROW,12,8755682566
2045,7034,673447866,DOVE BODY SCRUB BROW,11,7605683352
2080,6043,673447866,DOVE BODY SCRUB BROW,13,7755682955
2614,7034,673447868,DOVE BODY SCRUB PEAC,12,7605683286
5070,7033,673447868,DOVE BODY SCRUB PEAC,13,8703715816
5215,6021,673447868,DOVE BODY SCRUB PEAC,12,5908596104
3351,7033,673447868,DOVE BODY SCRUB PEAC,12,8703715812
5485,6092,673447868,DOVE BODY SCRUB PEAC,12,4103733101
5965,6092,673447868,DOVE BODY SCRUB PEAC,13,4103733102
1799,7039,672624142,OLAY SS BW XDRY18.5Z,38,5953792641
1736,7034,672624142,OLAY SS BW XDRY18.5Z,37,7605683289
5617,6092,672624155,OLAY8BAR UMAGDY3.17Z,34,4103733065
3402,6054,672624155,OLAY8BAR UMAGDY3.17Z,34,4066710879
3469,6080,672624155,OLAY8BAR UMAGDY3.17Z,27,9654048787
5738,6094,672624149,OS BW BATMAN24Z,46,7805602137
51,6069,672624149,OS BW BATMAN24Z,44,9605572391
5175,6066,672624149,OS BW BATMAN24Z,45,8908512626
221,6094,672624148,OS FC BW VOLCANO30Z,33,7805602147
1201,6006,672624148,OS FC BW VOLCANO30Z,36,8755682612
2028,7033,672624148,OS FC BW VOLCANO30Z,33,8703715858
2535,6080,672943650,OS FC IS FIJI .5OZ,40,9654048844
3337,7034,672943650,OS FC IS FIJI .5OZ,39,7605683302
1899,7033,672943618,SEC BDYSP PCHVNL1.0Z,19,8703715856
4405,6092,673124516,CR 3DW DSR DM 2.1OZ,9,4103733097
7020,6066,673124516,CR 3DW DSR DM 2.1OZ,9,8908512582
1986,6024,673425589,SPRINKLE & SWEEP,3,5005573943
1387,7038,671735160,GAIN LFE MB 100Z,53,7110182944
770,6035,671735160,GAIN LFE MB 100Z,18,5405573094
1408,7035,671735160,GAIN LFE MB 100Z,52,9905573820
2817,6092,671735160,GAIN LFE MB 100Z,56,8055803106
3220,7026,671735160,GAIN LFE MB 100Z,17,6955382696
2359,6027,671735160,GAIN LFE MB 100Z,54,7110483077
101,6069,671735160,GAIN LFE MB 100Z,55,8804892814
4627,6068,672846380,FBZ AE LUX VL 1 CT,43,7405683564
4201,6012,672846381,FBZ AE LUX VS 2 CT,41,9955572895
