Store Number,Last Date Visited,Is the MacBook display present?,Is the MacBook display powered on?,Why is the MacBook display not powered on?,
3795,2/24/2025,Yes,No,No power to the 4ft section,
1916,2/24/2025,Yes,No,Screen Cracked,
4303,2/24/2025,Yes,No,No power to the display,
2987,2/25/2025,Yes,No,Screen Cracked,
2517,2/24/2025,Yes,No,Screen Cracked,
3292,2/28/2025,Yes,No,Screen Cracked,
549,2/26/2025,Yes,No,No power to the display,
1390,2/26/2025,Yes,No,Screen Cracked,
1231,2/26/2025,Yes,No,No power to the 4ft section,
1560,2/27/2025,Yes,No,No power to the 4ft section,
2308,2/24/2025,Yes,No,No power to the display,
5436,2/26/2025,Yes,No,Screen Cracked,
2194,2/24/2025,Yes,No,Screen Cracked,
1878,2/26/2025,Yes,No,Screen Cracked,
657,2/27/2025,Yes,No,Screen Cracked,
2240,2/25/2025,Yes,No,Screen Cracked,
2628,2/25/2025,Yes,No,Screen Cracked,
3762,2/25/2025,Yes,No,Screen Cracked,
670,2/28/2025,Yes,No,Screen Cracked,
2402,2/28/2025,Yes,No,No power to the 4ft section,
1457,2/26/2025,Yes,No,Screen Cracked,
512,2/26/2025,Yes,No,Screen Cracked,
5142,2/26/2025,Yes,No,No power to the 4ft section,
3337,2/24/2025,Yes,No,Screen Cracked,
140,2/26/2025,Yes,No,No power to the display,
1835,2/27/2025,Yes,No,Screen Cracked,
1303,2/26/2025,Yes,No,No power to the 4ft section,
2727,2/26/2025,Yes,No,Screen Cracked,
1400,2/27/2025,Yes,No,Screen Cracked,
3409,2/24/2025,Yes,No,Screen Cracked,
2074,2/24/2025,Yes,No,Screen Cracked,
29,2/28/2025,Yes,No,Screen Cracked,
1901,2/26/2025,Yes,No,Screen Cracked,
5070,2/25/2025,Yes,No,No power to the display,
579,2/25/2025,Yes,No,No power to the display,
163,2/24/2025,Yes,No,No power to the display,
1233,2/24/2025,Yes,No,Screen Cracked,
5058,2/24/2025,Yes,No,No power to the 4ft section,
5022,2/26/2025,Yes,No,No power to the display,
4340,2/28/2025,Yes,No,No power to the display,
5031,2/27/2025,Yes,No,No power to the display,
3258,2/28/2025,Yes,No,No power to the display,
1398,2/28/2025,Yes,No,Screen Cracked,
687,2/26/2025,Yes,No,Screen Cracked,
1178,2/26/2025,Yes,No,No power to the display,
2000,2/25/2025,Yes,No,No power to the display,
1212,2/25/2025,Yes,No,Screen Cracked,
1224,2/27/2025,Yes,No,No power to the display,
1428,2/26/2025,Yes,No,No power to the display,
2459,2/25/2025,Yes,No,No power to the display,
1859,2/25/2025,Yes,No,No power to the 4ft section,
2193,2/25/2025,Yes,No,No power to the display,
904,2/24/2025,Yes,No,No power to the display,
915,2/26/2025,Yes,No,No power to the display,
1385,2/24/2025,Yes,No,No power to the display,
192,2/27/2025,Yes,No,Screen Cracked,
1549,2/24/2025,Yes,No,No power to the display,
1885,2/28/2025,Yes,No,Screen Cracked,
5425,2/24/2025,Yes,No,Screen Cracked,
1285,2/27/2025,Yes,No,Screen Cracked,
5054,2/24/2025,Yes,No,No power to the display,
691,2/25/2025,Yes,No,No power to the display,
5051,2/25/2025,Yes,No,Screen Cracked,
815,2/25/2025,Yes,No,No power to the 4ft section,
1011,2/28/2025,Yes,No,Screen Cracked,
1525,2/28/2025,Yes,No,No power to the display,
2249,2/26/2025,Yes,No,No power to the display,
400,2/27/2025,Yes,No,No power to the display,
1679,2/24/2025,Yes,No,Screen Cracked,
3583,2/26/2025,Yes,No,No power to the display,
1173,2/27/2025,Yes,No,No power to the display,
1852,2/26/2025,Yes,No,No power to the display,
2476,2/26/2025,Yes,No,No power to the display,
