Store Number,Store City and Store State,Walmart Launch Week,Weekly Orders Q2 
706,"ZEPHYRHILLS, FL",WMWK 16,244
988,"LUTZ, FL",WMWK 16,244
1085,"PORT RICHEY, FL",WMWK 15,244
1203,"WIMAUMA, FL",WMWK 15,244
1712,"LARGO, FL",WMWK 16,244
2387,"BRANDON, FL",WMWK 12 ,244
4690,"ST PETERSBURG, FL",WMWK 16,244
