store,codeID,win,barcode,blank
61,1,123456789,123456789009876543211234567890,
61,2,987654321,248593092300928348989589759834,
61,3,123456789,872384798723947982739479256726,
61,4,987654321,623489234098082039840943209834,
61,5,123456789,938482930405899292034839209540,
61,6,987654321,712349834234042383895093030234,
61,7,123456789,123456789009876543211234567890,
61,8,987654321,248593092300928348989589759834,
61,9,123456789,872384798723947982739479256726,
61,10,987654321,623489234098082039840943209834,
61,11,123456789,938482930405899292034839209540,
61,12,987654321,712349834234042383895093030234,
184,13,123456789,502343030200287228487582838437,
184,14,987654321,692882394950697382738345895939,
