Store,Ship date ,Delivered date,Status ,Tracking Number,Service type ,,
1,7/22/2025,7/25/2025,Delivered,446916878267,FedEx Ground,,
2,7/22/2025,7/25/2025,Delivered,446916878473,FedEx Ground,,
3,7/23/2025,7/25/2025,Delivered,446916899118,FedEx Ground,,
4,7/22/2025,7/25/2025,Delivered,446916878201,FedEx Ground,,
5,7/22/2025,7/24/2025,Delivered,446916878885,FedEx Ground,,
7,7/22/2025,7/24/2025,Delivered,446916878760,FedEx Ground,,
8,7/22/2025,7/24/2025,Delivered,446916878819,FedEx Ground,,
9,7/22/2025,7/25/2025,Delivered,446916882502,FedEx Ground,,
10,7/22/2025,7/25/2025,Delivered,446916876963,FedEx Ground,,
11,7/22/2025,7/25/2025,Delivered,446916878440,FedEx Ground,,
12,7/22/2025,7/25/2025,Delivered,446916877319,FedEx Ground,,
13,7/22/2025,7/25/2025,Delivered,446916882086,FedEx Ground,,
14,7/22/2025,7/25/2025,Delivered,446916881848,FedEx Ground,,
15,7/22/2025,7/25/2025,Delivered,446916881653,FedEx Ground,,
16,7/22/2025,7/25/2025,Delivered,446916878006,FedEx Ground,,
17,7/22/2025,7/25/2025,Delivered,446916882075,FedEx Ground,,
18,7/22/2025,7/24/2025,Delivered,446916878808,FedEx Ground,,
19,7/22/2025,7/24/2025,Delivered,446916882454,FedEx Ground,,
20,7/22/2025,7/25/2025,Delivered,446916882167,FedEx Ground,,
21,7/22/2025,7/25/2025,Delivered,446916881815,FedEx Ground,,
22,7/22/2025,7/25/2025,Delivered,446916877032,FedEx Ground,,
23,7/22/2025,7/25/2025,Delivered,446916879322,FedEx Ground,,
24,7/22/2025,7/24/2025,Delivered,446916878841,FedEx Ground,,
25,7/22/2025,7/25/2025,Delivered,446916881929,FedEx Ground,,
26,7/22/2025,7/25/2025,Delivered,446916881480,FedEx Ground,,
27,7/22/2025,7/25/2025,Delivered,446916881826,FedEx Ground,,
28,7/22/2025,7/25/2025,Delivered,446916877043,FedEx Ground,,
29,7/22/2025,7/25/2025,Delivered,446916881984,FedEx Ground,,
30,7/22/2025,7/24/2025,Delivered,446916882498,FedEx Ground,,
31,7/22/2025,7/25/2025,Delivered,446916876816,FedEx Ground,,
32,7/22/2025,7/25/2025,Delivered,446916881778,FedEx Ground,,
33,7/22/2025,7/25/2025,Delivered,446916879035,FedEx Ground,,
34,7/22/2025,7/25/2025,Delivered,446916882145,FedEx Ground,,
35,7/22/2025,7/25/2025,Delivered,446916881263,FedEx Ground,,
36,7/22/2025,7/24/2025,Delivered,446916878554,FedEx Ground,,
37,7/22/2025,7/24/2025,Delivered,446916882579,FedEx Ground,,
38,7/22/2025,7/25/2025,Delivered,446916876871,FedEx Ground,,
39,7/22/2025,7/25/2025,Delivered,446916881193,FedEx Ground,,
40,7/22/2025,7/25/2025,Delivered,446916881918,FedEx Ground,,
41,7/22/2025,7/25/2025,Delivered,446916877400,FedEx Ground,,
42,7/22/2025,7/25/2025,Delivered,446916880922,FedEx Ground,,
43,7/22/2025,7/25/2025,Delivered,446916881274,FedEx Ground,,
44,7/22/2025,7/25/2025,Delivered,446916882031,FedEx Ground,,
45,7/22/2025,7/24/2025,Delivered,446916878602,FedEx Ground,,
46,7/22/2025,7/25/2025,Delivered,446916881789,FedEx Ground,,
47,7/22/2025,7/25/2025,Delivered,446916876805,FedEx Ground,,
48,7/22/2025,7/25/2025,Delivered,446916881723,FedEx Ground,,
49,7/22/2025,7/25/2025,Delivered,446916876882,FedEx Ground,,
50,7/22/2025,7/25/2025,Delivered,446916877076,FedEx Ground,,
51,7/22/2025,7/25/2025,Delivered,446916881930,FedEx Ground,,
52,7/22/2025,7/24/2025,Delivered,446916878999,FedEx Ground,,
54,7/22/2025,7/25/2025,Delivered,446916878164,FedEx Ground,,
55,7/22/2025,7/25/2025,Delivered,446916878039,FedEx Ground,,
56,7/22/2025,7/25/2025,Delivered,446916881790,FedEx Ground,,
57,7/22/2025,7/24/2025,Delivered,446916878521,FedEx Ground,,
58,7/22/2025,7/24/2025,Delivered,446916878131,FedEx Ground,,
59,7/22/2025,7/25/2025,Delivered,446916882101,FedEx Ground,,
60,7/22/2025,7/24/2025,Delivered,446916882649,FedEx Ground,,
61,7/22/2025,7/25/2025,Delivered,446916882330,FedEx Ground,,
62,7/22/2025,7/24/2025,Delivered,446916878668,FedEx Ground,,
63,7/22/2025,7/25/2025,Delivered,446916876952,FedEx Ground,,
64,7/23/2025,7/25/2025,Delivered,446916892536,FedEx Ground,,
65,7/22/2025,7/25/2025,Delivered,446916882796,FedEx Ground,,
66,7/22/2025,7/25/2025,Delivered,446916878120,FedEx Ground,,
67,7/22/2025,7/25/2025,Delivered,446916878955,FedEx Ground,,
68,7/22/2025,7/24/2025,Delivered,446916878613,FedEx Ground,,
69,7/22/2025,7/24/2025,Delivered,446916882833,FedEx Ground,,
70,7/22/2025,7/24/2025,Delivered,446916878679,FedEx Ground,,
71,7/22/2025,7/24/2025,Delivered,446916878543,FedEx Ground,,
72,7/22/2025,7/25/2025,Delivered,446916881150,FedEx Ground,,
73,7/22/2025,7/25/2025,Delivered,446916877227,FedEx Ground,,
74,7/22/2025,7/24/2025,Delivered,446916878635,FedEx Ground,,
75,7/22/2025,7/25/2025,Delivered,446916879220,FedEx Ground,,
76,7/22/2025,7/25/2025,Delivered,446916878462,FedEx Ground,,
77,7/22/2025,7/28/2025,Delivered,446916874673,FedEx Ground,,
78,7/22/2025,7/25/2025,Delivered,446916881734,FedEx Ground,,
