Store Number,Tracking Number,Ship date ,Delivered date,Scheduled delivery date ,Service type 
4441,391047299675,N/A,N/A,N/A,FedEx Ground
7339,391047299984,N/A,N/A,N/A,FedEx Ground
3126,391047300271,N/A,N/A,N/A,FedEx Ground
4220,391047300282,N/A,N/A,N/A,FedEx Ground
3072,391047301050,N/A,N/A,N/A,FedEx Ground
3713,391047301451,N/A,N/A,N/A,FedEx Ground
6390,391047301532,N/A,N/A,N/A,FedEx Ground
5704,391047301554,N/A,N/A,N/A,FedEx Ground
5744,391047301646,N/A,N/A,N/A,FedEx Ground
3104,391047301727,N/A,N/A,N/A,FedEx Ground
5615,391047301830,N/A,N/A,N/A,FedEx Ground
4452,391047301896,N/A,N/A,N/A,FedEx Ground
4603,391047301955,N/A,N/A,N/A,FedEx Ground
4141,391047301988,N/A,N/A,N/A,FedEx Ground
4432,391047302193,N/A,N/A,N/A,FedEx Ground
5962,391047302208,N/A,N/A,N/A,FedEx Ground
7137,391047302252,N/A,N/A,N/A,FedEx Ground
5979,391047302344,N/A,N/A,N/A,FedEx Ground
5467,391047302447,N/A,N/A,N/A,FedEx Ground
4618,391047302528,N/A,N/A,N/A,FedEx Ground
5007,391047302583,N/A,N/A,N/A,FedEx Ground
3935,391047302664,N/A,N/A,N/A,FedEx Ground
3131,391047302686,N/A,N/A,N/A,FedEx Ground
2835,391047302826,N/A,N/A,N/A,FedEx Ground
377,391047303189,N/A,N/A,N/A,FedEx Ground
5828,391047303568,N/A,N/A,N/A,FedEx Ground
5008,391047303649,N/A,N/A,N/A,FedEx Ground
5367,391047303671,N/A,N/A,N/A,FedEx Ground
4619,391047303720,N/A,N/A,N/A,FedEx Ground
5771,391047304016,N/A,N/A,N/A,FedEx Ground
5094,391047304038,N/A,N/A,N/A,FedEx Ground
4445,391047304120,N/A,N/A,N/A,FedEx Ground
4465,391047304163,N/A,N/A,N/A,FedEx Ground
3450,391047304222,N/A,N/A,N/A,FedEx Ground
5102,391047304380,N/A,N/A,N/A,FedEx Ground
5683,391047304450,N/A,N/A,N/A,FedEx Ground
4577,391047304564,N/A,N/A,N/A,FedEx Ground
4127,391047304634,N/A,N/A,N/A,FedEx Ground
4654,391047304840,N/A,N/A,N/A,FedEx Ground
4367,391047304910,N/A,N/A,N/A,FedEx Ground
4586,391047304954,N/A,N/A,N/A,FedEx Ground
3990,391047305160,N/A,N/A,N/A,FedEx Ground
