STORE_NBR,DEPT_NBR,PRIME_ITEM_NBR,ITEM1_DESC,OH
2227,9,585697574,CAP POWER RACK,8
5625,9,585697574,CAP POWER RACK,8
2818,9,585697574,CAP POWER RACK,8
5793,9,585697574,CAP POWER RACK,8
2083,9,585697574,CAP POWER RACK,8
767,9,585697574,CAP POWER RACK,8
2586,9,585697574,CAP POWER RACK,8
3543,9,585697574,CAP POWER RACK,8
6397,9,585697574,CAP POWER RACK,8
3886,9,585697574,CAP POWER RACK,8
1236,9,585697574,CAP POWER RACK,8
1561,9,585697574,CAP POWER RACK,8
793,9,585697574,CAP POWER RACK,8
564,9,585697574,CAP POWER RACK,8
1317,9,585697574,CAP POWER RACK,8
672,9,585697574,CAP POWER RACK,8
4476,9,585697574,CAP POWER RACK,8
3601,9,585697574,CAP POWER RACK,8
1551,9,585697574,CAP POWER RACK,8
1822,9,585697574,CAP POWER RACK,8
2563,9,585697574,CAP POWER RACK,8
3589,9,585697574,CAP POWER RACK,8
901,9,585697574,CAP POWER RACK,8
3382,9,585697574,CAP POWER RACK,8
5070,9,585697574,CAP POWER RACK,8
861,9,585697574,CAP POWER RACK,8
2596,9,585697574,CAP POWER RACK,8
3716,9,585697574,CAP POWER RACK,8
5312,9,585697574,CAP POWER RACK,8
2067,9,585697574,CAP POWER RACK,8
867,9,585697574,CAP POWER RACK,8
3795,9,585697574,CAP POWER RACK,8
739,9,585697574,CAP POWER RACK,8
2694,9,585697574,CAP POWER RACK,8
1542,7,599767804,INTEX DRAGON FLOAT,11
192,9,554028525,SD AMERCA 12 JONBOAT,22
1026,9,554028525,SD AMERCA 12 JONBOAT,20
1714,9,554028525,SD AMERCA 12 JONBOAT,14
3221,9,554028525,SD AMERCA 12 JONBOAT,13
882,9,554028525,SD AMERCA 12 JONBOAT,13
6951,9,554028525,SD AMERCA 12 JONBOAT,11
3874,9,554028525,SD AMERCA 12 JONBOAT,11
3215,9,554028525,SD AMERCA 12 JONBOAT,10
1567,9,554028525,SD AMERCA 12 JONBOAT,10
3382,9,554028525,SD AMERCA 12 JONBOAT,10
7178,71,593294064,MANISA FABRIC COCKTA,12
2067,7,651706231,PR SWING SET,15
1822,7,651706231,PR SWING SET,15
2085,7,651706231,PR SWING SET,15
2346,7,651706231,PR SWING SET,15
5793,7,651706231,PR SWING SET,15
2721,7,651706231,PR SWING SET,15
