Store #,Quantity,Estimated Delivery WK
1656,1,7
1358,1,7
1035,1,7
2457,1,7
1035,1,7
2350,1,7
1692,1,7
2213,1,7
2886,1,7
2886,1,7
2886,1,7
1497,1,7
1497,1,7
2886,1,7
2549,1,7
4358,1,7
1019,1,7
616,1,7
616,1,7
628,1,7
2944,1,7
2944,1,7
3,1,7
3,1,7
2024,1,7
2024,1,7
4588,1,7
107,1,7
3459,1,7
616,1,7
616,1,7
616,1,7
3459,1,7
2720,1,7
2720,1,7
3084,1,7
5818,1,7
3224,1,7
3224,1,7
1175,1,7
51,1,7
2875,1,7
1111,1,7
172,1,7
172,1,7
1215,1,7
1215,1,7
140,1,7
5485,1,7
5485,1,7
5113,1,7
5113,1,7
3262,1,7
3888,1,7
3888,1,7
1120,1,7
2421,1,7
1257,1,7
3510,1,7
3262,1,7
1454,1,7
140,1,7
140,1,7
140,1,7
4483,1,7
5234,1,7
3520,1,7
4483,1,7
5781,1,7
811,1,7
5152,1,7
511,1,7
5152,1,7
4557,1,7
4557,1,7
511,1,7
4557,1,7
4557,1,7
3349,1,7
2237,1,7
2237,1,7
835,1,7
308,1,7
2648,1,7
2648,1,7
3145,1,7
7004,1,7
3520,1,7
65,1,7
65,1,7
2839,1,7
2451,1,7
1819,1,7
1774,1,7
3154,1,7
827,1,7
3154,1,7
827,1,7
1230,1,7
7004,1,7
1774,1,7
3320,1,7
2533,1,7
2533,1,7
835,1,7
3491,1,7
3491,1,7
2636,1,7
2636,1,7
2249,1,7
2249,1,7
2636,1,7
2636,1,7
1206,1,7
1206,1,7
4206,1,7
4206,1,7
1736,1,7
1736,1,7
2553,1,7
2553,1,7
3771,1,7
2703,1,7
2703,1,7
2703,1,7
3884,1,7
4131,1,7
4427,1,7
5215,1,7
4416,1,7
4416,1,7
4416,1,7
4416,1,7
51,1,7
51,1,7
2174,1,7
2174,1,7
5234,1,7
42,1,7
1401,1,7
2727,1,7
2727,1,7
1401,1,7
1080,1,7
2257,1,7
3472,1,7
3472,1,7
1974,1,7
1974,1,7
5964,1,7
375,1,7
375,1,7
375,1,7
4141,1,7
3726,1,7
3274,1,7
3237,1,7
3237,1,7
4317,1,7
6159,1,7
635,1,7
2226,1,7
5294,1,7
5294,1,7
836,1,7
836,1,7
2991,1,7
2991,1,7
2991,1,7
2991,1,7
2991,1,7
2991,1,7
2991,1,7
2991,1,7
5812,1,7
5245,1,7
2991,1,7
461,1,7
4171,1,7
5645,1,7
2090,1,7
42,1,7
5645,1,7
4395,1,7
3004,1,7
5888,1,7
2469,1,7
2469,1,7
5888,1,7
262,1,7
2890,1,7
2890,1,7
2890,1,7
2890,1,7
2890,1,7
2890,1,7
1382,1,7
