Store,Launch Date ,Launch Week,Volume,Labor Type,Parking Spaces, Staging Space,,,,,,,,,,,
778,9/6/2022,Week 32,HIGH,Coverage in Liquor Box,4,9 ft of shelf space,,,,,,,,,,,
721,9/6/2022,Week 32,HIGH,Coverage in Liquor Box,4,9 ft of shelf space,,,,,,,,,,,
1874,9/6/2022,Week 32,MEDIUM,Walk Back and Forth,3,6 ft of shelf space,,,,,,,,,,,
3349,9/6/2022,Week 32,MEDIUM,Walk Back and Forth,3,6 ft of shelf space,,,,,,,,,,,
3387,9/6/2022,Week 32,MEDIUM,Walk Back and Forth,3,6 ft of shelf space,,,,,,,,,,,
6190,9/6/2022,Week 32,MEDIUM,Walk Back and Forth,3,6 ft of shelf space,,,,,,,,,,,
