Store / Club #,Vision Center NPI #,Tax ID,Davis Vision Office ID #,Superior Vision Office ID #
1,1659454122,71-0415188,45999,29897
2,1538247945,71-0415188,46000,29786
3,1548342447,71-0862119,46001,32103
4,1467534990,71-0415188,46002,30003
5,1801979356,71-0415188,46003,29661
7,1356726558,71-0415188,33761,30360
9,1023191764,71-0862119,46004,31364
11,1912080466,71-0415188,46005,30267
13,1023191665,71-0862119,46006,31985
14,1912080557,71-0862119,46007,31624
15,1619058609,71-0862119,46008,31372
16,1720161631,71-0415188,46009,29915
17,1619058799,71-0862119,46010,32137
19,1164503157,71-0862119,46011,32176
20,1518048503,71-0862119,46012,31592
21,1417038597,71-0862119,46013,31651
23,1568545036,71-0862119,46014,31309
24,1639252547,71-0415188,46015,29871
25,1063593051,71-0862119,50922,32438
26,1669600490,71-0415188,62666,30185
27,1316028491,71-0862119,46016,31240
29,1306927488,71-0862119,46017,32721
30,1487735577,71-0862119,50923,31753
34,1831270925,71-0862119,46018,31840
35,1073699062,71-0415188,46019,29612
36,1255414736,71-0415188,46020,29996
37,1609957851,71-0862119,46021,32706
39,1639200058,71-0415188,56344,29947
40,1215018114,71-0862119,46022,31362
43,1447330071,71-0415188,46023,30202
45,1164505640,71-0415188,46024,29832
46,1114008018,71-0862119,46025,31901
48,1376624270,71-0862119,46026,32850
52,1487738803,71-0415188,46027,29781
54,1417030339,71-0415188,46028,29876
58,1326121245,71-0415188,46029,29937
59,1396826558,71-0862119,46030,31479
60,1013098276,71-0862119,46031,31176
61,1508947409,71-0862119,46032,32079
62,1245313725,71-0415188,46033,30092
64,1528158276,71-0862119,53254,31237
66,1407939937,71-0415188,46034,29924
67,1437232980,71-0415188,46035,30247
69,1225119001,71-0862119,46036,32657
70,1316020845,71-0415188,46037,30320
72,1437230802,71-0415188,46038,29980
75,1306929880,71-0862119,46039,32250
77,1568568954,74-3019386,49351,34187
78,1952482861,71-0862119,53506,9901
79,1124109038,71-0862119,46040,31962
80,1407932734,71-0862119,54017,32077
85,1144306309,71-0415188,46042,29816
86,1952312068,71-0862119,46043,32021
87,1386727865,71-0862119,46044,31403
88,1164503298,71-0862119,46045,7873
89,1205917002,71-0862119,50754,32897
91,1265517874,71-0415188,46046,29886
93,1700986601,71-0862119,54018,31732
94,1588754238,71-0862119,46047,32815
95,1972684009,71-0862119,46048,32331
96,1003997008,71-0862119,46049,31578
98,1144305061,71-0862119,54242,32616
100,1578649976,71-0415188,46050,30127
101,1821171463,71-0862119,46051,32460
104,1427130657,71-0862119,52500,31502
105,1720162373,71-0862119,46052,31853
107,1447383856,71-0862119,53686,31389
110,1124576442,71-0862119,43153,43221
111,1629154877,71-0415188,46053,29976
112,1710060538,71-0862119,46054,31184
119,1487730883,71-0415188,46055,30038
120,1134201015,71-0862119,52503,31990
122,1962412965,71-0862119,46056,32096
124,1063595544,71-0415188,46057,30351
125,1215010798,71-0415188,46058,29940
126,1538244496,71-0415188,46059,29977
127,1992888408,71-0415188,50745,29851
128,1538231352,71-0415188,46060,29852
131,1952486268,74-3019386,50521,34126
135,1114008257,71-0862119,49708,31159
137,1730817768,71-0862119,116290,66190
140,1972370815,74-3019386,118403,70607
141,1497833263,71-0415188,46061,30337
143,1306928247,71-0862119,46062,32104
144,1518042118,71-0415188,46063,29999
147,1013098110,74-3019386,46064,34202
148,1568543668,74-3019386,46065,34193
151,1891417259,71-0862119,116445,66438
152,1477634277,71-0862119,49709,31353
153,1821172479,71-0862119,51919,31745
154,1235687542,71-0862119,43154,42866
157,1992888457,71-0415188,46067,30079
159,1730262379,71-0862119,46068,32346
163,1073694436,74-3019386,46069,34237
164,1437234374,71-0862119,53507,31141
165,1427139880,74-3019386,46070,34116
166,1790866507,71-0862119,46071,31433
170,1588749139,71-0862119,46072,32885
172,1144381781,71-0862119,55395,31583
174,1508970534,71-0862119,50227,31977
175,1134201023,71-0862119,46073,32548
177,1295817195,71-0862119,46074,31316
179,1477634525,71-0862119,46075,32225
180,1356422737,74-3019386,46076,34032
182,1730262544,71-0862119,46077,31646
184,1154402964,71-0862119,46078,32601
185,1659452142,74-3019386,46079,34086
186,1891875548,71-0415188,49700,30019
188,1871503870,71-0862119,46080,32195
189,1033290135,71-0862119,46081,31827
190,1720169865,71-0862119,46082,31469
192,1679663330,71-0862119,46083,31814
194,1689779498,74-3019386,46084,34239
195,1497836217,71-0862119,53239,31825
196,1255414892,71-0415188,46085,29750
197,1447331269,71-0415188,46086,29814
198,1700967528,71-0415188,46087,29845
199,1982734539,71-0415188,56010,30333
200,1336318021,71-0415188,59115,29859
201,1073694899,71-0415188,46088,29964
202,1821507575,74-3019386,43022,43625
205,1962585760,71-0862119,46089,31168
206,1033290044,74-3019386,46090,34110
211,1285718825,74-3019386,46091,34199
212,1982356051,71-0862119,115253,64711
213,1245311075,71-0415188,46092,29678
214,1649379520,74-3019386,46093,34318
216,1568569929,71-0415188,46094,29994
217,1942381447,74-3019386,46095,34315
219,1952484578,71-0862119,46096,32142
220,1629150529,74-3019386,46097,34350
222,1457432452,71-0415188,46098,29746
224,1801977913,71-0415188,46099,29637
228,1790867711,74-3019386,46101,34071
234,1801977806,71-0862119,46102,32805
238,1831279371,71-0862119,46103,31562
242,1093805293,71-0415188,46105,30031
243,1538240643,71-0862119,46106,31690
248,1972687515,74-3019386,46108,34048
249,1851491716,74-3019386,46109,34322
251,1932284247,74-3019386,46110,34037
253,1689755415,71-0415188,46112,29714
256,1235210238,71-0415188,46114,30113
258,1053494856,71-0862119,46115,32300
259,1518049949,74-3019386,46116,34311
260,1760564728,74-3019386,46117,34009
261,1437232998,71-0415188,46118,30123
262,1356455315,71-0415188,46119,30365
264,1477643187,71-0862119,46120,31604
265,1699852624,74-3019386,46121,34097
266,1790869345,74-3019386,46122,34069
267,1871676155,71-0862119,46123,31318
268,1891877791,71-0862119,46124,31607
272,1790867695,71-0862119,46125,32244
275,1346345089,74-3019386,46126,34073
278,1356424857,71-0862119,46127,31557
282,1588754246,71-0862119,46128,31507
284,1346322245,74-3019386,46129,34342
285,1568568863,74-3019386,46130,34051
286,1851473763,74-3019386,46131,34294
287,1184708729,71-0862119,50516,31628
294,1053493965,71-0862119,46132,31595
295,1780767061,71-0862119,46133,31369
297,1669577300,74-3019386,46134,34128
298,1205917226,71-0862119,46135,31691
299,1164512687,71-0862119,46136,31468
300,1841371861,71-0862119,50228,31547
301,1295816213,71-0862119,50744,32187
304,1790875334,71-0862119,46137,32184
306,1689762130,71-0862119,46138,31438
307,1013090950,71-0862119,46139,31197
308,1396827200,71-0862119,46140,31937
309,1912080425,71-0862119,46141,32078
310,1932284585,71-0862119,46142,32725
313,1326419946,71-0862119,33275,31978
314,1194807016,71-0862119,46143,31323
315,1740361765,71-0862119,46144,31902
316,1386725307,71-0862119,44601,32917
317,1801992292,71-0415188,49352,29878
318,1215012877,71-0415188,46145,29634
319,1598848871,71-0862119,46146,31741
321,1578668216,74-3019386,46147,34109
322,1841396157,74-3019386,46148,34120
325,1407939788,71-0862119,46149,32870
328,1487735213,71-0415188,46150,30382
329,1588752034,71-0862119,50518,32545
330,1215034624,74-3019386,46151,34335
331,1053494930,71-0862119,46152,32501
332,1174607717,71-0862119,46153,32624
335,1316020050,71-0862119,46155,31808
343,1790868917,71-0415188,46156,29766
345,1891876298,74-3019386,46158,34122
346,1063880375,71-0415188,32586,30295
350,1003999343,71-0415188,50755,29614
351,1992256325,74-3019386,48517,40691
355,1447336649,71-0862119,46159,32039
356,1023106085,71-0862119,46160,31593
359,1144306135,71-0415188,46161,30106
361,1609090091,71-0415188,56832,29623
363,1760565980,71-0862119,50634,32824
365,1417031055,71-0862119,46162,32538
366,1407938640,71-0862119,46163,32398
371,1578645487,74-3019386,46164,34305
372,1760259600,71-0415188,118567,70608
375,1225446206,71-0862119,36190,32088
376,1346326741,71-0862119,46165,31942
379,1679654677,71-0862119,46166,31726
381,1780780148,74-3019386,46167,34150
382,1164502316,71-0415188,46168,29895
383,1124124581,74-3019386,46169,33997
384,1033215496,74-3019386,46170,33982
386,1639252141,71-0862119,46171,32086
389,1972175271,71-0862119,114095,61454
391,1760560122,71-0862119,46172,31845
393,1073695995,71-0862119,46173,31805
395,1942306303,74-3019386,46174,34134
396,1174612436,71-0862119,46175,32284
397,1841396124,74-3019386,46176,34008
398,1154404739,74-3019386,46177,34248
399,1205917648,74-3019386,44633,34135
400,1407940851,74-3019386,46178,34049
402,1871799700,71-0862119,57100,31681
403,1265518468,71-0862119,50231,31401
404,1578654539,74-3019386,46179,33986
405,1487737334,71-0862119,46180,31826
406,1982786802,71-0862119,46181,32558
407,1487759122,74-3019386,46182,34044
408,1417048695,74-3019386,46183,34329
410,1306928544,71-0862119,46184,32788
412,1922189323,74-3019386,46185,34047
413,1669563847,74-3019386,50897,34046
416,1730570540,71-0862119,90,31408
417,1033290572,74-3019386,46186,34085
421,1093896193,74-3019386,46188,34313
422,1922483544,71-0415188,9330,29710
423,1427147271,71-0862119,46189,32644
424,1154410850,71-0862119,46190,31426
426,1588745087,74-3019386,46191,34232
427,1750464350,74-3019386,46192,34306
428,1093898959,71-0862119,46193,32572
429,1588769210,74-3019386,46194,34082
430,1942382189,71-0862119,46195,31324
431,1487737508,71-0862119,46196,32146
432,1033291463,71-0862119,46197,31787
433,1245329192,71-0862119,46198,31819
434,1174609374,71-0862119,46199,31284
435,1124109962,71-0415188,46200,29690
437,1114058385,74-3019386,56350,34172
440,1396840021,74-3019386,49731,34131
442,1326139502,74-3019386,46201,34003
443,1679605000,74-3019386,53691,33996
444,1336220813,71-0862119,46202,32173
447,1871693135,74-3019386,46204,34132
448,1184707044,71-0862119,46205,32637
449,1538251087,74-3019386,46206,34242
450,1689757445,71-0862119,46207,32906
451,1851452494,71-0862119,55564,31306
452,1578654521,74-3019386,46208,34156
456,1265539670,74-3019386,46209,34184
458,1013008291,74-3019386,46210,34139
459,1740061944,71-0862119,118049,70190
461,1700983111,74-3019386,46211,34241
462,1467558775,74-3019386,46212,34194
463,1992804348,74-3019386,54019,34245
464,1548352313,74-3019386,46213,34190
465,1093000275,74-3019386,2114,34169
467,1104907112,74-3019386,46214,34061
470,1447350434,74-3019386,46217,34091
471,1063594968,74-3019386,46218,34056
475,1962594739,74-3019386,46219,34148
476,1245336528,74-3019386,50898,34161
477,1093897233,71-0862119,50762,32891
480,1407939085,71-0415188,46220,29762
481,1326121559,71-0415188,46221,29613
483,1508955469,71-0862119,46222,31675
484,1841370509,71-0415188,53110,30054
486,1144308180,71-0415188,46223,29701
489,1255417655,71-0862119,46225,32007
490,1437432705,74-3019386,3615,34025
491,1992887137,71-0862119,46226,32486
492,1396828018,71-0862119,46227,32655
