Facility,Outage Type,Status,Walmart Week,Outage Start Date,Outage Time,Outage Duration,Outage Time Zone,Building Type,Day of Month
7024,Systems Outage Monthly Placeholder,Pending,34,September 20,11:00 p.m.,,Central,GDC,Third Wednesday
7045,Systems Outage Monthly Placeholder,Pending,34,September 20,1:00 a.m.,,Central,RDC,Third Wednesday
7095,Systems Outage Monthly Placeholder,Pending,34,September 20,4:00 a.m.,,Central,IMP,Third Wednesday
6066,Systems Outage Monthly Placeholder,Pending,34,September 21,1:30 a.m.,,Central,RDC,Fourth Thursday
6083,Systems Outage Monthly Placeholder,Pending,34,September 21,12:30 a.m.,,Central,GDC,Third Thursday
7067,Systems Outage Monthly Placeholder,Pending,35,September 23,12:30 a.m.,,Central,IDC,Fourth Saturday
6097,Systems Outage Monthly Placeholder,Pending,35,September 24,11:00 p.m.,,Central,GDC,Fourth Sunday
6030,Systems Outage Monthly Placeholder,Pending,35,September 25,11:00 p.m.,,Central,RDC,Fourth Monday
6082,Systems Outage Monthly Placeholder,Pending,35,September 25,12:30 a.m.,,Central,GDC,Fourth Monday
6858,Systems Outage Monthly Placeholder,Pending,35,September 25,11:30 p.m.,,Central,GDC,Fourth Monday
6038,Systems Outage Monthly Placeholder,Pending,35,September 25,06:00 p.m.,,Central,RDC,Fourth Monday
6056,Systems Outage Monthly Placeholder,Pending,35,September 26,11:00 p.m.,,Central,GDC,Fourth Tuesday
6074,Systems Outage Monthly Placeholder,Pending,35,September 26,10:00 a.m.,,Central,GDC,Fourth Tuesday
7019,Systems Outage Monthly Placeholder,Pending,35,September 26,12:30 a.m.,,Central,GDC,Fourth Tuesday
6017,Systems Outage Monthly Placeholder,Pending,35,September 27,12:30 a.m.,,Central,RDC,Fourth Wednesday
6025,Systems Outage Monthly Placeholder,Pending,35,September 27,1:00 a.m.,,Central,RDC,Fourth Wednesday
6071,Systems Outage Monthly Placeholder,Pending,35,September 27,12:00 a.m.,,Central,GDC,Fourth Wednesday
6099,Systems Outage Monthly Placeholder,Pending,35,September 27,11:30 p.m.,,Central,GDC,Fourth Wednesday
6005,Systems Outage Monthly Placeholder,Pending,36,October 01,9:00 p.m.,,Central,RDC,First Sunday
6022,Systems Outage Monthly Placeholder,Pending,36,October 01,9:00 p.m.,,Central,RDC,First Sunday
7014,Systems Outage Monthly Placeholder,Pending,36,October 01,10:00 p.m.,,Central,GDC,First Sunday
7035,Systems Outage Monthly Placeholder,Pending,36,October 01,12:30 a.m.,,Central,RDC,First Sunday
7055,Systems Outage Monthly Placeholder,Pending,36,October 01,10:30 p.m.,,Central,GDC,First Sunday
6039,Systems Outage Monthly Placeholder,Pending,36,October 02,6:00 p.m.,,Central,RDC,First Monday
6040,Systems Outage Monthly Placeholder,Pending,36,October 02,11:30 p.m.,,Central,RDC,First Monday
6043,Systems Outage Monthly Placeholder,Pending,36,October 02,12:00 a.m.,,Central,RDC,First Monday
7036,Systems Outage Monthly Placeholder,Pending,36,October 03,1:00 a.m.,,Central,RDC,First Tuesday
7038,Systems Outage Monthly Placeholder,Pending,36,October 03,12:30 a.m.,,Central,RDC,First Tuesday
7077,Systems Outage Monthly Placeholder,Pending,36,October 03,11:00 p.m.,,Central,GDC,Second Tuesday
8851,Systems Outage Monthly Placeholder,Pending,36,October 03,8:00 p.m.,,Central,GDC,First Tuesday
4154,Systems Outage Monthly Placeholder,Pending,36,October 04,9:00 p.m.,,Central,GDC,First Wednesday
6016,Systems Outage Monthly Placeholder,Pending,36,October 04,1:30 a.m.,,Central,RDC,First Wednesday
6035,Systems Outage Monthly Placeholder,Pending,36,October 04,1:30 a.m.,,Central,RDC,First Wednesday
7034,Systems Outage Monthly Placeholder,Pending,36,October 04,2:00 a.m.,,Central,RDC,First Wednesday
6010,Systems Outage Monthly Placeholder,Pending,36,October 04,1:00 a.m.,,Central,RDC,First Wednesday
6012,Systems Outage Monthly Placeholder,Pending,36,October 05,1:00 a.m.,,Central,RDC,First Thursday
6031,Systems Outage Monthly Placeholder,Pending,36,October 05,3:00 a.m.,,Central,RDC,First Thursday
6061,Systems Outage Monthly Placeholder,Pending,36,October 05,11:30 p.m.,,Central,IDC,First Thursday
7033,Systems Outage Monthly Placeholder,Pending,36,October 06,5:00 a.m.,,Central,RDC,First Friday
6019,Systems Outage Monthly Placeholder,Pending,37,October 07,2:00 a.m.,,Central,RDC,First Saturday
6070,Systems Outage Monthly Placeholder,Pending,37,October 07,1:00 a.m.,,Central,RDC,Second Saturday
7026,Systems Outage Monthly Placeholder,Pending,37,October 07,9:00 p.m.,,Central,RDC,First Saturday
6023,Systems Outage Monthly Placeholder,Pending,37,October 08,11:00 p.m.,,Central,RDC,Second Sunday
6055,Systems Outage Monthly Placeholder,Pending,37,October 08,11:30 p.m.,,Central,GDC,Second Sunday
6095,Systems Outage Monthly Placeholder,Pending,37,October 08,11:00 p.m.,,Central,GDC,Second Tuesday
7023,Systems Outage Monthly Placeholder,Pending,37,October 08,11:30 p.m.,,Central,GDC,Second Sunday
6021,Systems Outage Monthly Placeholder,Pending,37,October 09,4:30 a.m.,,Central,RDC,Second Monday
6069,Systems Outage Monthly Placeholder,Pending,37,October 09,1:00 a.m.,,Central,RDC,Second Monday
6072,Systems Outage Monthly Placeholder,Pending,37,October 09,12:30 a.m.,,Central,GDC,Second Monday
6085,Systems Outage Monthly Placeholder,Pending,37,October 09,12:30 a.m.,,Central,GDC,Second Monday
7018,Systems Outage Monthly Placeholder,Pending,37,October 09,12:00 a.m.,,Central,GDC,Second Monday
3960,Systems Outage Monthly Placeholder,Pending,37,October 10,1:00 a.m.,,Central,RDC,Second Tuesday
6006,Systems Outage Monthly Placeholder,Pending,37,October 10,12:00 a.m.,,Central,RDC,second Tuesday
6020,Systems Outage Monthly Placeholder,Pending,37,October 10,1:00 a.m.,,Central,RDC,Second Tuesday
6026,Systems Outage Monthly Placeholder,Pending,37,October 10,3:00 a.m.,,Central,RDC,Second Tuesday
6057,Systems Outage Monthly Placeholder,Pending,37,October 10,11:00 p.m.,,Central,GDC,Second Tuesday
6073,Systems Outage Monthly Placeholder,Pending,37,October 10,11:30 p.m.,,Central,GDC,Second Tuesday
6077,Systems Outage Monthly Placeholder,Pending,37,October 10,12:30 a.m.,,Central,GDC,Second Tuesday
7013,Systems Outage Monthly Placeholder,Pending,37,October 10,2:30 a.m.,,Central,GDC,Second Tuesday
7016,Systems Outage Monthly Placeholder,Pending,37,October 10,12:00 a.m.,,Central,GDC,Second Tuesday
6059,Systems Outage Monthly Placeholder,Pending,37,October 11,12:30 a.m.,,Central,GDC,Second Wednesday
6090,Systems Outage Monthly Placeholder,Pending,37,October 11,2:00 a.m.,,Central,GDC,Second Wednesday
6092,Systems Outage Monthly Placeholder,Pending,37,October 11,1:00 a.m.,,Central,RDC,Second Wednesday
7039,Systems Outage Monthly Placeholder,Pending,37,October 11,2:00 a.m.,,Central,RDC,Second Thursday
7048,Systems Outage Monthly Placeholder,Pending,37,October 11,1:00 a.m.,,Central,GDC,Second Wednesday
8397,Systems Outage Monthly Placeholder,Pending,37,October 12,3:00 a.m.,,Central,GDC,Second Thursday
6009,Systems Outage Monthly Placeholder,Pending,37,October 13,12:30 a.m.,,Central,RDC,Second Friday
6094,Systems Outage Monthly Placeholder,Pending,37,October 13,1:00 a.m.,,Central,RDC,Second Friday
6027,Systems Outage Monthly Placeholder,Pending,38,October 14,6:00 p.m.,,Central,RDC,Third Saturday
6080,Systems Outage Monthly Placeholder,Pending,38,October 14,6:00 p.m.,,Central,RDC,Third Saturday
6088,Systems Outage Monthly Placeholder,Pending,38,October 14,12:00 a.m.,,Central,IDC,Second Saturday
6285,Systems Outage Monthly Placeholder,Pending,38,October 15,9:30 p.m.,,Central,GDC,Third Sunday
7079,Systems Outage Monthly Placeholder,Pending,38,October 15,1:30 a.m.,,Central,GDC,Third Sunday
6011,Systems Outage Monthly Placeholder,Pending,38,October 16,12:00 a.m.,,Central,RDC,Third Monday
6042,Systems Outage Monthly Placeholder,Pending,38,October 16,12:30 a.m.,,Central,GDC,Third Monday
6062,Systems Outage Monthly Placeholder,Pending,38,October 16,12:30 a.m.,,Central,GDC,Third Monday
7010,Systems Outage Monthly Placeholder,Pending,38,October 16,1:00 a.m.,,Central,GDC,Third Monday
7012,Systems Outage Monthly Placeholder,Pending,38,October 16,11:30 p.m.,,Central,GDC,Third Monday
7042,Systems Outage Monthly Placeholder,Pending,38,October 16,12:00 a.m.,,Central,IDC,Third Monday
6096,Systems Outage Monthly Placeholder,Pending,38,October 17,11:30 p.m.,,Central,GDC,Third Tuesday
3951,Systems Outage Monthly Placeholder,Pending,38,October 17,1:00 a.m.,,Central,RDC,Third Tuesday
6047,Systems Outage Monthly Placeholder,Pending,38,October 17,10:30 p.m.,,Central,GDC,Third Tuesday
6064,Systems Outage Monthly Placeholder,Pending,38,October 17,12:30 a.m.,,Central,GDC,Third Tuesday
6065,Systems Outage Monthly Placeholder,Pending,38,October 17,12:30 a.m.,,Central,GDC,Third Tuesday
7017,Systems Outage Monthly Placeholder,Pending,38,October 17,11:00 p.m.,,Central,GDC,Third Tuesday
7021,Systems Outage Monthly Placeholder,Pending,38,October 17,1:00 a.m.,,Central,GDC,Third Tuesday
7047,Systems Outage Monthly Placeholder,Pending,38,October 17,3:00 a.m.,,Central,GDC,Third Tuesday
7078,Systems Outage Monthly Placeholder,Pending,38,October 17,2:00 a.m.,,Central,EDC,Third Tuesday
7084,Systems Outage Monthly Placeholder,Pending,38,October 17,2:30 a.m.,,Central,GDC,Third Tuesday
6068,Systems Outage Monthly Placeholder,Pending,38,October 18,2:00 a.m.,,Central,RDC,Third Wednesday
6084,Systems Outage Monthly Placeholder,Pending,38,October 18,12:00 a.m.,,Central,GDC,Third Wednesday
6091,Systems Outage Monthly Placeholder,Pending,38,October 18,12:00 a.m.,,Central,GDC,Third Wednesday
7015,Systems Outage Monthly Placeholder,Pending,38,October 18,10:00 p.m.,,Central,GDC,Third Wednesday
7045,Systems Outage Monthly Placeholder,Pending,38,October 18,1:00 a.m.,,Central,RDC,Third Wednesday
7095,Systems Outage Monthly Placeholder,Pending,38,October 18,4:00 a.m.,,Central,IMP,Third Wednesday
6037,Systems Outage Monthly Placeholder,Pending,38,October 19,2:00 a.m.,,Central,RDC,Third Thursday
6048,Systems Outage Monthly Placeholder,Pending,38,October 19,12:00 a.m.,,Central,RDC,Third Thursday
6054,Systems Outage Monthly Placeholder,Pending,38,October 19,1:00 a.m.,,Central,RDC,Third Thursday
6083,Systems Outage Monthly Placeholder,Pending,38,October 19,12:30 a.m.,,Central,GDC,Third Thursday
6018,Systems Outage Monthly Placeholder,Pending,38,October 20,3:00 a.m.,,Central,RDC,Third Friday
6024,Systems Outage Monthly Placeholder,Pending,38,October 20,1:00 a.m.,,Central,RDC,Third Friday
6036,Systems Outage Monthly Placeholder,Pending,39,October 21,6:00 p.m.,,Central,RDC,Fourth Saturday
6041,Systems Outage Monthly Placeholder,Pending,39,October 21,9:00 p.m.,,Central,WPM,Third Sunday
6060,Systems Outage Monthly Placeholder,Pending,39,October 21,11:00 p.m.,,Central,GDC,Third Saturday
7067,Systems Outage Monthly Placeholder,Pending,39,October 21,12:30 a.m.,,Central,IDC,Fourth Saturday
7842,Systems Outage Monthly Placeholder,Pending,39,October 21,9:00 p.m.,,Central,WPM,Third Sunday
6097,Systems Outage Monthly Placeholder,Pending,39,October 22,11:00 p.m.,,Central,GDC,Fourth Sunday
6030,Systems Outage Monthly Placeholder,Pending,39,October 23,11:00 p.m.,,Central,RDC,Fourth Monday
6082,Systems Outage Monthly Placeholder,Pending,39,October 23,12:30 a.m.,,Central,GDC,Fourth Monday
6858,Systems Outage Monthly Placeholder,Pending,39,October 23,11:30 p.m.,,Central,GDC,Fourth Monday
6038,Systems Outage Monthly Placeholder,Pending,39,October 23,06:00 p.m.,,Central,RDC,Fourth Monday
6056,Systems Outage Monthly Placeholder,Pending,39,October 24,11:00 p.m.,,Central,GDC,Fourth Tuesday
6074,Systems Outage Monthly Placeholder,Pending,39,October 24,10:00 a.m.,,Central,GDC,Fourth Tuesday
7019,Systems Outage Monthly Placeholder,Pending,39,October 24,12:00 a.m.,,Central,GDC,Fourth Tuesday
6017,Systems Outage Monthly Placeholder,Pending,39,October 25,12:30 a.m.,,Central,RDC,Fourth Wednesday
6025,Systems Outage Monthly Placeholder,Pending,39,October 25,1:00 a.m.,,Central,RDC,Fourth Wednesday
6071,Systems Outage Monthly Placeholder,Pending,39,October 25,12:00 a.m.,,Central,GDC,Fourth Wednesday
6099,Systems Outage Monthly Placeholder,Pending,39,October 25,11:30 p.m.,,Central,GDC,Fourth Wednesday
7024,Systems Outage Monthly Placeholder,Pending,39,October 25,11:00 p.m.,,Central,GDC,Third Wednesday
6066,Systems Outage Monthly Placeholder,Pending,39,October 26,1:30 a.m.,,Central,RDC,Fourth Thursday
7030,Systems Outage Monthly Placeholder,Pending,39,October 26,12:00 a.m.,,Central,GDC,Third Thursday
3699,Systems Outage Monthly Placeholder,Pending,,,,,Central,IDC,
7092,Systems Outage Monthly Placeholder,Pending,,,,,Central,IDC,
4896,Systems Outage Monthly Placeholder,Pending,,,,,Central,IDC,
8980,Systems Outage Monthly Placeholder,Pending,,,,,Central,IDC,
9652,Systems Outage Monthly Placeholder,Pending,,,,,Central,IDC,
9604,Systems Outage Monthly Placeholder,Pending,,,,,Central,IDC,
