Market,Store ,Launch Date 
334,79,7/15/2025
50,266,7/15/2025
53,426,7/15/2025
583,1055,7/15/2025
184,1753,7/15/2025
56,2086,7/15/2025
184,2142,7/15/2025
53,2427,7/15/2025
56,2463,7/15/2025
534,2686,7/15/2025
151,2757,7/15/2025
56,2883,7/15/2025
504,2974,7/15/2025
534,3164,7/15/2025
504,3198,7/15/2025
65,3226,7/15/2025
44,3284,7/15/2025
51,3406,7/15/2025
51,3482,7/15/2025
292,3639,7/15/2025
323,4108,7/15/2025
504,4182,7/15/2025
561,5021,7/15/2025
44,5147,7/15/2025
55,5191,7/15/2025
323,5261,7/15/2025
176,5447,7/15/2025
51,5673,7/15/2025
583,5823,7/15/2025
283,5936,7/15/2025
67,6930,7/15/2025
52,6963,7/15/2025
21,3,7/24/2025
89,110,7/24/2025
311,154,7/24/2025
92,174,7/24/2025
121,366,7/24/2025
516,377,7/24/2025
39,396,7/24/2025
25,459,7/24/2025
119,477,7/24/2025
97,488,7/24/2025
580,492,7/24/2025
259,493,7/24/2025
16,494,7/24/2025
242,497,7/24/2025
505,500,7/24/2025
260,507,7/24/2025
21,510,7/24/2025
38,511,7/24/2025
505,512,7/24/2025
39,514,7/24/2025
18,515,7/24/2025
24,518,7/24/2025
260,519,7/24/2025
21,520,7/24/2025
549,525,7/24/2025
242,526,7/24/2025
115,528,7/24/2025
93,538,7/24/2025
258,545,7/24/2025
114,547,7/24/2025
25,548,7/24/2025
71,549,7/24/2025
93,551,7/24/2025
258,552,7/24/2025
32,555,7/24/2025
28,556,7/24/2025
94,563,7/24/2025
260,571,7/24/2025
37,574,7/24/2025
26,575,7/24/2025
123,578,7/24/2025
94,579,7/24/2025
116,580,7/24/2025
94,582,7/24/2025
121,583,7/24/2025
260,584,7/24/2025
42,585,7/24/2025
37,586,7/24/2025
27,588,7/24/2025
256,589,7/24/2025
259,591,7/24/2025
28,593,7/24/2025
19,594,7/24/2025
124,599,7/24/2025
29,605,7/24/2025
29,606,7/24/2025
387,611,7/24/2025
94,613,7/24/2025
16,614,7/24/2025
22,615,7/24/2025
41,616,7/24/2025
580,617,7/24/2025
26,618,7/24/2025
119,619,7/24/2025
124,620,7/24/2025
38,621,7/24/2025
118,623,7/24/2025
39,624,7/24/2025
36,625,7/24/2025
38,627,7/24/2025
33,628,7/24/2025
39,629,7/24/2025
38,630,7/24/2025
35,631,7/24/2025
36,632,7/24/2025
38,634,7/24/2025
29,635,7/24/2025
42,638,7/24/2025
28,639,7/24/2025
35,640,7/24/2025
35,641,7/24/2025
38,642,7/24/2025
37,643,7/24/2025
39,644,7/24/2025
92,649,7/24/2025
120,658,7/24/2025
119,663,7/24/2025
257,665,7/24/2025
116,666,7/24/2025
120,669,7/24/2025
122,672,7/24/2025
121,676,7/24/2025
123,678,7/24/2025
123,680,7/24/2025
123,685,7/24/2025
28,686,7/24/2025
257,689,7/24/2025
124,690,7/24/2025
260,692,7/24/2025
259,693,7/24/2025
258,696,7/24/2025
93,697,7/24/2025
119,698,7/24/2025
259,702,7/24/2025
89,705,7/24/2025
89,706,7/24/2025
256,709,7/24/2025
89,713,7/24/2025
116,718,7/24/2025
257,719,7/24/2025
260,720,7/24/2025
118,721,7/24/2025
22,722,7/24/2025
123,724,7/24/2025
116,725,7/24/2025
22,727,7/24/2025
29,728,7/24/2025
256,729,7/24/2025
258,739,7/24/2025
121,741,7/24/2025
124,742,7/24/2025
19,745,7/24/2025
30,754,7/24/2025
120,756,7/24/2025
32,758,7/24/2025
116,759,7/24/2025
101,767,7/24/2025
115,769,7/24/2025
92,771,7/24/2025
118,778,7/24/2025
114,779,7/24/2025
21,780,7/24/2025
19,787,7/24/2025
33,795,7/24/2025
89,800,7/24/2025
387,806,7/24/2025
118,811,7/24/2025
107,814,7/24/2025
90,817,7/24/2025
105,819,7/24/2025
71,821,7/24/2025
385,824,7/24/2025
257,825,7/24/2025
375,826,7/24/2025
251,828,7/24/2025
385,829,7/24/2025
385,835,7/24/2025
28,836,7/24/2025
546,840,7/24/2025
389,842,7/24/2025
27,843,7/24/2025
385,850,7/24/2025
387,851,7/24/2025
246,854,7/24/2025
20,855,7/24/2025
22,856,7/24/2025
94,857,7/24/2025
97,858,7/24/2025
116,859,7/24/2025
94,860,7/24/2025
28,862,7/24/2025
28,864,7/24/2025
429,867,7/24/2025
387,868,7/24/2025
375,869,7/24/2025
580,870,7/24/2025
375,873,7/24/2025
309,877,7/24/2025
24,878,7/24/2025
41,881,7/24/2025
249,884,7/24/2025
27,889,7/24/2025
91,890,7/24/2025
27,899,7/24/2025
251,902,7/24/2025
379,905,7/24/2025
384,906,7/24/2025
32,907,7/24/2025
90,908,7/24/2025
546,920,7/24/2025
388,921,7/24/2025
243,922,7/24/2025
482,923,7/24/2025
378,924,7/24/2025
112,925,7/24/2025
