Store Number,On Hand,Sales?
1367,200,Your store has no sales. Please make sure the new clay modular is set.
4168,165,Your store has no sales. Please make sure the new clay modular is set.
2869,164,Your store has no sales. Please make sure the new clay modular is set.
1857,162,Your store has no sales. Please make sure the new clay modular is set.
1313,40,Your store has no sales. Please make sure the new clay modular is set.
6931,44,Your store has no sales. Please make sure the new clay modular is set.
3180,48,Your store has no sales. Please make sure the new clay modular is set.
563,92,Your store has no sales. Please make sure the new clay modular is set.
961,104,Your store has no sales. Please make sure the new clay modular is set.
2796,162,Your store has no sales. Please make sure the new clay modular is set.
936,174,Your store has no sales. Please make sure the new clay modular is set.
5329,220,Your store has no sales. Please make sure the new clay modular is set.
5814,4,Your store has no sales. Please make sure the new clay modular is set.
4381,6,Your store has no sales. Please make sure the new clay modular is set.
618,16,Your store has no sales. Please make sure the new clay modular is set.
18,44,Your store has no sales. Please make sure the new clay modular is set.
4474,84,Your store has no sales. Please make sure the new clay modular is set.
1324,88,Your store has no sales. Please make sure the new clay modular is set.
962,96,Your store has no sales. Please make sure the new clay modular is set.
1606,110,Your store has no sales. Please make sure the new clay modular is set.
3567,114,Your store has no sales. Please make sure the new clay modular is set.
2749,116,Your store has no sales. Please make sure the new clay modular is set.
2065,122,Your store has no sales. Please make sure the new clay modular is set.
5717,126,Your store has no sales. Please make sure the new clay modular is set.
3224,126,Your store has no sales. Please make sure the new clay modular is set.
2769,126,Your store has no sales. Please make sure the new clay modular is set.
2513,132,Your store has no sales. Please make sure the new clay modular is set.
2063,134,Your store has no sales. Please make sure the new clay modular is set.
807,134,Your store has no sales. Please make sure the new clay modular is set.
3482,136,Your store has no sales. Please make sure the new clay modular is set.
755,138,Your store has no sales. Please make sure the new clay modular is set.
5745,138,Your store has no sales. Please make sure the new clay modular is set.
1727,144,Your store has no sales. Please make sure the new clay modular is set.
512,150,Your store has no sales. Please make sure the new clay modular is set.
5430,150,Your store has no sales. Please make sure the new clay modular is set.
1969,150,Your store has no sales. Please make sure the new clay modular is set.
1041,154,Your store has no sales. Please make sure the new clay modular is set.
3500,156,Your store has no sales. Please make sure the new clay modular is set.
1000,156,Your store has no sales. Please make sure the new clay modular is set.
4615,156,Your store has no sales. Please make sure the new clay modular is set.
7087,156,Your store has no sales. Please make sure the new clay modular is set.
448,156,Your store has no sales. Please make sure the new clay modular is set.
5425,158,Your store has no sales. Please make sure the new clay modular is set.
248,161,Your store has no sales. Please make sure the new clay modular is set.
1888,162,Your store has no sales. Please make sure the new clay modular is set.
2780,162,Your store has no sales. Please make sure the new clay modular is set.
5394,162,Your store has no sales. Please make sure the new clay modular is set.
5134,162,Your store has no sales. Please make sure the new clay modular is set.
3897,162,Your store has no sales. Please make sure the new clay modular is set.
622,162,Your store has no sales. Please make sure the new clay modular is set.
2549,162,Your store has no sales. Please make sure the new clay modular is set.
2539,162,Your store has no sales. Please make sure the new clay modular is set.
4108,162,Your store has no sales. Please make sure the new clay modular is set.
1686,162,Your store has no sales. Please make sure the new clay modular is set.
1532,162,Your store has no sales. Please make sure the new clay modular is set.
2508,162,Your store has no sales. Please make sure the new clay modular is set.
1956,162,Your store has no sales. Please make sure the new clay modular is set.
890,162,Your store has no sales. Please make sure the new clay modular is set.
4132,162,Your store has no sales. Please make sure the new clay modular is set.
1042,162,Your store has no sales. Please make sure the new clay modular is set.
1991,162,Your store has no sales. Please make sure the new clay modular is set.
5369,162,Your store has no sales. Please make sure the new clay modular is set.
5247,162,Your store has no sales. Please make sure the new clay modular is set.
789,162,Your store has no sales. Please make sure the new clay modular is set.
670,162,Your store has no sales. Please make sure the new clay modular is set.
718,162,Your store has no sales. Please make sure the new clay modular is set.
5361,162,Your store has no sales. Please make sure the new clay modular is set.
1099,162,Your store has no sales. Please make sure the new clay modular is set.
2387,162,Your store has no sales. Please make sure the new clay modular is set.
1245,162,Your store has no sales. Please make sure the new clay modular is set.
1253,162,Your store has no sales. Please make sure the new clay modular is set.
