DC,BANNER ,CATEGORY ,Pick Type,ITEM #,ITEM DESC,Ti ,Hi , Pack Height 
6042,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6042,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6042,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6042,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6042,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6042,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6042,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6042,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6042,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6042,SAMS,CUT FLORAL,FPP,980268803,MOTHER'S DAY ROSE,1,1,24
6042,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6047,SAMS,CUT FLORAL,FPP,214451,ROSE ARRANGEMENT,1,1,24
6047,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6047,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6047,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
6047,SAMS,CUT FLORAL,Case Pick,980108723,DOUBLE DOZEN ROSE,9,3,26
6047,SAMS,CUT FLORAL,Case Pick,980110933,ELEGANT ROSE BOUQUET,9,3,26
6047,SAMS,CUT FLORAL,FPP,980196784,MOTHER'S DAY,1,1,25
6047,SAMS,CUT FLORAL,FPP,980199466,MOTHER'S DAY GRAND,1,1,24
6047,SAMS,CUT FLORAL,Case Pick,980248214,100 STEM ROSE,9,3,25
6047,SAMS,CUT FLORAL,Case Pick,980248226,ETERNAL LOVE,9,3,25
6047,SAMS,CUT FLORAL,Case Pick,980271243,100 STEM PINK ROSE,9,3,25
6055,SAMS,CUT FLORAL,FPP,557745,PREMIUM DOZEN ROSES,1,1,25
6055,SAMS,CUT FLORAL,FPP,980010313,ULTRA PREMIUM,1,1,30
6055,SAMS,CUT FLORAL,FPP,980013333,PREMIUM MAJESTIC,1,1,24
