,Store #         ,ST,Change,Del per Week,"Mon
(Sat)","Tue
(Sun)","Wed
(Mon)","Thu
(Tue)","Fri
(Wed)","Sat
(Thu)","Sun
(Fri)",,Delivery day is on top
BK2,199,IL,0,4,1,,1,,1,,1,,Order day is in parenthesis
BK2,603,IL,0,4,1,1,,1,,1,,,
BK2,633,IL,0,4,1,1,,1,,1,,,
BK2,636,IL,0,3,1,,1,,1,,,,
BK2,775,IL,0,4,1,1,,1,,1,,,
BK2,796,IL,0,4,1,,1,,1,,1,,
BK2,830,IL,0,3,,,1,,1,,1,,
BK2,852,IL,0,3,1,,1,,1,,,,
BK2,891,IL,0,4,1,1,,1,,1,,,
BK2,933,IL,0,3,,,1,,1,,1,,
BK2,1028,IL,0,3,,1,,1,,,1,,
BK2,1125,IL,0,4,1,1,,1,,1,,,
BK2,1176,WI,0,3,1,,1,,1,,,,
BK2,1267,WI,0,3,1,,1,,,1,,,
BK2,1274,WI,0,3,1,,,1,,1,,,
BK2,1305,WI,0,3,1,,,1,,1,,,
BK2,1323,IL,0,3,,,1,,1,,1,,
BK2,1421,IL,0,4,1,1,,1,,1,,,
BK2,1690,IL,0,4,1,1,,1,,1,,,
BK2,1740,IL,0,4,,1,1,,1,,1,,
BK2,1776,WI,0,3,1,,1,,,1,,,
BK2,2335,WI,0,3,1,,1,,1,,,,
BK2,2532,WI,0,3,1,,,1,,1,,,
BK2,2728,IL,0,3,,,1,,1,,1,,
BK2,3459,IL,0,4,1,,1,,1,,1,,
BK2,3460,IL,0,4,1,1,,1,,1,,,
BK2,3499,WI,0,3,1,,,1,,1,,,
BK2,3857,WI,0,3,1,,1,,1,,,,
BK2,5157,IL,0,3,,1,,1,,,1,,
BK2,5399,IL,0,4,1,1,,1,,1,,,
