Location Number,Capabilities,June 3 Hours,Week 19 (6/4-5) Additional Hours
377,Fuel + Pickup + Instore,16,33
525,Pickup + Instore,13,28
840,Fuel + Pickup + Instore,16,33
920,Fuel + Pickup + Instore,16,33
998,Pickup + Instore,13,28
2226,Pickup + Instore,13,28
2328,Pickup + Instore,13,28
2391,Pickup + Instore,13,28
2392,Pickup + Instore,13,28
2393,Pickup + Instore,13,28
2394,Pickup + Instore,13,28
2395,Pickup + Instore,13,28
2396,Instore Only,8,18
2397,Pickup + Instore,13,28
2406,Pickup + Instore,13,28
2414,Pickup + Instore,13,28
2425,Fuel + Pickup + Instore,16,33
2431,Fuel + Pickup + Instore,16,33
2433,Pickup + Instore,13,28
2442,Pickup + Instore,13,28
2451,Pickup + Instore,13,28
2465,Fuel + Pickup + Instore,16,33
2468,Pickup + Instore,13,28
2486,Pickup + Instore,13,28
2487,Pickup + Instore,13,28
2488,Fuel + Pickup + Instore,16,33
2499,Pickup + Instore,13,28
2590,Pickup + Instore,13,28
2632,Pickup + Instore,13,28
2685,Pickup + Instore,13,28
2686,Fuel + Pickup + Instore,16,33
2689,Pickup + Instore,13,28
2699,Fuel + Pickup + Instore,16,33
2731,Fuel + Pickup + Instore,16,33
2741,Pickup + Instore,13,28
2742,Pickup + Instore,13,28
2743,Pickup + Instore,13,28
2744,Pickup + Instore,13,28
2745,Pickup + Instore,13,28
2773,Fuel + Pickup + Instore,16,33
2801,Fuel + Pickup + Instore,16,33
2826,Pickup + Instore,13,28
2835,Pickup + Instore,13,28
2839,Pickup + Instore,13,28
2840,Fuel + Pickup + Instore,16,33
2858,Fuel + Pickup + Instore,16,33
2870,Fuel + Pickup + Instore,16,33
2875,Pickup + Instore,13,28
2876,Pickup + Instore,13,28
2877,Pickup + Instore,13,28
2878,Pickup + Instore,13,28
2880,Pickup + Instore,13,28
2887,Pickup + Instore,13,28
2907,Pickup + Instore,13,28
2919,Fuel + Pickup + Instore,16,33
2930,Pickup + Instore,13,28
2940,Fuel + Pickup + Instore,16,33
2944,Fuel + Pickup + Instore,16,33
2974,Pickup + Instore,13,28
2975,Pickup + Instore,13,28
2976,Pickup + Instore,13,28
2977,Pickup + Instore,13,28
2979,Pickup + Instore,13,28
2981,Pickup + Instore,13,28
2984,Fuel + Pickup + Instore,16,33
2995,Pickup + Instore,13,28
2998,Pickup + Instore,13,28
3011,Pickup + Instore,13,28
3013,Pickup + Instore,13,28
3015,Pickup + Instore,13,28
3019,Pickup + Instore,13,28
3022,Pickup + Instore,13,28
3023,Pickup + Instore,13,28
3026,Pickup + Instore,13,28
3042,Pickup + Instore,13,28
3043,Fuel + Pickup + Instore,16,33
3046,Pickup + Instore,13,28
3047,Pickup + Instore,13,28
3049,Pickup + Instore,13,28
3050,Pickup + Instore,13,28
3062,Pickup + Instore,13,28
3066,Pickup + Instore,13,28
3069,Pickup + Instore,13,28
3070,Pickup + Instore,13,28
3071,Pickup + Instore,13,28
3072,Pickup + Instore,13,28
3074,Pickup + Instore,13,28
3082,Pickup + Instore,13,28
3083,Pickup + Instore,13,28
3084,Pickup + Instore,13,28
3090,Pickup + Instore,13,28
3094,Pickup + Instore,13,28
3098,Pickup + Instore,13,28
3099,Instore Only,8,18
3101,Pickup + Instore,13,28
3104,Pickup + Instore,13,28
3110,Pickup + Instore,13,28
3111,Pickup + Instore,13,28
3123,Pickup + Instore,13,28
3126,Pickup + Instore,13,28
3127,Pickup + Instore,13,28
3128,Pickup + Instore,13,28
3131,Pickup + Instore,13,28
3132,Pickup + Instore,13,28
3133,Instore Only,8,18
3135,Pickup + Instore,13,28
3138,Pickup + Instore,13,28
3139,Pickup + Instore,13,28
3140,Pickup + Instore,13,28
3141,Pickup + Instore,13,28
3143,Pickup + Instore,13,28
3144,Pickup + Instore,13,28
3145,Instore Only,8,18
3146,Pickup + Instore,13,28
3147,Pickup + Instore,13,28
3152,Pickup + Instore,13,28
3153,Pickup + Instore,13,28
3154,Pickup + Instore,13,28
3155,Instore Only,8,18
3156,Pickup + Instore,13,28
3157,Pickup + Instore,13,28
3161,Pickup + Instore,13,28
3162,Pickup + Instore,13,28
3164,Pickup + Instore,13,28
3166,Pickup + Instore,13,28
3168,Pickup + Instore,13,28
3172,Pickup + Instore,13,28
3173,Pickup + Instore,13,28
