Region,Market,Store,Digital Shelf Labels,DSL Gen,DSL Start Date,Resource Link,Toolkit Link by Gen,RDC,APD Phase 1,APD Phase 2,APD Phase 3,HVDC Start Date,FDD Start Date,CoSTL Install Date,Digital Lock Install Date,Digital Lock Survey Date,Next Gen Cash Recycler Install Date,Initial Change Order Delivery Date,Mobile Calling
76,191,3332,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6038,8/15/2024,10/24/2025,2/24/2027,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
76,286,3344,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7045,4/1/2028,7/1/2029,,Completed,Completed,8/18/2024,TBD,TBD,6/5/2025,5/26/2025,6/12/2025
52,422,3364,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6025,Complete,4/6/2025,8/6/2026,Completed,Completed,TBD,LIVE,Completed,Completed,Completed,7/8/2025
54,401,3366,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7026,7/1/2027,10/1/2028,,9/16/2024,9/16/2024,9/9/2024,TBD,TBD,Completed,Completed,TBD
52,413,3394,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,TBD,TBD,TBD,Completed,Completed,TBD
25,265,3400,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
22,170,3564,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7034,7/1/2027,10/1/2028,,Completed,Completed,TBD,LIVE,Completed,Completed,Completed,6/12/2025
2,30,3570,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6010,Complete,1/6/2025,5/6/2026,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
25,266,3601,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
25,275,3602,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,Completed,Completed,7/8/2024,LIVE,Completed,Completed,Completed,TBD
54,401,3789,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7026,7/1/2027,10/1/2028,,9/16/2024,9/16/2024,9/8/2024,TBD,TBD,Completed,Completed,TBD
76,192,3842,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6038,8/15/2024,10/24/2025,2/24/2027,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
47,430,3872,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6019,12/8/2025,3/8/2027,7/8/2028,8/5/2024,8/5/2024,TBD,TBD,TBD,Completed,Completed,TBD
21,259,3894,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,8/18/2024,LIVE,Completed,Completed,Completed,6/17/2025
64,528,4056,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6016,Complete,11/12/2024,3/12/2026,Completed,Completed,TBD,TBD,TBD,4/10/2025,3/31/2025,TBD
5,479,4165,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6068,4/1/2028,7/1/2029,,Completed,Completed,6/4/2024,LIVE,Completed,Completed,Completed,TBD
58,365,4203,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
12,122,4223,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6039,Complete,4/18/2025,8/18/2026,6/24/2024,6/24/2024,TBD,TBD,TBD,Completed,Completed,TBD
58,365,4337,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
46,373,4430,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,TBD,TBD,5/8/2025,4/28/2025,TBD
46,373,4451,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,TBD,TBD,5/7/2025,4/28/2025,TBD
76,195,4597,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6038,8/15/2024,10/24/2025,2/24/2027,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
22,168,4612,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6080,4/1/2027,7/1/2028,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
22,167,4687,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7034,7/1/2027,10/1/2028,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
46,366,5031,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,LIVE,Completed,5/10/2025,5/5/2025,6/10/2025
25,270,5060,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
76,286,5105,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7045,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,TBD,TBD,TBD,Completed,Completed,6/12/2025
76,231,5241,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6027,7/25/2024,11/24/2025,3/24/2027,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
2,26,5275,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6054,4/1/2027,7/1/2028,,8/5/2024,8/5/2024,TBD,TBD,TBD,3/3/2025,2/25/2025,TBD
25,269,5276,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
58,365,5342,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,7/8/2025
54,403,5350,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7026,7/1/2027,10/1/2028,,9/16/2024,9/16/2024,9/30/2024,TBD,TBD,Completed,Completed,7/8/2025
22,284,5436,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7034,7/1/2027,10/1/2028,,Completed,Completed,TBD,LIVE,Completed,Completed,Completed,6/12/2025
25,264,5442,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
76,228,5445,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6027,7/25/2024,11/24/2025,3/24/2027,Completed,Completed,TBD,LIVE,Completed,Completed,Completed,6/12/2025
40,336,5477,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,TBD,TBD,TBD,4/9/2025,3/31/2025,TBD
46,367,5626,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/10/2025
22,284,5795,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7034,7/1/2027,10/1/2028,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/12/2025
76,292,5969,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7045,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,5/26/2024,TBD,TBD,Completed,Completed,6/12/2025
52,423,5992,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6025,Complete,4/6/2025,8/6/2026,Completed,Completed,TBD,TBD,TBD,Completed,Completed,TBD
12,5,6878,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6006,8/22/2024,4/2/2026,8/2/2027,6/24/2024,6/24/2024,TBD,TBD,TBD,4/16/2025,4/7/2025,TBD
76,286,6952,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7045,4/1/2028,7/1/2029,,6/24/2024,6/24/2024,7/30/2024,TBD,TBD,Completed,Completed,6/12/2025
41,242,7290,YES,Gen 3,9/7/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6017,4/7/2025,10/31/2026,2/29/2028,6/24/2024,6/24/2024,5/28/2024,TBD,TBD,Completed,Completed,TBD
40,335,19,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6018,3/17/2025,11/13/2026,3/13/2028,7/22/2024,7/22/2024,TBD,1/16/2025,Completed,Completed,Completed,TBD
25,278,197,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,TBD,TBD,TBD,Completed,Completed,6/17/2025
40,360,234,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6035,8/15/2024,1/26/2026,5/26/2027,Completed,Completed,TBD,LIVE,Completed,4/1/2025,3/25/2025,TBD
6,85,322,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7036,4/1/2028,7/1/2029,,Completed,Completed,9/10/2024,TBD,TBD,3/6/2025,2/24/2025,6/10/2025
13,132,415,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6048,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,4/10/2025,3/31/2025,TBD
47,407,418,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6035,8/15/2024,1/26/2026,5/26/2027,8/5/2024,8/5/2024,TBD,TBD,TBD,Completed,Completed,TBD
25,275,480,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,7/22/2024,TBD,TBD,Completed,Completed,6/17/2025
25,273,481,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,Completed,Completed,7/16/2024,TBD,TBD,Completed,Completed,6/17/2025
13,141,501,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6011,Complete,9/12/2025,1/12/2027,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,6/10/2025
7,74,536,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6012,12/18/2024,6/18/2026,10/18/2027,Completed,Completed,9/11/2024,TBD,TBD,5/3/2025,4/29/2025,6/10/2025
41,257,569,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,8/27/2024,TBD,TBD,Completed,Completed,TBD
25,275,609,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,TBD,TBD,TBD,Completed,Completed,TBD
4,38,630,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6040,8/15/2024,12/22/2025,4/22/2027,Completed,Completed,8/14/2024,1/14/2025,Completed,Completed,Completed,6/12/2025
12,151,682,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,6/19/2024,TBD,TBD,3/3/2025,2/24/2025,TBD
52,418,797,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,TBD,TBD,TBD,Completed,Completed,7/8/2025
46,375,826,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,7/15/2024,7/15/2024,TBD,TBD,TBD,4/26/2025,4/21/2025,6/10/2025
25,279,830,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,,,TBD,TBD,TBD,Completed,Completed,6/17/2025
46,384,906,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,7/15/2024,7/15/2024,TBD,TBD,TBD,5/3/2025,4/28/2025,TBD
25,279,957,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,6/17/2025
25,262,1003,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,6/17/2025
3,27,1006,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6010,Complete,1/6/2025,5/6/2026,6/24/2024,6/24/2024,TBD,TBD,TBD,2/20/2025,Completed,6/24/2025
25,278,1028,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,6/17/2025
25,273,1093,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/17/2025
4,39,1130,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6070,1/1/2028,4/1/2029,,Completed,Completed,9/16/2024,TBD,TBD,Completed,Completed,TBD
40,339,1161,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6069,4/1/2028,7/1/2029,,8/5/2024,8/5/2024,TBD,LIVE,Completed,4/17/2025,4/7/2025,6/17/2025
5,50,1178,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6068,4/1/2028,7/1/2029,,9/16/2024,9/16/2024,6/17/2024,TBD,TBD,3/3/2025,2/24/2025,TBD
25,266,1256,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
25,262,1307,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/17/2025
12,152,1376,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6066,7/1/2027,10/1/2028,,6/24/2024,6/24/2024,8/12/2024,TBD,TBD,3/1/2025,2/24/2025,6/24/2025
25,270,1377,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,6/17/2025
46,372,1381,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6031,6/30/2025,10/30/2026,,Completed,Completed,TBD,LIVE,Completed,4/25/2025,4/14/2025,6/10/2025
52,413,1393,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,1/21/2025,TBD,TBD,Completed,Completed,7/8/2025
46,384,1397,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6012,12/18/2024,6/18/2026,10/18/2027,7/15/2024,7/15/2024,TBD,LIVE,Completed,5/2/2025,4/21/2025,TBD
25,269,1404,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
25,264,1420,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
54,403,1440,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7026,7/1/2027,10/1/2028,,9/16/2024,9/16/2024,9/4/2024,TBD,TBD,Completed,Completed,TBD
52,419,1447,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6025,Complete,4/6/2025,8/6/2026,6/24/2024,6/24/2024,TBD,TBD,TBD,Completed,Completed,7/8/2025
25,275,1451,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,8/5/2024,8/5/2024,7/23/2024,TBD,TBD,Completed,Completed,6/17/2025
25,269,1489,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7039,11/1/2026,2/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
52,415,1509,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6009,10/1/2026,1/1/2028,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,TBD
22,233,1529,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6027,7/25/2024,11/24/2025,3/24/2027,Completed,Completed,1/21/2025,TBD,TBD,Completed,Completed,6/12/2025
25,270,1531,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6092,4/1/2028,7/1/2029,,7/22/2024,7/22/2024,TBD,TBD,TBD,Completed,Completed,6/17/2025
3,111,1536,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6020,Complete,9/1/2024,In Progress,6/24/2024,6/24/2024,4/30/2024,TBD,TBD,Completed,Completed,6/24/2025
22,234,1537,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,7045,4/1/2028,7/1/2029,,Completed,Completed,9/22/2024,TBD,TBD,Completed,Completed,6/12/2025
20,229,1568,YES,Gen 3,9/14/2025,DSL Digital Toolkit,https://one.walmart.com/content/uswire/en_us/work1/operations/end2end/new-store-rollouts/digital-shelf-labels-overview/dsl-gen-3.html,6027,7/25/2024,11/24/2025,3/24/2027,Completed,Completed,TBD,TBD,TBD,Completed,Completed,6/17/2025
