Store,City,State,Launch
472,Broken Arrow,OK,April
528,Braden River,FL,April
576,Tulsa,OK,April
592,Derby,KS,April
769,Venice,FL,April
848,Southaven,MS,April
894,Tulsa,OK,April
950,Bartlett,TN,April
992,Tulsa,OK,April
1004,Bradenton,FL,April
1082,Jacksonville,FL,April
1083,Jacksonville,FL,April
1090,Jacksonville,FL,April
1099,Wichita,KS,April
1171,Sarasota,FL,April
1172,Jacksonville,FL,April
1173,Jacksonville,FL,April
1219,Jacksonville,FL,April
1221,Wichita,KS,April
1225,Orange Park,FL,April
1248,Memphis,TN,April
1291,Tucson,AZ,April
1424,Colonial Heights,VA,April
1444,Jacksonville,FL,April
1458,Fort Oglethorpe,GA,April
1469,Chattanooga,TN,April
1507,Wichita,KS,April
1523,Glen Allen,VA,April
1524,Chester,VA,April
1525,Mechanicsville,VA,April
1561,Memphis,TN,April
1597,Tulsa,OK,April
1606,Hixson,TN,April
1631,Hampton,VA,April
1637,Omaha,NE,April
1671,Papillion,NE,April
1682,Chesapeake,VA,April
1688,Virginia Beach,VA,April
1773,Newport News,VA,April
1811,Norfolk,VA,April
1841,Chesapeake,VA,April
1965,Council Bluffs,IA,April
1969,Midlothian,VA,April
2295,Richmond,VA,April
2322,Cordova,TN,April
2392,Sarasota,FL,April
2459,Sarasota,FL,April
2529,Virginia Beach,VA,April
2808,Midlothian,VA,April
2821,Richmond,VA,April
2846,Olive Branch,MS,April
2847,Bellevue,NE,April
2920,Orange Park,FL,April
2922,Tucson,AZ,April
3066,Sarasota,FL,April
3143,Tucson,AZ,April
3150,Council Bluffs,IA,April
3156,Hampton,VA,April
3172,Omaha,NE,April
3173,La Vista,NE,April
3214,Suffolk,VA,April
3216,Virginia Beach,VA,April
3265,Yorktown,VA,April
3267,Omaha,NE,April
3283,Wichita,KS,April
3308,Middleburg,FL,April
3309,Jacksonville,FL,April
3340,Tulsa,OK,April
3370,Palmetto,FL,April
3387,North Port,FL,April
3474,Bradenton,FL,April
3492,Wichita,KS,April
3599,Bartlett,TN,April
3659,Chattanooga,TN,April
3831,Portsmouth,VA,April
3869,Richmond,VA,April
3884,Tucson,AZ,April
3885,Richmond,VA,April
4064,Virginia Beach,VA,April
4191,Richmond,VA,April
4321,Wichita,KS,April
4358,Omaha,NE,April
4444,Jacksonville,FL,April
4561,Jacksonville,FL,April
4600,Gretna,NE,April
4623,Newport News,VA,April
4692,East Ridge,TN,April
5005,Jacksonville,FL,April
5031,Tucson,AZ,April
5043,Memphis,TN,April
5054,Jacksonville,FL,April
5122,Memphis,TN,April
5141,Omaha,NE,April
5253,Chesapeake,VA,April
5264,Osprey,FL,April
5361,Omaha,NE,April
5488,Norfolk,VA,April
5626,Tucson,AZ,April
5725,Tucson,AZ,April
5727,Bradenton,FL,April
5799,Tucson,AZ,April
5922,Virginia Beach,VA,April
6170,Tulsa,OK,April
6807,Memphis,TN,April
6964,Horn Lake,MS,April
6978,Jacksonville,FL,April
7032,Henrico,VA,April
7174,North Chesterfield,VA,April
7307,Bradenton,FL,April
