Store Number,Current # of Locker Doors,Current # of 18 Door Units,Current # of 36 Door Lockers,Current # of Locker Units ,18- Door Lockers to Remove,36- Door Lockers to Remove,Total Locker Units to Remove,Total Locker Units Remaining
9,126,1,3,4,1,1,2,2
14,126,1,3,4,1,1,2,2
19,126,1,3,4,1,1,2,2
25,126,1,3,4,1,1,2,2
27,126,1,3,4,1,1,2,2
37,126,1,3,4,1,1,2,2
51,108,0,3,3,,1,1,2
60,108,0,3,3,,1,1,2
61,126,1,3,4,1,1,2,2
65,126,1,3,4,1,1,2,2
69,126,1,3,4,1,1,2,2
80,108,0,3,3,,1,1,2
82,108,0,3,3,,1,1,2
95,108,0,3,3,,1,1,2
122,108,0,3,3,,1,1,2
159,90,1,2,3,1,,1,2
184,144,0,4,4,,2,2,2
188,90,1,2,3,1,,1,2
217,126,1,3,4,1,1,2,2
219,144,0,4,4,,2,2,2
220,108,0,3,3,,1,1,2
243,108,0,3,3,,1,1,2
271,108,0,3,3,,1,1,2
290,126,1,3,4,1,1,2,2
295,108,0,3,3,,1,1,2
297,108,0,3,3,,1,1,2
313,108,0,3,3,,1,1,2
319,126,1,3,4,1,1,2,2
371,144,0,4,4,,2,2,2
396,108,0,3,3,,1,1,2
400,108,0,3,3,,1,1,2
414,126,1,3,4,1,1,2,2
451,126,1,3,4,1,1,2,2
467,108,0,3,3,,1,1,2
471,126,1,3,4,1,1,2,2
488,108,0,3,3,,1,1,2
538,108,0,3,3,,1,1,2
573,126,1,3,4,1,1,2,2
579,72,0,2,2,,,0,2
602,108,0,3,3,,1,1,2
610,108,0,3,3,,1,1,2
631,108,0,3,3,,1,1,2
644,126,1,3,4,1,1,2,2
648,108,0,3,3,,1,1,2
744,126,1,3,4,1,1,2,2
767,126,1,3,4,1,1,2,2
772,108,0,3,3,,1,1,2
805,108,0,3,3,,1,1,2
818,126,1,3,4,1,1,2,2
820,108,0,3,3,,1,1,2
901,144,0,4,4,,2,2,2
948,126,1,3,4,1,1,2,2
1014,108,0,3,3,,1,1,2
1021,108,0,3,3,,1,1,2
1032,72,0,2,2,,,0,2
1040,144,0,4,4,,2,2,2
1060,108,0,3,3,,1,1,2
1064,108,0,3,3,,1,1,2
1067,90,1,2,3,1,,1,2
1090,108,0,3,3,,1,1,2
1094,108,0,3,3,,1,1,2
1123,126,1,3,4,1,1,2,2
1148,126,1,3,4,1,1,2,2
1161,108,0,3,3,,1,1,2
1177,126,1,3,4,1,1,2,2
1188,108,0,3,3,,1,1,2
1191,108,0,3,3,,1,1,2
1205,126,1,3,4,1,1,2,2
1207,108,0,3,3,,1,1,2
1223,108,0,3,3,,1,1,2
1225,108,0,3,3,,1,1,2
1235,108,0,3,3,,1,1,2
1236,108,0,3,3,,1,1,2
1242,126,1,3,4,1,1,2,2
1279,126,1,3,4,1,1,2,2
1297,108,0,3,3,,1,1,2
1321,126,1,3,4,1,1,2,2
1372,108,0,3,3,,1,1,2
1375,126,1,3,4,1,1,2,2
1408,108,0,3,3,,1,1,2
1426,126,1,3,4,1,1,2,2
1427,108,0,3,3,,1,1,2
1444,108,0,3,3,,1,1,2
1447,126,1,3,4,1,1,2,2
1470,108,0,3,3,,1,1,2
1478,126,1,3,4,1,1,2,2
1519,126,1,3,4,1,1,2,2
1549,108,0,3,3,,1,1,2
1562,108,0,3,3,,1,1,2
1564,126,1,3,4,1,1,2,2
1573,126,1,3,4,1,1,2,2
1577,126,1,3,4,1,1,2,2
1609,108,0,3,3,,1,1,2
1616,108,0,3,3,,1,1,2
1633,108,0,3,3,,1,1,2
1634,144,0,4,4,,2,2,2
1648,72,0,2,2,,,0,2
1661,108,0,3,3,,1,1,2
1663,126,1,3,4,1,1,2,2
1672,126,1,3,4,1,1,2,2
1686,108,0,3,3,,1,1,2
1738,126,1,3,4,1,1,2,2
1757,126,1,3,4,1,1,2,2
1768,108,0,3,3,,1,1,2
1837,108,0,3,3,,1,1,2
1857,108,0,3,3,,1,1,2
1861,162,1,4,5,1,2,3,2
1863,126,1,3,4,1,1,2,2
1927,108,0,3,3,,1,1,2
1929,126,1,3,4,1,1,2,2
1999,126,1,3,4,1,1,2,2
2007,108,0,3,3,,1,1,2
2058,108,0,3,3,,1,1,2
2066,72,0,2,2,,,0,2
2114,144,0,4,4,,2,2,2
2189,72,0,2,2,,,0,2
2207,108,0,3,3,,1,1,2
2213,126,1,3,4,1,1,2,2
2257,72,0,2,2,,,0,2
2307,126,1,3,4,1,1,2,2
2313,108,0,3,3,,1,1,2
2323,126,1,3,4,1,1,2,2
2352,126,1,3,4,1,1,2,2
2367,126,1,3,4,1,1,2,2
2400,144,0,4,4,,2,2,2
2421,108,0,3,3,,1,1,2
2496,108,0,3,3,,1,1,2
2511,126,1,3,4,1,1,2,2
2539,108,0,3,3,,1,1,2
2549,144,0,4,4,,2,2,2
2600,108,0,3,3,,1,1,2
2605,108,0,3,3,,1,1,2
2617,126,1,3,4,1,1,2,2
2626,126,1,3,4,1,1,2,2
2638,126,1,3,4,1,1,2,2
2749,108,0,3,3,,1,1,2
22,126,1,3,4,1,1,2,2
35,108,0,3,3,,1,1,2
40,126,1,3,4,1,1,2,2
103,126,1,3,4,1,1,2,2
109,126,1,3,4,1,1,2,2
112,108,0,3,3,,1,1,2
113,108,0,3,3,,1,1,2
114,126,1,3,4,1,1,2,2
118,108,0,3,3,,1,1,2
