New - Market Nbr,New - Store Nbr
1,853
1,866
1,904
1,934
1,991
1,1212
1,2748
1,4333
1,4581
1,5174
1,6173
2,562
2,670
2,762
2,1158
2,1711
2,2723
2,5113
2,7280
3,300
3,301
3,315
3,316
3,681
3,691
3,1201
3,2713
3,3386
3,5126
4,105
4,114
4,118
4,153
4,164
4,176
4,258
4,273
4,274
4,303
4,391
5,298
5,306
5,314
5,332
5,375
5,433
5,434
5,712
5,5197
5,6878
5,7324
7,604
7,723
7,734
7,740
7,1063
7,1091
7,1134
7,1462
7,1638
7,2114
7,2534
8,424
8,483
8,700
8,930
8,938
8,1101
8,4318
8,4407
8,5348
9,3049
9,3143
9,3357
9,3377
9,4264
9,4293
9,4324
9,4473
9,4490
9,4603
9,5304
9,5725
10,329
10,355
10,356
10,432
10,726
10,730
10,733
10,809
10,863
10,1057
11,287
11,362
11,425
11,715
11,731
11,764
11,1052
11,2306
13,423
13,1229
13,1481
13,2111
13,3271
13,4330
13,4497
13,5262
14,990
14,1174
14,1222
14,1224
14,1493
14,1605
14,1620
14,2533
14,2739
14,2760
14,3484
14,3785
14,7247
15,818
15,919
15,944
15,1032
15,1207
15,1362
15,3075
15,3119
15,3439
15,5845
15,5872
16,494
16,614
16,932
16,1112
16,1284
16,1311
16,1338
16,3461
16,4200
16,4283
16,5363
18,515
18,1070
18,1122
18,1403
18,2513
18,2753
18,3485
18,3874
18,4616
18,5786
18,5812
19,745
19,3201
19,3401
19,3402
19,3609
19,3709
19,5709
19,6998
20,1184
20,1340
20,2475
20,2584
20,3067
20,3118
20,3188
20,3710
20,4472
21,3
21,510
21,1111
21,1121
21,1363
21,1400
21,1701
21,2811
21,3627
21,5482
22,594
22,722
22,727
22,787
22,855
22,856
22,1047
22,1488
22,2732
22,4409
23,1181
23,1578
23,1766
23,2360
23,3205
23,3621
23,3741
23,3775
23,5390
24,575
24,878
24,1314
24,1373
24,2154
24,2941
24,3462
24,4185
24,4436
24,7185
25,459
25,520
25,548
25,780
25,1720
25,3388
25,3389
25,3786
25,4558
25,5252
26,518
26,615
26,618
26,937
26,1586
26,3403
26,3471
26,3611
26,3748
26,5275
26,5814
27,588
27,843
27,889
27,899
27,952
27,1006
27,1072
27,2615
27,5797
27,7194
27,7245
28,556
28,593
28,639
28,686
28,836
28,862
28,864
28,1018
28,1061
28,2630
28,5392
29,605
29,606
29,635
29,728
29,1011
29,1383
29,2832
29,2860
29,4556
29,6395
29,7181
30,754
30,1024
30,1143
30,1227
30,1293
30,1658
30,2754
30,3570
30,4144
30,5735
32,555
32,758
32,907
32,1076
32,1153
32,1367
32,2733
32,2890
32,3750
32,7246
35,631
35,640
35,641
35,1123
35,1244
35,2265
35,2687
35,3191
35,3192
35,3222
35,4583
35,5487
36,628
36,632
36,1037
36,1146
36,1358
36,1359
36,1748
36,2348
36,2928
36,3367
36,4384
37,574
37,586
37,621
37,625
37,643
37,1829
37,2712
37,4664
37,5087
37,5705
38,511
38,616
38,627
38,630
38,634
38,642
38,1017
38,1030
38,1135
38,2703
38,4457
38,7188
39,396
39,514
39,624
39,644
39,795
39,1130
39,1270
39,1382
39,4487
39,6576
39,6887
41,881
41,1164
41,1183
41,1286
41,1339
41,2214
41,4420
41,4440
41,4506
41,4521
42,585
42,629
42,638
42,1035
42,1144
42,1281
42,1603
42,2806
42,3733
42,4237
42,4593
44,245
44,1455
44,1801
44,2466
44,2978
44,3284
44,3285
44,3631
44,4279
44,4503
44,5147
45,251
45,265
45,412
45,516
45,827
45,1022
45,1044
45,2688
45,3764
45,6467
46,146
46,165
46,180
46,345
46,398
46,399
46,523
46,572
46,918
46,3828
47,38
47,49
47,117
47,131
47,148
47,181
47,226
47,240
47,417
47,427
47,468
47,2123
48,220
48,228
48,353
48,371
48,590
48,804
48,963
48,3431
48,4509
48,5359
49,284
49,471
49,896
49,3014
49,3432
49,3433
49,5288
49,5810
50,266
50,807
50,880
50,1178
50,2649
50,2834
50,3044
50,3274
50,5080
50,5416
51,202
51,1117
51,2918
51,2973
51,3406
51,3482
51,5210
51,5672
51,5673
52,206
52,467
52,3286
52,4627
52,5211
52,5311
52,5707
52,6963
53,217
