Mkt,Wk,Reg,Associate Material Handling,Associate Falls,Associate Falling Merchandise,Associate Other,Accident Free Week,Safety Meetings,Late Reporting,Points For the Week,YTD Points, Five Star ,Sales Growth,BU Rank,Company Rank
219,42,21,2,1,0,0,0,0,0,3,38, 4.32 ,7.95%,31,170
146,42,41,2,0,3,1,0,0,0,6,37, 4.52 ,7.71%,32,173
242,42,41,2,1,3,1,7,0,0,14,37, 4.39 ,8.18%,33,180
206,42,19,2,0,3,0,0,0,0,5,37, 4.39 ,5.87%,34,181
213,42,19,0,0,3,1,0,0,0,4,37, 4.35 ,6.38%,35,184
266,42,25,2,0,3,0,0,0,0,5,36, 4.41 ,10.93%,36,192
268,42,25,2,1,0,0,0,0,0,3,35, 4.44 ,8.03%,37,202
439,42,53,2,0,3,0,0,0,0,5,35, 4.41 ,7.94%,38,203
267,42,25,0,1,3,1,0,0,0,5,35, 4.39 ,13.10%,39,206
202,42,19,2,0,3,0,0,0,0,5,35, 4.38 ,6.42%,40,209
223,42,21,2,0,3,0,0,0,0,5,35, 4.31 ,5.66%,41,212
203,42,19,2,0,3,0,0,0,0,5,34, 4.48 ,4.48%,42,219
361,42,40,0,0,3,0,0,0,-3,0,34, 4.35 ,9.78%,43,225
257,42,41,2,0,3,1,0,0,0,6,33, 4.52 ,7.58%,44,228
440,42,53,0,1,3,0,0,0,0,4,33, 4.48 ,8.40%,45,231
152,42,41,2,1,3,0,0,0,0,6,33, 4.43 ,9.93%,46,234
249,42,25,2,0,3,0,0,0,0,5,33, 4.39 ,7.62%,47,238
270,42,25,2,0,3,1,0,0,0,6,33, 4.37 ,10.76%,48,239
214,42,20,2,1,3,1,0,0,0,7,33, 4.33 ,10.32%,49,241
333,42,40,2,1,0,1,0,0,-3,1,33, 4.33 ,10.20%,50,242
253,42,41,2,1,3,1,0,0,0,7,32, 4.46 ,9.20%,51,248
316,42,20,0,0,3,0,0,0,0,3,32, 4.43 ,8.07%,52,253
273,42,25,2,0,3,1,0,0,0,6,31, 4.45 ,11.37%,53,268
262,42,25,0,0,3,1,0,0,0,4,31, 4.40 ,8.40%,54,275
254,42,41,2,1,3,0,0,0,0,6,31, 4.39 ,9.48%,55,277
227,42,20,2,0,0,1,0,0,0,3,30, 4.43 ,5.88%,56,291
580,42,25,2,0,3,0,0,0,0,5,30, 4.42 ,6.71%,57,293
263,42,53,0,1,0,1,0,0,0,2,30, 4.35 ,10.43%,58,304
251,42,25,0,1,0,0,0,0,0,1,29, 4.42 ,8.77%,59,314
238,42,19,2,0,3,0,0,0,-3,2,29, 4.30 ,3.30%,60,322
205,42,19,2,1,0,0,0,0,-3,0,28, 4.44 ,6.51%,61,328
216,42,20,2,1,3,1,0,0,-3,4,28, 4.41 ,9.03%,62,331
279,42,25,0,0,3,0,0,0,0,3,28, 4.37 ,8.85%,63,337
200,42,19,2,1,0,0,0,0,0,3,28, 4.35 ,6.21%,64,338
196,42,53,0,1,3,0,0,0,-3,1,27, 4.54 ,9.95%,65,341
311,42,20,0,0,3,1,0,0,0,4,26, 4.49 ,8.83%,66,350
207,42,19,2,0,0,0,0,0,0,2,26, 4.39 ,6.16%,67,354
235,42,20,2,1,3,0,0,0,0,6,26, 4.37 ,10.33%,68,355
215,42,20,2,0,3,1,0,0,0,6,26, 4.36 ,6.04%,69,356
