Store #,City,State,BU,Region,Market,Upstream Node,Max Packages, Launch Week, Launch Date:,Van Launch,# of Vans
613,ORMOND BEACH,FL,SOUTHEAST BU,3,94,FL9,460,26,7/30/25,8/6/25,1
666,SEBRING,FL,SOUTHEAST BU,9,116,FL9,210,26,7/30/25,,
697,OCALA,FL,SOUTHEAST BU,3,93,FL9,270,26,7/30/25,,
705,MOUNT DORA,FL,SOUTHEAST BU,3,89,FL9,160,26,7/30/25,,
769,VENICE,FL,SOUTHEAST BU,9,115,FL9,200,26,7/30/25,,
778,PUNTA GORDA,FL,SOUTHEAST BU,9,118,FL9,210,26,7/30/25,,
800,LEESBURG,FL,SOUTHEAST BU,3,89,FL9,310,26,7/30/25,8/6/25,5
859,LAKE WALES,FL,SOUTHEAST BU,9,116,FL9,110,26,7/30/25,,
943,CASSELBERRY,FL,SOUTHEAST BU,9,91,FL9,510,26,7/30/25,,
967,SPRING HILL,FL,SOUTHEAST BU,3,104,FL9,410,26,7/30/25,,
973,FORT PIERCE,FL,SOUTHEAST BU,9,92,FL9,590,26,7/30/25,8/6/25,2
987,FORT MYERS,FL,SOUTHEAST BU,9,105,FL9,420,26,7/30/25,,
1081,GAINESVILLE,FL,SOUTHEAST BU,3,93,FL9,280,26,7/30/25,,
1086,SAINT CLOUD,FL,SOUTHEAST BU,9,90,FL9,420,26,7/30/25,,
1087,STUART,FL,SOUTHEAST BU,9,107,FL9,200,26,7/30/25,,
1104,INVERNESS,FL,SOUTHEAST BU,3,95,FL9,170,26,7/30/25,,
1644,LEWISBURG,PA,EAST BU,22,232,NJ9,200,26,7/30/25,,
1680,KENDALL,FL,SOUTHEAST BU,9,110,FL9,390,26,7/30/25,8/6/25,2
1847,OCALA,FL,SOUTHEAST BU,3,93,FL9,160,26,7/30/25,,
1998,SKOKIE,IL,NORTH BU,25,267,IL9,410,26,7/30/25,,
2045,NOTTINGHAM,MD,EAST BU,75,281,PHL5,1050,26,7/30/25,,
2222,TEWKSBURY,MA,EAST BU,16,157,PHL5,380,26,7/30/25,,
2237,LEHIGH ACRES,FL,SOUTHEAST BU,9,118,FL9,230,26,7/30/25,,
2334,LANCASTER,PA,EAST BU,22,233,NJ9,380,26,7/30/25,,
2365,MOUNT POCONO,PA,EAST BU,17,174,NJ9,200,26,7/30/25,,
2480,HONESDALE,PA,EAST BU,17,226,NJ9,120,26,7/30/25,,
2727,FLORIDA CITY,FL,SOUTHEAST BU,9,110,FL9,270,26,7/30/25,,
2871,CINNAMINSON,NJ,EAST BU,22,558,NJ9,390,26,7/30/25,,
2945,PARKESBURG,PA,EAST BU,22,167,NJ9,185,26,7/30/25,,
2946,FORT LAUDERDALE,FL,SOUTHEAST BU,9,109,FL9,340,26,7/30/25,,
3247,DELAVAN,WI,NORTH BU,53,442,IL9,140,26,7/30/25,,
3308,MIDDLEBURG,FL,SOUTHEAST BU,3,101,FL9,150,26,7/30/25,,
3347,WINTER HAVEN,FL,SOUTHEAST BU,9,116,FL9,300,26,7/30/25,,
3397,MIAMI GARDENS,FL,SOUTHEAST BU,9,553,FL9,380,26,7/30/25,8/6/25,1
3538,MELBOURNE,FL,SOUTHEAST BU,9,92,FL9,310,26,7/30/25,8/6/25,4
3541,KENNETT SQUARE,PA,EAST BU,22,167,NJ9,300,26,7/30/25,,
3562,SADDLE BROOK,NJ,EAST BU,17,577,NJ9,1220,26,7/30/25,,
3795,NORTH BERGEN,NJ,EAST BU,17,577,NJ9,920,26,7/30/25,,
3893,ZION,IL,NORTH BU,25,269,IL9,160,26,7/30/25,,
5214,KISSIMMEE,FL,SOUTHEAST BU,9,90,FL9,290,26,7/30/25,,
5239,BECHTELSVILLE,PA,EAST BU,22,167,NJ9,230,26,7/30/25,,
5264,OSPREY,FL,SOUTHEAST BU,9,115,FL9,250,26,7/30/25,,
5299,CLERMONT,FL,SOUTHEAST BU,3,89,FL9,350,26,7/30/25,,
5326,OCALA,FL,SOUTHEAST BU,3,93,FL9,170,26,7/30/25,,
5727,BRADENTON,FL,SOUTHEAST BU,9,115,FL9,440,26,7/30/25,,
5772,LECANTO,FL,SOUTHEAST BU,3,95,FL9,210,26,7/30/25,,
5911,BOYNTON BEACH,FL,SOUTHEAST BU,9,108,FL9,200,26,7/30/25,,
5932,PEMBROKE PINES,FL,SOUTHEAST BU,9,109,FL9,370,26,7/30/25,,
1528,CEDAR RAPIDS,IA,WEST BU,52,415,IL9,90,27,8/6/25,,
2189,RENO,NV,WEST BU,56,392,NV1,80,27,8/6/25,,
2716,CEDAR RAPIDS,IA,WEST BU,52,415,IL9,110,27,8/6/25,,
3277,RENO,NV,WEST BU,56,392,NV1,50,27,8/6/25,,
3762,WEST DES MOINES,IA,WEST BU,52,413,IL9,190,27,8/6/25,,
4239,RENO,NV,WEST BU,56,392,NV1,60,27,8/6/25,,
5748,GRIMES,IA,WEST BU,52,414,IL9,260,27,8/6/25,,
573,LEES SUMMIT,MO,NORTH BU,40,361,ORD1,200,27,8/6/25,,
1028,EAST PEORIA,IL,NORTH BU,25,278,IL9,230,27,8/6/25,,
1646,MESA,AZ,SOUTHWEST BU,46,372,PHX1,150,27,8/6/25,,
1908,GREEN BAY,WI,NORTH BU,53,440,IL9,110,27,8/6/25,,
1955,ROCKFORD,IL,NORTH BU,53,263,IL9,200,27,8/6/25,,
2279,GLEN BURNIE,MD,EAST BU,75,282,PHL5,590,27,8/6/25,,
2857,KANSAS CITY,MO,NORTH BU,40,360,ORD1,160,27,8/6/25,,
