Store #,Whole Milk Gallon,Current Store Retail,Whole Milk 1/2 Gallon,Current Store Retail,2% Milk Gallon,Current Store Retail,2% Milk 1/2 Gallon,Current Store Retail,1% Milk Gallon,Current Store Retail,1% Milk 1/2 Gallon,Current Store Retail,Skim Milk,Current Store Retail,Skim Milk 1/2 Gallon,Current Store Retail,Chocolate Milk Gallon (SAME AS 2%),Current Store Retail,Chocolate Milk 1/2 Gallon (SAME AS 2%),Current Store Retail
2141,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2830,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3252,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3541,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5495,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5881,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5891,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2167,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2263,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2945,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3501,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5795,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2446,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3810,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2096,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2445,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3475,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3564,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
3565,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
4687,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5229,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2068,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
2650,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5103,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
5130,$4.86 ,,$2.48 ,,$4.52 ,,$2.31 ,,$4.26 ,,$2.18 ,,$4.04 ,,$2.07 ,,$4.42 ,,$2.26 ,
