Store,Dept,Item Description,Feature Type,Feature Order Quantity,Feature Arrival WK,Comments
1,Dept 40,Claritin Adult 14pc PDQ,4-way,1,11,
1,Dept 40,"Quest 4ct Chips, 96 pieces",Full Endcap,1,11,
1,Dept 40,Zyrtec 60 Count 9 piece PDQs,4-way,1,11,
2,Dept 02,EQ Men's/Women's Disposable 5-Blade Razors,4-way,1,11,
2,Dept 02,Suave Body Wash 48pc SK,Sidekick,1,11,
2,Dept 11,Hart Stackable Crate,Full Endcap,1,11,
2,Dept 13,LIBMAN Brooms and Mop ,Half Stack,2,11,
2,Dept 16,EG 50FT MD HOSE - Qty of 72,Full Stack,2,11,
2,Dept 16,"Spectracide Bag-a-Bug Japanese Beetle Trap, Dual L",Sidekick,1,11,
2,Dept 17,SPRING SCOG /72pcs,Sidekick,2,11,
2,Dept 23,"Laguna Mens Swim 7"" Inseam Stretch Volley, 192pcs",4-way,1,11,
2,Dept 23,"Laguna Mens Swim Sun Top, 96pcs",4-way,1,11,
2,Dept 40,Claritin Adult 14pc PDQ,4-way,1,11,
2,Dept 40,EQ 24pc Eq Ds Ec Omep,Full Endcap,1,11,
2,Dept 40,EQ 3% Hydrogen Peroxide 32oz Shipper 12ct,PDQ,1,11,
2,Dept 40,EQ 91% Isopropyl Alcohol 32oz Shipper 12ct,PDQ,1,11,
2,Dept 40,EQ Epsom Salt 8lb Shipper 4ct,PDQ,1,11,
2,Dept 46,"32pc, EQ Continuous Spray Bottle, 10",Sidekick,1,11,
2,Dept 46,"45pc, EQ Tip to Toe Kit",Sidekick,1,11,
2,Dept 46,Neutrogena 25ct Makeup Remover Wipes 20PC PDQ,PDQ,2,11,
4,Dept 02,Dr. Squatch 96 PC SCOG SK,Sidekick,1,11,
4,Dept 08,"VETIQ Dog Supplement 60 Day Supply, 30 Count",Sidekick,1,11,
4,Dept 16,"Troy-Bilt 16"" Gas Chainsaw, TB4216",Half Stack,5,11,
4,Dept 16,"Troy-Bilt 25cc 17"" Gas Straight Shaft String Trimm",Half Stack,4,11,
4,Dept 16,"Troy-Bilt 25cc Gas Leaf Blower, TB430",Half Stack,5,11,
4,Dept 40,"Atkins 4ct RTD, 288 pieces",Full Stack,1,11,
4,Dept 40,"Quest 4ct Bars, 24 Pieces",Full Endcap,2,11,
4,Dept 40,"Quest 4ct Chips, 96 pieces",Full Endcap,2,11,
4,Dept 46,16pc - 10 pack makeup sponge,Sidekick,1,11,
4,Dept 46,"45pc, EQ Tip to Toe Kit",Sidekick,1,11,
4,Dept 46,80pc - Buffing Foundation Brush - Black,Sidekick,1,11,
4,Dept 46,Neutrogena 25ct Makeup Remover Wipes 20PC PDQ,PDQ,1,11,
4,Dept 67,28PC Large Trad MX Pinata,Full Stack,2,11,
4,Dept 79,Ricitos de Oro 12 count SK,Sidekick,1,11,
4,Dept 92,125 Piece Jarritos Party Pack Shipper,Full Stack,1,11,
5,Dept 07,Monster Jam 1:64 Vehicle Dumpbin,Half Stack,1,11,
5,Dept 09,Bounce Pro 14ft Trampoline With Enclosure (1 unit),Half Stack,1,11,
5,Dept 20,90 COUNT - 18PK WASHCLOTH BUNDLES GREY,Half Endcap,2,11,
5,Dept 40,EQ 3% Hydrogen Peroxide 32oz Shipper 12ct,PDQ,3,11,
5,Dept 40,"Quest 4ct Bars, 24 Pieces",Full Endcap,1,11,
7,Dept 09,Bounce Pro 14ft Trampoline With Enclosure (1 unit),Half Stack,4,11,
7,Dept 13,LIBMAN Brooms and Mop ,Half Stack,1,11,
