STORE,Alignment Week,Alignment Date,Delivery Type,Current DC,New DC,SD/ND,Delivery Window,MPDD First Day Comments
1111,29,8/19/2025,MPDD,6055,3010,Same Day Delivery,18:00:00-23:59:00,No Change
1122,29,8/19/2025,MPDD,6055,3010,Same Day Delivery,09:00:00-23:59:00,No Change
1403,29,8/19/2025,MPDD,6055,3010,Same Day Delivery,09:00:00-22:00:00,No Change
5085,29,8/19/2025,MPDD,6073,3010,Same Day Delivery,09:00:00-22:00:00,No Change
948,29,8/19/2025,MPDD,6858,3010,Same Day Delivery,09:00:00-23:59:00,No Change
4432,29,8/19/2025,MPDD,6858,3010,Same Day Delivery,16:00:00-23:59:00,No Change
5481,29,8/19/2025,MPDD,6858,3010,Same Day Delivery,09:00:00-23:59:00,No Change
754,29,8/19/2025,MPDD,6055,3010,Same Day Delivery,09:00:00-22:00:00,No Change
2858,29,8/19/2025,MPDD,6055,3010,Same Day Delivery,18:00:00-23:59:00,No Change
4616,29,8/19/2025,MPDD,6055,3010,Same Day Delivery,18:00:00-23:59:00,No Change
7315,29,8/19/2025,MPDD,6858,3010,Same Day Delivery,16:00:00-23:59:00,No Change
