Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
7,781,SPARK,Scheduled Standard Delivery,36,Executive Review,Degrading,Driver Supply Focus,202350,91.60%,96.60%,8.6,89.70%,96.00%,91.40%,89.00%
44,132,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Recovering,Driver Supply Focus,202350,75.50%,100.00%,5.1,91.30%,55.60%,80.70%,73.30%
44,63,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,87.90%,97.10%,6.9,88.00%,86.10%,88.00%,89.80%
44,242,SPARK,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202350,85.70%,96.30%,7.9,95.60%,90.70%,74.30%,80.70%
13,311,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,91.90%,95.50%,8.2,92.90%,92.40%,93.50%,89.70%
13,402,POINTPICKUP,Scheduled Standard Delivery,18,Executive Review,Degrading,Driver Supply Focus,202350,82.90%,97.90%,7.8,84.80%,82.40%,86.70%,78.10%
6,2133,SPARK,Scheduled Standard Delivery,20,Executive Review,Recovering,Driver Supply Focus,202350,92.50%,88.10%,9.9,93.30%,95.60%,93.30%,88.20%
7,5145,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202350,86.30%,91.60%,8.2,88.50%,86.30%,82.60%,87.20%
6,292,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,92.70%,99.10%,6.3,97.10%,95.30%,85.30%,90.90%
7,1198,SPARK,Scheduled Standard Delivery,6,Active Monitoring,Recovering,Driver Supply Focus,202350,93.70%,96.90%,9.8,97.90%,96.10%,93.20%,87.60%
6,482,SPARK,Scheduled Standard Delivery,14,Executive Review,Degrading,Driver Supply Focus,202350,89.80%,98.90%,4.9,76.00%,88.90%,95.50%,100.00%
6,293,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202350,94.70%,100.00%,2.8,100.00%,92.30%,89.30%,97.40%
6,567,SPARK,Scheduled Standard Delivery,26,Executive Review,Degrading,Driver Supply Focus,202350,80.40%,100.00%,4.9,87.50%,84.60%,83.30%,66.70%
46,829,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202350,87.60%,96.20%,5.1,94.30%,86.20%,81.80%,87.00%
