Market,Store,Headcount Changes - GM Coach,Headcount Changes - Fashion TL,Academy Training Date,VizPick Fashion Kit Tracking,FedEx URL,RFID Containment Box,Fashion Cart
50,266,1,No Change,2/6/25,284733936141,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,217,1,No Change,2/6/25,284733924365,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,426,1,1,2/6/25,284733865292,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,1216,1,1,2/6/25,284733825211,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,2105,1,1,2/6/25,284733920782,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,2427,1,1,2/6/25,284733927982,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,2996,1,1,2/6/25,284733847444,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,4240,1,1,2/6/25,284733867733,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,5092,1,1,2/6/25,284733876028,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
53,5889,1,2,2/6/25,284733901066,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,752,No Change,1,2/7/25,284737642615,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,1062,No Change,1,2/7/25,284733832496,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,2724,1,1,2/7/25,284733939909,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,3425,No Change,1,2/7/25,284733854994,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,4526,No Change,1,2/7/25,284733870784,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,5612,No Change,No Change,2/7/25,284733889315,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
63,5959,No Change,1,2/7/25,284733903838,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,819,1,1,2/6/25,284737646194,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,987,1,1,2/6/25,Arrives Week 52,,Arrives Week 52,Arrives Week 3
105,1119,1,2,2/6/25,284733831607,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,1957,1,1,2/6/25,284733915007,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,3417,1,1,2/6/25,284733853895,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,4063,1,1,2/6/25,284733861838,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,5034,1,1,2/6/25,284733870751,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,5055,1,1,2/6/25,284733876690,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,5347,1,1,2/6/25,284733883340,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
105,5391,1,1,2/6/25,284733885250,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,1680,No Change,No Change,2/6/25,284733895961,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,2091,No Change,No Change,2/6/25,284733918820,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,2727,1,1,2/6/25,284733842501,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,2814,1,No Change,2/6/25,284733843519,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,4161,1,1,2/6/25,284733865579,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,5671,No Change,1,2/6/25,284733896534,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,5854,1,1,2/6/25,284733900703,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,5912,1,1,2/6/25,284733901592,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
110,6397,No Change,1,2/6/25,Arrives Week 52,,Arrives Week 52,Arrives Week 3
168,1670,1,2,2/6/25,284733894678,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,1777,1,No Change,2/6/25,284733911582,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,2145,1,1,2/6/25,284733922833,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,2252,No Change,1,2/6/25,284733926287,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,2614,1,1,2/6/25,284733929919,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,2641,1,1,2/6/25,284733933988,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,3563,1,2,2/6/25,284733855843,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,3810,1,2,2/6/25,284733860522,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
168,4612,1,1,2/6/25,284733872824,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,1422,1,1,2/7/25,284733837925,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,1428,No Change,1,2/7/25,284733839045,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,1432,No Change,1,2/7/25,284733839560,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,1719,1,1,2/7/25,284733908277,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,1752,1,1,2/7/25,284733908597,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,2014,1,1,2/7/25,284733917000,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,2619,No Change,1,2/7/25,284733932422,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,2644,1,1,2/7/25,284733934160,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,5097,No Change,1,2/7/25,284733880432,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,5159,1,1,2/7/25,284733828909,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
204,5376,1,1,2/7/25,284733879830,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
322,2,No Change,1,2/7/25,284733916209,https://www.fedex.com/en-us/home.html,Arrives Week 52,Arrives Week 3
