Store,Stock Type,MP,FDD,HVDC,RDC
2395,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2414,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2699,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2731,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2742,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2743,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2835,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
2995,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3011,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3026,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3066,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3069,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3070,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3071,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3072,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3074,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3126,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3145,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3146,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3155,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3157,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3161,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3164,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3185,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3199,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3204,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3287,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3327,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3330,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3359,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3449,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3450,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3452,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3456,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3479,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3512,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3530,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3574,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3579,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3603,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3622,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3638,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3723,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3844,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3845,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3880,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3885,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
3935,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4046,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4053,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4056,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4138,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4147,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4157,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4160,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4182,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4188,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4193,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4218,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4220,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4233,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4264,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4275,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4367,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4388,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4465,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4466,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4468,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4577,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4603,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4607,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4618,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4619,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4625,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4626,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4648,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4667,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4669,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4673,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4691,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
4706,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5043,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5062,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5107,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5119,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5125,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5135,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5180,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5182,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5224,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5226,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5304,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5378,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5459,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5467,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5614,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5623,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5675,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5697,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5700,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5702,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5758,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5759,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5791,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5813,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5815,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5818,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5819,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5820,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5829,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5855,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5863,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5980,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5990,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
5994,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6078,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6098,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6159,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6178,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6390,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6459,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6548,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6586,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6786,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6798,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6849,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6850,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6851,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
6876,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7043,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7098,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7218,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7220,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7222,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7232,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7235,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7262,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7298,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7304,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7307,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7310,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7311,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7329,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7334,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7337,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7340,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
7362,Daystock,At time of Delivery,At time of Delivery,At time of Delivery,At time of Delivery
377,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
525,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
840,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
920,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
998,Overnight Stocking,At time of Delivery,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm,Finalizes at 9pm or time of delivery after 9pm
