DC Number,Type,Date,Application,Summary,Status,CRQ
2364,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
2364,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
2364,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
2364,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
2364,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
2971,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
2971,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
2971,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
2971,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
2971,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
2971,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
3010,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
3010,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
3010,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
3010,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
3010,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
3010,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
3010,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
3010,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
4020,Enhancement,6/9/2025,Atlas Moves,Update AD Group for 3PL Sites,Deployed,CHG3238991
4020,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
4020,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
4020,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
4020,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
4020,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
4047,Enhancement,6/9/2025,Atlas Moves,Update AD Group for 3PL Sites,Deployed,CHG3238991
4047,Enhancement,6/10/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250198
4047,Bug,6/11/2025,Inventory,Bug fixes and Dematic deployment,Deployed,CHG3257993
4047,Enhancement,6/12/2025,Atlas Loading,Rollout: Enable BCDR and Trailer reason code,Deployed,CHG3259691
4047,Enhancement,6/12/2025,Atlas Moves,Rollout: Snyk vulnerabilities fix,Deployed,CHG3260503
4047,Enhancement,6/12/2025,Atlas Moves,Rollout: BCDR CCM Config changes,Deployed,CHG3260744
4047,Enhancement,6/16/2025,Slotaway,Simulation fix rollout,Scheduled,CHG3269175
4154,Enhancement,6/9/2025,Atlas Moves,Update AD Group for 3PL Sites,Deployed,CHG3238991
4154,Enhancement,6/9/2025,Atlas Loading,Pilot: Enable BCDR and Trailer edit reason,Deployed,CHG3248417
4154,Enhancement,6/9/2025,Atlas Moves,Pilot: Snyk vulnerabilities fix,Deployed,CHG3249647
4154,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
4154,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
4154,Enhancement,6/10/2025,Atlas Moves,Pilot: BCDR CCM Config changes,Deployed,CHG3249696
4154,Enhancement,6/12/2025,Shore,Merge main rollout,Deployed,CHG3245988
4154,Enhancement,6/12/2025,Audit,Pilot: Audit completion % update,Deployed,CHG3257892
4154,Enhancement,6/12/2025,Audit,Pilot: IQS Auth header changes,Deployed,CHG3265383
6042,Bug,6/9/2025,Inventory,Bug fixes deployment,Deployed,CHG3249838
6042,Enhancement,6/9/2025,Order Fulfillment,Rollout OT to EI fixes,Deployed,CHG3250170
6042,Enhancement,6/13/2025,Audit,Rollout: Manual & Random Audit completion % update,Scheduled,CHG3257900
