Store Nbr,Go Live date
61,10/4/2022
381,10/4/2022
407,10/4/2022
475,10/4/2022
746,10/4/2022
1129,10/4/2022
1185,10/4/2022
1232,10/4/2022
1253,10/4/2022
1303,10/4/2022
2133,10/4/2022
2991,10/4/2022
3169,10/4/2022
3170,10/4/2022
3319,10/4/2022
3569,10/4/2022
4130,10/4/2022
4163,10/4/2022
4219,10/4/2022
5317,10/4/2022
5479,10/4/2022
5480,10/4/2022
6286,10/4/2022
6929,10/4/2022
180,10/11/2022
220,10/11/2022
228,10/11/2022
286,10/11/2022
345,10/11/2022
371,10/11/2022
476,10/11/2022
565,10/11/2022
590,10/11/2022
610,10/11/2022
781,10/11/2022
804,10/11/2022
939,10/11/2022
963,10/11/2022
1073,10/11/2022
1254,10/11/2022
2978,10/11/2022
3431,10/11/2022
3631,10/11/2022
4509,10/11/2022
5389,10/11/2022
6963,10/11/2022
7156,10/11/2022
280,10/18/2022
353,10/18/2022
421,10/21/2022
535,10/18/2022
536,10/18/2022
561,10/18/2022
601,10/18/2022
813,10/18/2022
917,10/18/2022
1249,10/18/2022
1272,10/18/2022
3381,10/18/2022
5359,10/18/2022
