Market,Store,Location Name,Refresh Qty,Refresh Cost
18,1070,ELLIJAY GA,105,"$42,000"
18,1122,EASTANOLLEE GA,83,"$33,200"
18,1403,CORNELIA GA,84,"$33,600"
18,2753,"CLAYTON, GA",87,"$34,800"
19,594,"FAYETTEVILLE, GA",101,"$40,400"
19,787,RIVERDALE GA,80,"$32,000"
19,3201,"MCDONOUGH, GA",85,"$34,000"
20,855,UNION CITY GA,82,"$32,800"
20,3401,COLLEGE PARK GA,79,"$31,600"
21,1121,MILLEDGEVILLE GA,107,"$42,800"
22,727,CEDARTOWN GA,95,"$38,000"
22,3205,"LITHIA SPRINGS, GA",82,"$32,800"
23,3067,NORCROSS E GA,84,"$33,600"
23,3621,CHAMBLEE GA,87,"$34,800"
24,518,CANTON GA,111,"$44,400"
24,1314,BUFORD GA,92,"$36,800"
25,459,COVINGTON GA,91,"$36,400"
25,548,LAWRENCEVILLE GA,89,"$35,600"
25,1340,ATLANTA/DECATUR GA,97,"$38,800"
25,3388,LAWRENCEVILLE (S) GA,79,"$31,600"
25,3389,SNELLVILLE (S) GA,90,"$36,000"
25,5252,LOGANVILLE GA,85,"$34,000"
26,3611,"MARIETTA, GA",80,"$32,000"
26,3748,ACWORTH(N) GA,85,"$34,000"
30,754,STATESBORO GA,88,"$35,200"
32,758,AMERICUS GA,80,"$32,000"
27,7194,ADEL GA,79,"$31,600"
28,862,HINESVILLE GA,98,"$39,200"
28,864,VIDALIA GA,85,"$34,000"
89,110,WINTER GARDEN FL,89,"$35,600"
93,551,PALATKA FL,91,"$36,400"
94,563,ORANGE CITY FL,102,"$40,800"
94,582,PORT ORANGE/DAYTONA BEACH,107,"$42,800"
94,860,DELAND FL,86,"$34,400"
94,3207,SANFORD (W) FL,79,"$31,600"
95,2843,"SUMMERFIELD, FL",82,"$32,800"
98,1173,JACKSONVILLE FL,88,"$35,200"
98,3702,"JACKSONVILLE (N), FL",84,"$33,600"
98,4444,"JACKSONVILLE (AVE), FL",89,"$35,600"
101,1090,JACKSONVILLE FL,87,"$34,800"
101,1219,JACKSONVILLE FL,82,"$32,800"
101,2626,"LIVE OAK, FL",96,"$38,400"
101,6978,JACKSONVILLE COLLINS FL,97,"$38,800"
111,1390,PINELLAS PARK FL,91,"$36,400"
111,1536,ST PETERSBURG FL,102,"$40,800"
111,1712,LARGO FL,103,"$41,200"
111,2081,"CLEARWATER, FL",94,"$37,600"
111,3372,LARGO CROSSROAD FL,88,"$35,200"
111,5218,"ST. PETERSBURG, FL",82,"$32,800"
112,925,SEFFNER FL /MANGO,84,"$33,600"
112,1482,TAMPA (W)FL,85,"$34,000"
112,3197,Tampa Bearrs FL,90,"$36,000"
114,941,BRANDON FL,105,"$42,000"
90,1086,SAINT CLOUD FL,107,"$42,800"
90,4332,"ORLANDO (TURKEY LAKE), FL",81,"$32,400"
92,174,ROCKLEDGE FL,88,"$35,200"
92,649,"TITUSVILLE,FL",108,"$43,200"
92,931,"VERO BEACH, FL",89,"$35,600"
105,3417,"NAPLES, FL",111,"$44,400"
105,4063,IONA FT MYERS FL,84,"$33,600"
105,5055,"NAPLES (SE), FL",119,"$47,600"
105,5391,NAPLES (I-75) FL,81,"$32,400"
107,814,"OKEECHOBEE, FL",97,"$38,800"
107,4260,"PORT ST LUCIE (SW), FL",85,"$34,000"
108,1916,"COCONUT CREEK, FL",96,"$38,400"
108,5882,"PALM SPRINGS, FL",80,"$32,000"
109,3625,LAUDERDALE LAKES FL,82,"$32,800"
109,5325,MARGATE FL,97,"$38,800"
109,5932,"PEMBROKE PINES, FL",79,"$31,600"
110,5671,NARANJA FL,108,"$43,200"
110,5912,GOULDS FL,86,"$34,400"
115,528,"BRADENTON, FL",112,"$44,800"
115,3370,"PALMETTO, FL",89,"$35,600"
115,5727,"SARASOTA (NE), FL",86,"$34,400"
116,666,SEBRING FL,146,"$58,400"
