Store,Tracking Number,Service type 
3,433495728680,FedEx Ground
36,433495768867,FedEx Ground
41,433495768591,FedEx Ground
60,433495735730,FedEx Ground
69,433495735740,FedEx Ground
103,433495768617,FedEx Ground
106,433495727639,FedEx Ground
110,433495729311,FedEx Ground
143,433495727640,FedEx Ground
145,433495767882,FedEx Ground
152,433495735751,FedEx Ground
154,433495736894,FedEx Ground
174,433495729322,FedEx Ground
192,433495722350,FedEx Ground
196,433495762891,FedEx Ground
197,433495733656,FedEx Ground
198,433495728061,FedEx Ground
199,433495762906,FedEx Ground
200,433495763020,FedEx Ground
201,433495733667,FedEx Ground
204,433495727617,FedEx Ground
213,433495733678,FedEx Ground
216,433495733689,FedEx Ground
219,433495769050,FedEx Ground
222,433495728039,FedEx Ground
224,433495762917,FedEx Ground
233,433495728040,FedEx Ground
237,433495767459,FedEx Ground
238,433495721229,FedEx Ground
242,433495768889,FedEx Ground
243,433495735762,FedEx Ground
252,433495728017,FedEx Ground
253,433495762928,FedEx Ground
254,433495728028,FedEx Ground
256,433495727992,FedEx Ground
257,433495727628,FedEx Ground
262,433495733690,FedEx Ground
264,433495763800,FedEx Ground
268,433495768570,FedEx Ground
272,433495722328,FedEx Ground
282,433495727591,FedEx Ground
287,433495730771,FedEx Ground
294,433495727606,FedEx Ground
295,433495735773,FedEx Ground
298,433495730808,FedEx Ground
299,433495734685,FedEx Ground
300,433495730819,FedEx Ground
301,433495761704,FedEx Ground
302,433495767448,FedEx Ground
304,433495721950,FedEx Ground
306,433495730750,FedEx Ground
308,433495763810,FedEx Ground
310,433495768514,FedEx Ground
313,433495735784,FedEx Ground
314,433495721230,FedEx Ground
315,433495730760,FedEx Ground
316,433495730738,FedEx Ground
317,433495733704,FedEx Ground
328,433495728006,FedEx Ground
329,433495730820,FedEx Ground
332,433495730749,FedEx Ground
333,433495760329,FedEx Ground
334,433495727970,FedEx Ground
335,433495768580,FedEx Ground
343,433495727981,FedEx Ground
355,433495730830,FedEx Ground
356,433495730716,FedEx Ground
361,433495733715,FedEx Ground
366,433495722339,FedEx Ground
372,433495768890,FedEx Ground
375,433495730841,FedEx Ground
377,433495759737,FedEx Ground
386,433495768488,FedEx Ground
390,433495722306,FedEx Ground
393,433495768558,FedEx Ground
394,433495730852,FedEx Ground
403,433495730727,FedEx Ground
406,433495721207,FedEx Ground
409,433495730690,FedEx Ground
410,433495734696,FedEx Ground
415,433495768503,FedEx Ground
416,433495768021,FedEx Ground
422,433495762939,FedEx Ground
423,433495730863,FedEx Ground
424,433495761715,FedEx Ground
425,433495730705,FedEx Ground
430,433495734700,FedEx Ground
431,433495760330,FedEx Ground
432,433495767540,FedEx Ground
433,433495730874,FedEx Ground
434,433495761726,FedEx Ground
435,433495727959,FedEx Ground
436,433495767724,FedEx Ground
445,433495734711,FedEx Ground
447,433495768547,FedEx Ground
452,433495768525,FedEx Ground
454,433495767426,FedEx Ground
456,433495768775,FedEx Ground
459,433495732877,FedEx Ground
477,433495721218,FedEx Ground
481,433495762940,FedEx Ground
483,433495730885,FedEx Ground
486,433495768904,FedEx Ground
490,433495768742,FedEx Ground
491,433495734722,FedEx Ground
492,433495763030,FedEx Ground
493,433495734733,FedEx Ground
494,433495732888,FedEx Ground
497,433495727570,FedEx Ground
499,433495768628,FedEx Ground
506,433495727960,FedEx Ground
507,433495734744,FedEx Ground
510,433495732899,FedEx Ground
511,433495722590,FedEx Ground
514,433495763523,FedEx Ground
515,433495735924,FedEx Ground
518,433495728657,FedEx Ground
519,433495767816,FedEx Ground
520,433495732903,FedEx Ground
525,433495764736,FedEx Ground
526,433495727580,FedEx Ground
528,433495762295,FedEx Ground
538,433495731918,FedEx Ground
547,433495731929,FedEx Ground
548,433495732914,FedEx Ground
550,433495727937,FedEx Ground
551,433495731930,FedEx Ground
555,433495732925,FedEx Ground
556,433495732936,FedEx Ground
557,433495768915,FedEx Ground
558,433495768926,FedEx Ground
559,433495762870,FedEx Ground
562,433495761737,FedEx Ground
563,433495729296,FedEx Ground
566,433495734207,FedEx Ground
568,433495768032,FedEx Ground
569,433495735100,FedEx Ground
571,433495734755,FedEx Ground
574,433495723574,FedEx Ground
575,433495728668,FedEx Ground
578,433495722317,FedEx Ground
579,433495731940,FedEx Ground
580,433495731951,FedEx Ground
582,433495729300,FedEx Ground
583,433495721181,FedEx Ground
584,433495727558,FedEx Ground
585,433495763534,FedEx Ground
586,433495723585,FedEx Ground
587,433495722280,FedEx Ground
588,433495762652,FedEx Ground
589,433495734766,FedEx Ground
591,433495727569,FedEx Ground
593,433495762663,FedEx Ground
594,433495733461,FedEx Ground
595,433495768499,FedEx Ground
599,433495722291,FedEx Ground
603,433495727948,FedEx Ground
604,433495730896,FedEx Ground
605,433495762674,FedEx Ground
609,433495735795,FedEx Ground
611,433495768661,FedEx Ground
612,433495733726,FedEx Ground
613,433495729274,FedEx Ground
614,433495762685,FedEx Ground
615,433495732947,FedEx Ground
616,433495722567,FedEx Ground
618,433495732958,FedEx Ground
619,433495722269,FedEx Ground
620,433495722270,FedEx Ground
621,433495723552,FedEx Ground
623,433495731962,FedEx Ground
624,433495723563,FedEx Ground
625,433495763545,FedEx Ground
627,433495767161,FedEx Ground
628,433495722578,FedEx Ground
629,433495723530,FedEx Ground
630,433495722545,FedEx Ground
631,433495722556,FedEx Ground
632,433495723541,FedEx Ground
633,433495762950,FedEx Ground
634,433495763556,FedEx Ground
635,433495762696,FedEx Ground
636,433495733737,FedEx Ground
637,433495725636,FedEx Ground
638,433495722523,FedEx Ground
639,433495732969,FedEx Ground
640,433495723519,FedEx Ground
642,433495767172,FedEx Ground
643,433495723520,FedEx Ground
644,433495722409,FedEx Ground
646,433495728278,FedEx Ground
647,433495730782,FedEx Ground
648,433495726275,FedEx Ground
649,433495729285,FedEx Ground
653,433495760340,FedEx Ground
655,433495734777,FedEx Ground
656,433495763821,FedEx Ground
657,433495722247,FedEx Ground
658,433495732970,FedEx Ground
659,433495722258,FedEx Ground
660,433495761748,FedEx Ground
661,433495730900,FedEx Ground
662,433495761759,FedEx Ground
663,433495722225,FedEx Ground
665,433495734788,FedEx Ground
666,433495731973,FedEx Ground
667,433495722236,FedEx Ground
668,433495763832,FedEx Ground
669,433495732980,FedEx Ground
670,433495761760,FedEx Ground
671,433495763843,FedEx Ground
672,433495721928,FedEx Ground
673,433495722203,FedEx Ground
674,433495722214,FedEx Ground
676,433495722188,FedEx Ground
677,433495768569,FedEx Ground
678,433495721192,FedEx Ground
680,433495763854,FedEx Ground
681,433495730679,FedEx Ground
682,433495763865,FedEx Ground
683,433495763876,FedEx Ground
684,433495768536,FedEx Ground
685,433495722199,FedEx Ground
686,433495732991,FedEx Ground
687,433495763887,FedEx Ground
688,433495721160,FedEx Ground
689,433495734799,FedEx Ground
690,433495722166,FedEx Ground
691,433495730911,FedEx Ground
692,433495727536,FedEx Ground
694,433495734803,FedEx Ground
695,433495722177,FedEx Ground
697,433495731984,FedEx Ground
698,433495722144,FedEx Ground
700,433495730922,FedEx Ground
701,433495734814,FedEx Ground
702,433495734825,FedEx Ground
