Store,City State,Shopper Launch Date
3293,"Chardon, OH",Tue 05 17 2022
3344,"Winchester, VA",Tue 05 17 2022
3348,"Lake Park, FL",Tue 05 17 2022
3366,"Centerville, UT",Tue 05 17 2022
3367,"North Charleston, SC",Tue 05 17 2022
3409,"Leicester, MA",Tue 05 17 2022
3417,"Naples, FL",Tue 05 17 2022
3422,"Deptford, NJ",Tue 05 17 2022
3434,"Woodstock, IL",Tue 05 17 2022
3439,"Navarre, FL",Tue 05 17 2022
3442,"Murrells Inlet, SC",Tue 05 17 2022
3472,"Post Falls, ID",Tue 05 17 2022
3497,"Plymouth, WI",Tue 05 17 2022
3502,"Hamilton, OH",Tue 05 17 2022
3512,"Albuquerque, NM",Tue 05 17 2022
3535,"Epping, NH",Tue 05 17 2022
3567,"Hidalgo, TX",Tue 05 17 2022
3571,"Middletown, OH",Tue 05 17 2022
3580,"Newark, OH",Tue 05 17 2022
3610,"Louisville, KY",Tue 05 17 2022
3612,"Burlington, NC",Tue 05 17 2022
3624,"Monticello, MN",Tue 05 17 2022
3641,"Springfield, OH",Tue 05 17 2022
3722,"Kent, OH",Tue 05 17 2022
3724,"Orangeburg, SC",Tue 05 17 2022
3731,"Bernalillo, NM",Tue 05 17 2022
3739,"Nampa, ID",Tue 05 17 2022
3757,"Arlington, WA",Tue 05 17 2022
3774,"Williamstown, NJ",Tue 05 17 2022
3784,"Franklin, OH",Tue 05 17 2022
3792,"Lancaster, OH",Tue 05 17 2022
3795,"North Bergen, NJ",Tue 05 17 2022
3802,"Middletown, DE",Tue 05 17 2022
3810,"East Greenville, PA",Tue 05 17 2022
3840,"Findlay, OH",Tue 05 17 2022
3844,"Glendale, AZ",Tue 05 17 2022
3845,"Glendale, AZ",Tue 05 17 2022
3867,"Westminster, CO",Tue 05 17 2022
3885,"Richmond, VA",Tue 05 17 2022
3887,"Avon Park, FL",Tue 05 17 2022
3888,"San Antonio, TX",Tue 05 17 2022
3891,"Waukegan, IL",Tue 05 17 2022
3893,"Zion, IL",Tue 05 17 2022
3988,"Spanish Fork, UT",Tue 05 17 2022
4131,"San Antonio, TX",Tue 05 17 2022
4153,"Old Bridge, NJ",Tue 05 17 2022
4174,"San Jose, CA",Tue 05 17 2022
4180,"Nampa, ID",Tue 05 17 2022
4219,"Buda, TX",Tue 05 17 2022
4221,"Cornelius, OR",Tue 05 17 2022
4223,"Maryville, TN",Tue 05 17 2022
4285,"Cleveland, OH",Tue 05 17 2022
4288,"Broomfield, CO",Tue 05 17 2022
4295,"Alexandria, LA",Tue 05 17 2022
4323,"Kankakee, IL",Tue 05 17 2022
4330,"Chelsea, AL",Tue 05 17 2022
4348,"Duncansville, PA",Tue 05 17 2022
4381,"Branson, MO",Tue 05 17 2022
4384,"Mount Pleasant, SC",Tue 05 17 2022
4388,"WAYNESBORO, VA",Tue 05 17 2022
4446,"West Palm Beach, FL",Tue 05 17 2022
4456,"Somerdale, NJ",Tue 05 17 2022
4494,"Caldwell, ID",Tue 05 17 2022
4527,"Waycross, GA",Tue 05 17 2022
4567,"Brighton, CO",Tue 05 17 2022
4582,"Navarre, FL",Tue 05 17 2022
4609,"Cincinnati, OH",Tue 05 17 2022
4635,"Clinton, TN",Tue 05 17 2022
4643,"Baden, PA",Tue 05 17 2022
4695,"Godfrey, IL",Tue 05 17 2022
4747,"Northglenn, CO",Tue 05 17 2022
4756,"Alabaster, AL",Tue 05 17 2022
5034,"Fort Myers, FL",Tue 05 17 2022
5043,"Memphis, TN",Tue 05 17 2022
5095,"Hartford, CT",Tue 05 17 2022
5117,"Waynesboro, VA",Tue 05 17 2022
5122,"Memphis, TN",Tue 05 17 2022
5125,"Opelousas, LA",Tue 05 17 2022
5167,"Payson, UT",Tue 05 17 2022
5198,"Tifton, GA",Tue 05 17 2022
5199,"Antioch, IL",Tue 05 17 2022
5250,"Kissimmee, FL",Tue 05 17 2022
5261,"Pineville, MO",Tue 05 17 2022
5272,"Poulsbo, WA",Tue 05 17 2022
5290,"San Antonio, TX",Tue 05 17 2022
5301,"West Palm Beach, FL",Tue 05 17 2022
5341,"Broomfield, CO",Tue 05 17 2022
5346,"Mebane, NC",Tue 05 17 2022
5364,"Stillwater, OK",Tue 05 17 2022
5414,"Lanoka Harbor, NJ",Tue 05 17 2022
5417,"Louisville, KY",Tue 05 17 2022
5435,"San Jose, CA",Tue 05 17 2022
5450,"North East, MD",Tue 05 17 2022
5476,"Woodbury, NJ",Tue 05 17 2022
5628,"Monroe, WA",Tue 05 17 2022
5653,"Orange Beach, AL",Tue 05 17 2022
5752,"Garfield, NJ",Tue 05 17 2022
5753,"Alexandria, VA",Tue 05 17 2022
5772,"Lecanto, FL",Tue 05 17 2022
5773,"New Iberia, LA",Tue 05 17 2022
5795,"Oxford, PA",Tue 05 17 2022
5820,"Middleburg, FL",Tue 05 17 2022
5869,"Moscow, ID",Tue 05 17 2022
5884,"San Jose, CA",Tue 05 17 2022
5944,"Mount Laurel, NJ",Tue 05 17 2022
5968,"Washington, DC",Tue 05 17 2022
6173,"Robertsdale, AL",Tue 05 17 2022
6876,"Jonesboro, AR",Tue 05 17 2022
6887,"Greenwood, SC",Tue 05 17 2022
6958,"Cameron, NC",Tue 05 17 2022
6960,"Siloam Springs, AR",Tue 05 17 2022
6967,"Lake Worth, FL",Tue 05 17 2022
7181,"Beaufort, SC",Tue 05 17 2022
7290,"Crestwood, KY",Tue 05 17 2022
7296,"Hudson, NC",Tue 05 17 2022
7304,"Morganton, NC",Tue 05 17 2022
7324,"Huntsville, AL",Tue 05 17 2022
7342,"Madison, AL",Tue 05 17 2022
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
