Store,Commodity,SAT,SUN,MON,TUE,WED,THU,FRI
77,FDD,1,1,1,1,1,1,1
77,GM,1,1,1,1,1,1,1
98,FDD,1,1,1,1,1,1,1
98,GM,1,1,1,1,1,1,1
292,FDD,0,1,1,1,1,1,1
292,GM,1,1,1,1,1,1,1
320,HVDC,0,1,0,1,0,0,1
320,FDD,0,1,0,1,0,0,1
320,GM,1,1,1,0,1,1,0
346,HVDC,1,1,1,1,1,1,1
346,FDD,1,1,1,0,1,1,1
346,GM,1,1,0,1,1,0,1
402,FDD,1,1,1,1,1,1,1
402,GM,1,1,1,1,1,1,1
476,FDD,1,1,1,1,1,1,1
476,GM,1,1,1,2,1,1,1
1138,HVDC,1,0,1,1,0,1,0
1138,FDD,0,1,0,1,1,1,1
1138,GM,1,1,1,0,1,1,1
1152,FDD,1,1,1,1,1,1,1
1152,GM,1,1,1,1,1,1,1
1641,FDD,1,1,1,1,1,1,1
1641,GM,1,1,1,1,1,1,1
1675,FDD,1,1,1,1,1,1,0
1675,GM,1,1,1,1,1,0,1
1691,HVDC,1,1,0,1,1,1,1
1691,FDD,1,0,1,0,1,1,0
1691,GM,1,1,1,1,1,1,1
1829,FDD,1,1,1,1,1,1,1
1829,GM,1,1,1,1,1,1,1
2053,FDD,0,1,1,1,1,1,1
2053,GM,1,0,1,1,0,1,1
2118,HVDC,1,1,1,1,0,1,1
2118,GM,1,1,1,1,1,1,1
2275,FDD,1,1,1,1,1,1,1
2275,GM,1,1,1,1,1,1,1
2293,FDD,1,1,1,1,1,0,1
2293,GM,1,0,1,1,0,1,1
2458,FDD,1,1,1,1,1,1,1
2458,GM,1,1,1,1,1,1,1
2471,FDD,1,1,1,1,1,1,1
2471,GM,1,1,1,1,1,1,1
2607,FDD,1,1,1,1,1,1,1
2607,GM,1,1,1,1,1,1,1
2639,FDD,1,1,1,1,1,1,1
2639,GM,1,1,1,1,1,1,1
2758,FDD,1,1,1,1,1,1,1
2758,GM,1,1,1,1,1,1,1
3107,HVDC,1,1,1,1,0,1,1
3107,FDD,1,1,1,0,1,1,1
3107,GM,1,1,1,1,1,1,1
3760,HVDC,1,1,1,1,1,1,1
3760,FDD,1,1,1,1,1,1,1
3760,GM,1,1,1,1,1,1,1
4102,FDD,1,1,1,1,1,1,1
4102,GM,1,1,1,1,1,1,1
4156,HVDC,1,1,1,1,1,1,1
4156,GM,1,1,1,1,1,1,1
4350,HVDC,1,1,1,1,1,1,1
4350,FDD,1,1,1,1,1,1,1
4350,GM,1,0,1,1,1,1,1
5146,FDD,1,1,1,1,1,1,1
5146,GM,1,2,1,1,1,1,1
5482,HVDC,1,1,1,1,1,1,1
5482,FDD,1,1,1,1,1,1,1
5482,GM,1,1,1,1,1,1,1
5787,FDD,1,1,1,1,1,1,1
5787,GM,1,1,1,1,1,1,1
5806,HVDC,1,1,1,1,1,1,1
5806,GM,1,1,1,1,1,1,1
5869,HVDC,1,1,1,1,1,1,1
5869,FDD,1,1,1,1,1,1,1
5869,GM,1,1,1,1,1,1,1
5956,FDD,1,1,1,1,1,1,1
5956,GM,1,1,1,1,1,1,1
7188,FDD,1,1,1,1,1,1,1
7188,GM,1,1,1,1,1,0,1
7194,FDD,1,1,1,1,1,1,1
7194,GM,1,1,1,1,1,1,1
