Store Nbr,Inventory Arrives to Store (est.),Mod Set,Mod End
1,Aug. 23-Aug. 26,Week 32,Week 40
2,Aug. 23-Aug. 26,Week 32,Week 40
3,Aug. 23-Aug. 26,Week 32,Week 40
4,Aug. 23-Aug. 26,Week 32,Week 40
5,Aug. 23-Aug. 26,Week 32,Week 40
7,Aug. 23-Aug. 26,Week 32,Week 40
8,Aug. 23-Aug. 26,Week 32,Week 40
9,Aug. 23-Aug. 26,Week 32,Week 40
10,Aug. 23-Aug. 26,Week 32,Week 40
11,Aug. 23-Aug. 26,Week 32,Week 40
12,Aug. 23-Aug. 26,Week 32,Week 40
13,Aug. 23-Aug. 26,Week 32,Week 40
14,Aug. 23-Aug. 26,Week 32,Week 40
15,Aug. 23-Aug. 26,Week 32,Week 40
16,Aug. 23-Aug. 26,Week 32,Week 40
17,Aug. 23-Aug. 26,Week 32,Week 40
19,Aug. 23-Aug. 26,Week 32,Week 40
20,Aug. 23-Aug. 26,Week 32,Week 40
21,Aug. 23-Aug. 26,Week 32,Week 40
22,Aug. 23-Aug. 26,Week 32,Week 40
23,Aug. 23-Aug. 26,Week 32,Week 40
24,Aug. 23-Aug. 26,Week 32,Week 40
25,Aug. 23-Aug. 26,Week 32,Week 40
28,Aug. 23-Aug. 26,Week 32,Week 40
29,Aug. 23-Aug. 26,Week 32,Week 40
30,Aug. 23-Aug. 26,Week 32,Week 40
31,Aug. 23-Aug. 26,Week 32,Week 40
34,Aug. 23-Aug. 26,Week 32,Week 40
35,Aug. 23-Aug. 26,Week 32,Week 40
36,Aug. 23-Aug. 26,Week 32,Week 40
37,Aug. 23-Aug. 26,Week 32,Week 40
40,Aug. 23-Aug. 26,Week 32,Week 40
41,Aug. 23-Aug. 26,Week 32,Week 40
43,Aug. 23-Aug. 26,Week 32,Week 40
45,Aug. 23-Aug. 26,Week 32,Week 40
46,Aug. 23-Aug. 26,Week 32,Week 40
47,Aug. 23-Aug. 26,Week 32,Week 40
48,Aug. 23-Aug. 26,Week 32,Week 40
51,Aug. 23-Aug. 26,Week 32,Week 40
52,Aug. 23-Aug. 26,Week 32,Week 40
54,Aug. 23-Aug. 26,Week 32,Week 40
58,Aug. 23-Aug. 26,Week 32,Week 40
59,Aug. 23-Aug. 26,Week 32,Week 40
60,Aug. 23-Aug. 26,Week 32,Week 40
61,Aug. 23-Aug. 26,Week 32,Week 40
62,Aug. 23-Aug. 26,Week 32,Week 40
65,Aug. 23-Aug. 26,Week 32,Week 40
66,Aug. 23-Aug. 26,Week 32,Week 40
67,Aug. 23-Aug. 26,Week 32,Week 40
69,Aug. 23-Aug. 26,Week 32,Week 40
70,Aug. 23-Aug. 26,Week 32,Week 40
71,Aug. 23-Aug. 26,Week 32,Week 40
72,Aug. 23-Aug. 26,Week 32,Week 40
73,Aug. 23-Aug. 26,Week 32,Week 40
75,Aug. 23-Aug. 26,Week 32,Week 40
76,Aug. 23-Aug. 26,Week 32,Week 40
78,Aug. 23-Aug. 26,Week 32,Week 40
79,Aug. 23-Aug. 26,Week 32,Week 40
80,Aug. 23-Aug. 26,Week 32,Week 40
83,Aug. 23-Aug. 26,Week 32,Week 40
85,Aug. 23-Aug. 26,Week 32,Week 40
86,Aug. 23-Aug. 26,Week 32,Week 40
87,Aug. 23-Aug. 26,Week 32,Week 40
88,Aug. 23-Aug. 26,Week 32,Week 40
89,Aug. 23-Aug. 26,Week 32,Week 40
90,Aug. 23-Aug. 26,Week 32,Week 40
91,Aug. 23-Aug. 26,Week 32,Week 40
93,Aug. 23-Aug. 26,Week 32,Week 40
94,Aug. 23-Aug. 26,Week 32,Week 40
95,Aug. 23-Aug. 26,Week 32,Week 40
96,Aug. 23-Aug. 26,Week 32,Week 40
98,Aug. 23-Aug. 26,Week 32,Week 40
100,Aug. 23-Aug. 26,Week 32,Week 40
101,Aug. 23-Aug. 26,Week 32,Week 40
103,Aug. 23-Aug. 26,Week 32,Week 40
104,Aug. 23-Aug. 26,Week 32,Week 40
105,Aug. 23-Aug. 26,Week 32,Week 40
107,Aug. 23-Aug. 26,Week 32,Week 40
108,Aug. 23-Aug. 26,Week 32,Week 40
109,Aug. 23-Aug. 26,Week 32,Week 40
110,Aug. 23-Aug. 26,Week 32,Week 40
112,Aug. 23-Aug. 26,Week 32,Week 40
113,Aug. 23-Aug. 26,Week 32,Week 40
114,Aug. 23-Aug. 26,Week 32,Week 40
118,Aug. 23-Aug. 26,Week 32,Week 40
119,Aug. 23-Aug. 26,Week 32,Week 40
120,Aug. 23-Aug. 26,Week 32,Week 40
121,Aug. 23-Aug. 26,Week 32,Week 40
122,Aug. 23-Aug. 26,Week 32,Week 40
124,Aug. 23-Aug. 26,Week 32,Week 40
125,Aug. 23-Aug. 26,Week 32,Week 40
126,Aug. 23-Aug. 26,Week 32,Week 40
127,Aug. 23-Aug. 26,Week 32,Week 40
128,Aug. 23-Aug. 26,Week 32,Week 40
129,Aug. 23-Aug. 26,Week 32,Week 40
130,Aug. 23-Aug. 26,Week 32,Week 40
131,Aug. 23-Aug. 26,Week 32,Week 40
134,Aug. 23-Aug. 26,Week 32,Week 40
135,Aug. 23-Aug. 26,Week 32,Week 40
