Club,Plus First (excl. online)
6633,58.5%
4729,58.4%
4777,58.4%
6212,58.4%
6357,58.3%
6310,58.2%
6217,58.1%
6242,58.1%
6616,57.8%
4992,57.6%
6275,57.4%
6339,57.3%
6615,57.3%
4915,57.2%
4987,57.2%
8132,57.1%
8265,57.1%
6452,57.0%
6255,56.9%
6670,56.9%
6572,56.7%
4850,56.6%
6443,56.6%
8226,56.6%
4720,56.5%
4741,56.5%
4782,56.5%
6245,56.5%
6408,56.5%
6458,56.5%
8201,56.5%
6373,56.4%
8223,56.4%
4828,56.3%
6324,56.2%
6387,56.2%
4703,56.0%
6262,56.0%
6570,55.9%
6637,55.9%
4939,55.8%
6543,55.8%
8190,55.8%
4769,55.7%
6312,55.7%
8262,55.7%
8281,55.6%
6384,55.5%
4721,55.4%
6679,55.4%
4791,55.3%
4749,55.2%
4936,55.1%
8167,55.1%
4873,55.0%
8182,55.0%
8286,55.0%
4771,54.9%
6424,54.8%
6445,54.7%
6353,54.6%
6404,54.4%
8142,54.4%
6189,54.3%
6344,54.3%
4745,54.2%
6343,54.0%
6358,54.0%
6360,54.0%
6437,54.0%
4853,53.9%
6507,53.9%
6626,53.9%
8117,53.9%
8192,53.9%
8270,53.9%
4750,53.8%
6609,53.8%
6622,53.8%
6677,53.8%
8164,53.8%
4879,53.7%
6359,53.7%
6401,53.7%
4702,53.6%
6201,53.6%
8254,53.5%
4736,53.4%
6342,53.4%
4712,53.3%
4962,53.3%
6188,53.3%
8191,53.3%
6249,53.1%
6539,53.1%
8208,53.1%
6502,52.9%
4963,52.8%
8102,52.8%
8272,52.8%
6313,52.7%
6427,52.7%
8261,52.7%
6663,52.6%
4731,52.5%
6252,52.5%
6536,52.5%
6643,52.5%
4905,52.4%
4972,52.4%
4999,52.4%
6567,52.4%
7676,52.3%
6218,52.0%
6331,52.0%
6454,51.8%
8153,51.7%
4804,51.6%
6238,51.6%
6366,51.6%
6439,51.6%
6509,51.6%
8147,51.6%
8163,51.6%
8238,51.6%
4784,51.5%
6267,51.5%
8158,51.5%
4860,51.4%
8284,51.4%
4816,51.3%
6347,51.3%
4738,51.2%
4908,51.2%
6547,51.2%
6620,51.2%
4955,51.1%
8150,50.9%
8243,50.8%
6315,50.7%
6327,50.7%
8189,50.7%
4761,50.6%
4947,50.6%
4801,50.5%
6505,50.5%
6867,50.4%
4830,50.2%
6354,50.2%
6556,50.2%
8222,50.2%
8278,50.2%
4920,50.1%
6386,50.1%
6506,50.1%
6518,50.1%
6606,50.1%
8119,50.1%
4933,50.0%
6471,50.0%
4878,49.9%
8169,49.9%
8274,49.9%
6686,49.8%
6246,49.7%
6449,49.7%
6501,49.7%
6304,49.6%
4819,49.5%
4998,49.5%
8267,49.4%
4847,49.3%
8193,49.3%
8218,49.3%
4866,49.2%
6655,49.2%
4840,49.1%
6422,49.1%
6441,49.1%
6512,49.1%
4770,49.0%
4926,49.0%
6181,48.9%
6779,48.8%
8145,48.8%
8250,48.8%
6220,48.7%
6652,48.5%
4930,48.4%
6302,48.4%
6460,48.4%
6464,48.4%
6678,48.4%
8263,48.4%
8289,48.4%
6436,48.2%
6628,48.2%
8207,48.1%
8242,48.1%
6247,48.0%
6379,48.0%
8205,47.9%
6612,47.8%
8194,47.8%
6251,47.7%
8123,47.7%
8264,47.7%
6434,47.6%
6356,47.5%
6435,47.5%
8298,47.5%
6632,47.4%
8177,47.4%
6533,47.3%
6693,47.3%
8111,47.3%
4718,47.2%
6333,47.2%
6664,47.1%
6355,47.0%
6368,47.0%
8162,47.0%
6325,46.9%
4874,46.8%
8146,46.8%
6456,46.7%
4872,46.6%
6311,46.6%
6314,46.6%
6461,46.6%
6617,46.6%
8114,46.6%
6213,46.5%
6352,46.4%
4817,46.3%
4824,46.1%
6332,46.1%
6431,46.1%
8144,46.1%
6260,46.0%
8136,46.0%
8184,46.0%
6657,45.9%
8181,45.9%
8213,45.9%
8165,45.8%
4855,45.7%
6369,45.7%
6528,45.7%
4836,45.6%
4942,45.6%
6474,45.6%
8183,45.6%
6351,45.5%
6613,45.5%
8228,45.5%
4846,45.4%
6605,45.4%
6619,45.4%
8156,45.4%
8175,45.4%
8291,45.4%
4805,45.3%
8160,45.3%
4709,45.2%
4713,45.2%
6322,45.2%
6365,45.2%
6489,45.2%
4974,45.1%
6440,45.1%
4724,45.0%
6660,45.0%
4851,44.9%
6403,44.9%
6608,44.9%
6305,44.8%
6514,44.8%
4983,44.7%
8268,44.7%
6269,44.5%
6517,44.5%
6568,44.5%
6692,44.5%
8135,44.4%
4707,44.3%
4739,44.3%
4958,44.3%
6659,44.3%
8297,44.3%
4711,44.2%
6307,44.0%
6405,44.0%
6604,44.0%
4815,43.9%
6684,43.9%
4938,43.8%
6667,43.8%
4973,43.7%
6317,43.7%
6462,43.6%
6581,43.6%
6631,43.6%
8287,43.6%
4839,43.5%
6309,43.4%
6319,43.4%
6569,43.4%
4794,43.3%
4989,43.2%
4735,43.0%
4798,43.0%
6205,43.0%
6256,43.0%
6674,43.0%
4829,42.9%
6432,42.9%
6646,42.9%
6321,42.8%
4799,42.7%
6376,42.7%
6524,42.7%
8112,42.7%
4996,42.5%
6487,42.5%
8168,42.5%
8174,42.5%
8149,42.4%
6675,42.1%
6683,42.1%
8133,42.1%
6377,42.0%
8107,42.0%
6244,41.8%
8241,41.8%
6610,41.7%
8186,41.7%
8196,41.6%
8225,41.5%
6239,41.4%
6433,41.4%
4710,41.3%
6265,41.3%
6382,41.3%
6450,41.1%
8138,41.1%
4768,40.9%
6203,40.9%
6216,40.9%
6651,40.9%
6261,40.8%
6634,40.8%
6329,40.7%
6308,40.6%
4837,40.5%
8176,40.5%
6621,40.4%
4742,40.3%
8128,40.3%
8257,40.3%
6650,40.2%
8293,40.1%
6418,40.0%
6330,39.8%
8188,39.7%
8285,39.7%
6423,39.6%
6485,39.6%
8126,39.5%
6380,39.3%
8292,39.2%
6482,39.1%
6676,39.0%
6527,38.8%
4743,38.3%
8276,38.3%
6979,38.2%
8277,38.2%
6630,38.1%
6413,38.0%
6472,38.0%
8282,38.0%
8106,37.6%
4822,37.5%
6549,37.5%
4790,37.4%
8152,37.4%
6412,37.2%
8247,37.0%
8271,36.9%
6672,36.8%
6219,36.7%
6254,36.7%
6407,36.7%
8197,36.7%
6228,36.5%
8185,36.5%
4994,36.0%
4776,35.8%
6457,35.8%
6673,35.8%
6571,35.6%
8237,35.6%
6503,35.5%
4740,34.9%
8220,34.8%
8172,34.6%
6388,34.2%
6689,34.1%
6375,34.0%
6535,33.9%
6666,33.7%
6349,33.4%
4871,33.1%
6510,33.0%
6635,33.0%
6383,32.8%
6402,32.2%
6320,31.7%
8139,31.7%
6334,31.5%
8161,31.2%
8299,31.1%
6326,30.9%
6385,30.6%
8215,30.4%
6406,29.6%
6444,29.4%
6662,29.0%
8269,23.8%
4795,20.8%
