Store,Impacted Store
234,Yes
236,Yes
237,Yes
238,Yes
239,Yes
242,Yes
243,Yes
244,Yes
246,Yes
248,Yes
249,Yes
250,Yes
251,Yes
254,Yes
256,Yes
257,Yes
258,Yes
259,Yes
260,Yes
261,Yes
264,Yes
265,Yes
267,Yes
268,Yes
271,Yes
272,Yes
273,Yes
274,Yes
275,Yes
276,Yes
280,Yes
281,Yes
282,Yes
283,Yes
285,Yes
287,Yes
290,Yes
292,Yes
295,Yes
296,Yes
297,Yes
298,Yes
299,Yes
300,Yes
301,Yes
303,Yes
304,Yes
305,Yes
306,Yes
308,Yes
309,Yes
313,Yes
314,Yes
315,Yes
316,Yes
317,Yes
318,Yes
319,Yes
321,Yes
322,Yes
324,Yes
325,Yes
326,Yes
329,Yes
330,Yes
331,Yes
333,Yes
335,Yes
336,Yes
337,Yes
338,Yes
339,Yes
340,Yes
344,Yes
345,Yes
348,Yes
350,Yes
353,Yes
354,Yes
355,Yes
357,Yes
358,Yes
359,Yes
360,Yes
362,Yes
363,Yes
364,Yes
365,Yes
366,Yes
368,Yes
370,Yes
371,Yes
372,Yes
373,Yes
374,Yes
376,Yes
378,Yes
379,Yes
381,Yes
382,Yes
383,Yes
384,Yes
386,Yes
387,Yes
389,Yes
390,Yes
391,Yes
392,Yes
394,Yes
398,Yes
399,Yes
400,Yes
403,Yes
405,Yes
407,Yes
408,Yes
409,Yes
411,Yes
416,Yes
417,Yes
419,Yes
420,Yes
421,Yes
422,Yes
423,Yes
424,Yes
425,Yes
427,Yes
428,Yes
430,Yes
431,Yes
432,Yes
435,Yes
438,Yes
442,Yes
443,Yes
444,Yes
445,Yes
447,Yes
451,Yes
452,Yes
453,Yes
457,Yes
459,Yes
462,Yes
463,Yes
464,Yes
469,Yes
470,Yes
472,Yes
476,Yes
477,Yes
479,Yes
481,Yes
482,Yes
489,Yes
491,Yes
493,Yes
494,Yes
495,Yes
499,Yes
500,Yes
501,Yes
502,Yes
505,Yes
507,Yes
508,Yes
510,Yes
511,Yes
513,Yes
514,Yes
515,Yes
516,Yes
517,Yes
518,Yes
519,Yes
520,Yes
524,Yes
527,Yes
528,Yes
532,Yes
535,Yes
536,Yes
537,Yes
539,Yes
542,Yes
543,Yes
544,Yes
545,Yes
551,Yes
552,Yes
555,Yes
556,Yes
557,Yes
558,Yes
559,Yes
560,Yes
561,Yes
562,Yes
565,Yes
568,Yes
569,Yes
571,Yes
572,Yes
573,Yes
578,Yes
579,Yes
580,Yes
583,Yes
584,Yes
586,Yes
587,Yes
588,Yes
589,Yes
591,Yes
592,Yes
593,Yes
595,Yes
598,Yes
599,Yes
600,Yes
601,Yes
604,Yes
608,Yes
609,Yes
610,Yes
614,Yes
615,Yes
616,Yes
619,Yes
620,Yes
621,Yes
624,Yes
625,Yes
628,Yes
629,Yes
630,Yes
631,Yes
634,Yes
635,Yes
637,Yes
638,Yes
639,Yes
642,Yes
644,Yes
645,Yes
648,Yes
649,Yes
652,Yes
653,Yes
655,Yes
656,Yes
657,Yes
658,Yes
660,Yes
661,Yes
662,Yes
663,Yes
664,Yes
665,Yes
666,Yes
667,Yes
668,Yes
669,Yes
670,Yes
671,Yes
672,Yes
673,Yes
674,Yes
675,Yes
676,Yes
677,Yes
678,Yes
680,Yes
681,Yes
682,Yes
683,Yes
684,Yes
685,Yes
686,Yes
687,Yes
689,Yes
690,Yes
691,Yes
692,Yes
693,Yes
696,Yes
698,Yes
699,Yes
700,Yes
702,Yes
703,Yes
706,Yes
708,Yes
709,Yes
710,Yes
711,Yes
712,Yes
714,Yes
715,Yes
716,Yes
719,Yes
720,Yes
721,Yes
722,Yes
724,Yes
726,Yes
727,Yes
729,Yes
730,Yes
733,Yes
734,Yes
735,Yes
736,Yes
737,Yes
738,Yes
739,Yes
740,Yes
741,Yes
742,Yes
744,Yes
746,Yes
753,Yes
754,Yes
755,Yes
756,Yes
757,Yes
758,Yes
759,Yes
760,Yes
761,Yes
765,Yes
766,Yes
767,Yes
770,Yes
773,Yes
774,Yes
776,Yes
778,Yes
780,Yes
781,Yes
782,Yes
783,Yes
784,Yes
785,Yes
788,Yes
789,Yes
790,Yes
791,Yes
794,Yes
795,Yes
797,Yes
799,Yes
801,Yes
803,Yes
805,Yes
808,Yes
809,Yes
810,Yes
811,Yes
813,Yes
814,Yes
815,Yes
816,Yes
820,Yes
822,Yes
823,Yes
825,Yes
827,Yes
834,Yes
836,Yes
837,Yes
838,Yes
842,Yes
843,Yes
845,Yes
846,Yes
847,Yes
852,Yes
853,Yes
856,Yes
858,Yes
860,Yes
862,Yes
863,Yes
864,Yes
865,Yes
866,Yes
867,Yes
869,Yes
870,Yes
871,Yes
876,Yes
877,Yes
879,Yes
881,Yes
884,Yes
886,Yes
887,Yes
888,Yes
889,Yes
895,Yes
899,Yes
900,Yes
901,Yes
902,Yes
907,Yes
913,Yes
914,Yes
916,Yes
917,Yes
918,Yes
919,Yes
921,Yes
922,Yes
923,Yes
924,Yes
931,Yes
932,Yes
934,Yes
935,Yes
936,Yes
944,Yes
947,Yes
948,Yes
952,Yes
953,Yes
954,Yes
958,Yes
959,Yes
960,Yes
963,Yes
965,Yes
966,Yes
969,Yes
970,Yes
971,Yes
975,Yes
978,Yes
980,Yes
981,Yes
984,Yes
988,Yes
990,Yes
994,Yes
999,Yes
1002,Yes
1005,Yes
1006,Yes
1007,Yes
1009,Yes
1010,Yes
1011,Yes
1013,Yes
1014,Yes
1016,Yes
1018,Yes
1019,Yes
1020,Yes
1021,Yes
1022,Yes
1023,Yes
1024,Yes
1025,Yes
1026,Yes
1030,Yes
1032,Yes
1033,Yes
1034,Yes
1036,Yes
1037,Yes
1039,Yes
1043,Yes
1044,Yes
1046,Yes
1048,Yes
1052,Yes
1054,Yes
1055,Yes
1056,Yes
1058,Yes
1060,Yes
1061,Yes
1063,Yes
1064,Yes
1065,Yes
1066,Yes
1067,Yes
1069,Yes
1070,Yes
1072,Yes
1073,Yes
1074,Yes
1075,Yes
1080,Yes
1082,Yes
1086,Yes
1089,Yes
1091,Yes
1095,Yes
1096,Yes
1097,Yes
1098,Yes
1100,Yes
1101,Yes
1104,Yes
1105,Yes
1106,Yes
1107,Yes
1108,Yes
1109,Yes
1111,Yes
1112,Yes
1113,Yes
1114,Yes
1115,Yes
1116,Yes
1121,Yes
1122,Yes
1123,Yes
1126,Yes
1128,Yes
1130,Yes
1131,Yes
1132,Yes
1133,Yes
1134,Yes
1135,Yes
1139,Yes
1140,Yes
1141,Yes
1142,Yes
1144,Yes
1146,Yes
1147,Yes
1148,Yes
1149,Yes
1154,Yes
1155,Yes
1156,Yes
1157,Yes
1159,Yes
1160,Yes
1161,Yes
1164,Yes
1165,Yes
1166,Yes
1168,Yes
1169,Yes
1174,Yes
1176,Yes
1179,Yes
1180,Yes
1183,Yes
1186,Yes
1187,Yes
1189,Yes
1190,Yes
1191,Yes
1192,Yes
1194,Yes
1195,Yes
1197,Yes
1201,Yes
1205,Yes
1209,Yes
1210,Yes
1212,Yes
1214,Yes
1215,Yes
1217,Yes
1218,Yes
1221,Yes
1222,Yes
1226,Yes
1227,Yes
1230,Yes
1231,Yes
1232,Yes
1233,Yes
1234,Yes
1236,Yes
1237,Yes
1240,Yes
1242,Yes
1243,Yes
1245,Yes
1247,Yes
1249,Yes
1254,Yes
1255,Yes
1259,Yes
1260,Yes
1268,Yes
1271,Yes
1272,Yes
1280,Yes
1283,Yes
1284,Yes
1285,Yes
1286,Yes
1287,Yes
1288,Yes
1290,Yes
1291,Yes
1292,Yes
1297,Yes
1299,Yes
1301,Yes
1302,Yes
1303,Yes
1304,Yes
1305,Yes
1310,Yes
1313,Yes
1315,Yes
1316,Yes
1317,Yes
1319,Yes
1320,Yes
1321,Yes
1322,Yes
1326,Yes
1327,Yes
1328,Yes
1329,Yes
1331,Yes
1334,Yes
1335,Yes
1336,Yes
1337,Yes
1344,Yes
1345,Yes
1350,Yes
1351,Yes
1352,Yes
1354,Yes
1355,Yes
1356,Yes
1358,Yes
1360,Yes
1361,Yes
1363,Yes
1364,Yes
1368,Yes
1369,Yes
1370,Yes
1371,Yes
1375,Yes
1376,Yes
1377,Yes
1378,Yes
1379,Yes
1381,Yes
1382,Yes
1383,Yes
1384,Yes
1390,Yes
1396,Yes
1399,Yes
1400,Yes
1405,Yes
1407,Yes
1408,Yes
1410,Yes
1411,Yes
1412,Yes
1415,Yes
1416,Yes
1417,Yes
1422,Yes
1425,Yes
1426,Yes
1427,Yes
1428,Yes
1429,Yes
1431,Yes
1432,Yes
1433,Yes
1435,Yes
1437,Yes
1438,Yes
1439,Yes
1440,Yes
1443,Yes
1446,Yes
1448,Yes
1450,Yes
1456,Yes
1457,Yes
1458,Yes
1460,Yes
1461,Yes
1462,Yes
1463,Yes
1465,Yes
1466,Yes
1467,Yes
1468,Yes
1470,Yes
1472,Yes
1476,Yes
1477,Yes
1478,Yes
1479,Yes
1480,Yes
1483,Yes
1485,Yes
1486,Yes
1491,Yes
1493,Yes
1499,Yes
1500,Yes
1502,Yes
1505,Yes
1510,Yes
1514,Yes
1516,Yes
1519,Yes
1522,Yes
1524,Yes
1525,Yes
1526,Yes
1527,Yes
1529,Yes
1530,Yes
1534,Yes
1542,Yes
1543,Yes
1544,Yes
1547,Yes
1552,Yes
1558,Yes
1564,Yes
1565,Yes
1566,Yes
1567,Yes
1568,Yes
1569,Yes
1570,Yes
1571,Yes
1572,Yes
1573,Yes
1577,Yes
1579,Yes
1585,Yes
1594,Yes
1598,Yes
1603,Yes
1604,Yes
1607,Yes
1609,Yes
1611,Yes
1612,Yes
1617,Yes
1620,Yes
1621,Yes
1622,Yes
1629,Yes
1634,Yes
1636,Yes
1638,Yes
1639,Yes
1641,Yes
1642,Yes
1643,Yes
1644,Yes
1646,Yes
1647,Yes
1649,Yes
1652,Yes
1653,Yes
1654,Yes
1655,Yes
1656,Yes
1658,Yes
1659,Yes
1661,Yes
1662,Yes
1663,Yes
1664,Yes
1665,Yes
1667,Yes
1673,Yes
1674,Yes
1675,Yes
1679,Yes
1683,Yes
1684,Yes
1686,Yes
1694,Yes
1695,Yes
1696,Yes
1698,Yes
1699,Yes
1701,Yes
1703,Yes
1707,Yes
1708,Yes
1709,Yes
1710,Yes
1713,Yes
1714,Yes
1715,Yes
1719,Yes
1727,Yes
1729,Yes
1730,Yes
1731,Yes
1733,Yes
1739,Yes
1743,Yes
1745,Yes
1749,Yes
1752,Yes
1754,Yes
1758,Yes
1759,Yes
1763,Yes
1765,Yes
1767,Yes
1769,Yes
1771,Yes
1774,Yes
1778,Yes
1780,Yes
1781,Yes
1782,Yes
1783,Yes
1787,Yes
1788,Yes
1790,Yes
1791,Yes
1794,Yes
1795,Yes
1802,Yes
1806,Yes
1809,Yes
1810,Yes
1813,Yes
1816,Yes
1819,Yes
1820,Yes
1823,Yes
1828,Yes
1829,Yes
1830,Yes
1835,Yes
1836,Yes
1842,Yes
1845,Yes
1849,Yes
1850,Yes
1856,Yes
1866,Yes
1868,Yes
1871,Yes
1872,Yes
1875,Yes
1878,Yes
1883,Yes
1884,Yes
1885,Yes
1886,Yes
1894,Yes
1900,Yes
1901,Yes
1902,Yes
1905,Yes
1919,Yes
1923,Yes
1924,Yes
1929,Yes
1931,Yes
1932,Yes
1934,Yes
1935,Yes
1936,Yes
1937,Yes
1939,Yes
1943,Yes
1945,Yes
1946,Yes
1947,Yes
1948,Yes
1949,Yes
1950,Yes
1953,Yes
1954,Yes
1956,Yes
1958,Yes
1959,Yes
1965,Yes
1966,Yes
1968,Yes
1969,Yes
1973,Yes
1974,Yes
1975,Yes
1978,Yes
1981,Yes
1987,Yes
1990,Yes
1993,Yes
1995,Yes
2000,Yes
2004,Yes
2005,Yes
2006,Yes
2007,Yes
2008,Yes
2010,Yes
2013,Yes
2014,Yes
2016,Yes
2019,Yes
2024,Yes
2027,Yes
2035,Yes
2036,Yes
2037,Yes
2043,Yes
2046,Yes
2047,Yes
2049,Yes
2051,Yes
2055,Yes
2056,Yes
2061,Yes
2063,Yes
2064,Yes
2068,Yes
2078,Yes
2079,Yes
2083,Yes
2084,Yes
2088,Yes
2089,Yes
2092,Yes
2097,Yes
2102,Yes
2114,Yes
2116,Yes
2120,Yes
2121,Yes
2123,Yes
2129,Yes
2135,Yes
2136,Yes
2138,Yes
2140,Yes
2143,Yes
2144,Yes
2146,Yes
2147,Yes
2149,Yes
2156,Yes
2159,Yes
2164,Yes
2169,Yes
2175,Yes
2183,Yes
2185,Yes
2191,Yes
2192,Yes
2193,Yes
2196,Yes
2197,Yes
2199,Yes
2202,Yes
2205,Yes
2208,Yes
2209,Yes
2221,Yes
2230,Yes
2233,Yes
2234,Yes
2238,Yes
2239,Yes
2244,Yes
2249,Yes
2252,Yes
2255,Yes
2256,Yes
2259,Yes
2262,Yes
2263,Yes
2265,Yes
2269,Yes
2270,Yes
2271,Yes
2272,Yes
2274,Yes
2278,Yes
2285,Yes
2287,Yes
2289,Yes
2293,Yes
2300,Yes
2306,Yes
2307,Yes
2310,Yes
2318,Yes
2319,Yes
2325,Yes
2326,Yes
2330,Yes
2337,Yes
2340,Yes
2350,Yes
2352,Yes
2358,Yes
2359,Yes
2365,Yes
2367,Yes
2400,Yes
2402,Yes
2405,Yes
2420,Yes
2428,Yes
2429,Yes
2432,Yes
2434,Yes
2437,Yes
2438,Yes
2439,Yes
2440,Yes
2450,Yes
2453,Yes
2455,Yes
2469,Yes
2472,Yes
2474,Yes
2480,Yes
2483,Yes
2485,Yes
2496,Yes
2502,Yes
2508,Yes
2511,Yes
2512,Yes
2513,Yes
2520,Yes
2522,Yes
2528,Yes
2530,Yes
2531,Yes
2534,Yes
2535,Yes
2540,Yes
2541,Yes
2542,Yes
2545,Yes
2547,Yes
2548,Yes
2549,Yes
2551,Yes
2554,Yes
2562,Yes
2563,Yes
2564,Yes
2565,Yes
2566,Yes
2567,Yes
2572,Yes
2574,Yes
2575,Yes
2576,Yes
2579,Yes
2580,Yes
2587,Yes
2593,Yes
2595,Yes
2597,Yes
2605,Yes
2607,Yes
2608,Yes
2610,Yes
2611,Yes
2613,Yes
2615,Yes
2617,Yes
2619,Yes
2626,Yes
2630,Yes
2634,Yes
2638,Yes
2639,Yes
2645,Yes
2646,Yes
2647,Yes
2654,Yes
2662,Yes
2663,Yes
2664,Yes
2671,Yes
2672,Yes
2674,Yes
2681,Yes
2682,Yes
2684,Yes
2687,Yes
2695,Yes
2696,Yes
2702,Yes
2703,Yes
2704,Yes
2714,Yes
2715,Yes
2716,Yes
2717,Yes
2720,Yes
2723,Yes
2729,Yes
2730,Yes
2732,Yes
2733,Yes
2739,Yes
2749,Yes
2753,Yes
2754,Yes
2755,Yes
2756,Yes
2757,Yes
2758,Yes
2760,Yes
2761,Yes
2762,Yes
2764,Yes
2767,Yes
2768,Yes
2769,Yes
2777,Yes
2780,Yes
2781,Yes
2782,Yes
2784,Yes
2790,Yes
2792,Yes
2793,Yes
2794,Yes
2805,Yes
2806,Yes
2807,Yes
2809,Yes
2810,Yes
2811,Yes
2813,Yes
2822,Yes
2823,Yes
2831,Yes
2833,Yes
2836,Yes
2838,Yes
2844,Yes
2845,Yes
2846,Yes
2850,Yes
2852,Yes
2853,Yes
2854,Yes
2856,Yes
2862,Yes
2872,Yes
2884,Yes
2889,Yes
2891,Yes
2892,Yes
2893,Yes
2894,Yes
2908,Yes
2909,Yes
2910,Yes
2911,Yes
2913,Yes
2914,Yes
2921,Yes
2922,Yes
2923,Yes
2928,Yes
2929,Yes
2933,Yes
2935,Yes
2937,Yes
2939,Yes
2945,Yes
2957,Yes
2967,Yes
2968,Yes
2988,Yes
2990,Yes
2991,Yes
2992,Yes
2994,Yes
3017,Yes
3018,Yes
3056,Yes
3057,Yes
3060,Yes
3077,Yes
3093,Yes
3136,Yes
3137,Yes
3170,Yes
3191,Yes
3192,Yes
3206,Yes
3207,Yes
3208,Yes
3215,Yes
3218,Yes
3219,Yes
3220,Yes
3221,Yes
3222,Yes
3223,Yes
3228,Yes
3229,Yes
3230,Yes
3231,Yes
3232,Yes
3233,Yes
3234,Yes
3237,Yes
3241,Yes
3243,Yes
3251,Yes
3259,Yes
3260,Yes
3261,Yes
3262,Yes
3267,Yes
3269,Yes
3270,Yes
3271,Yes
3278,Yes
3281,Yes
3282,Yes
3283,Yes
3288,Yes
3289,Yes
3295,Yes
3300,Yes
3303,Yes
3304,Yes
3305,Yes
3307,Yes
3308,Yes
3310,Yes
3319,Yes
3320,Yes
3328,Yes
3329,Yes
3331,Yes
3334,Yes
3342,Yes
3344,Yes
3347,Yes
3351,Yes
3362,Yes
3366,Yes
3379,Yes
3381,Yes
3382,Yes
3383,Yes
3386,Yes
3394,Yes
3395,Yes
3403,Yes
3407,Yes
3412,Yes
3418,Yes
3429,Yes
3431,Yes
3453,Yes
3454,Yes
3458,Yes
3461,Yes
3465,Yes
3472,Yes
3474,Yes
3480,Yes
3485,Yes
3486,Yes
3492,Yes
3495,Yes
3497,Yes
3503,Yes
3505,Yes
3511,Yes
3514,Yes
3515,Yes
3518,Yes
3525,Yes
3528,Yes
3531,Yes
3534,Yes
3535,Yes
3549,Yes
3568,Yes
3570,Yes
3581,Yes
3582,Yes
3607,Yes
3608,Yes
3616,Yes
3620,Yes
3626,Yes
3627,Yes
3632,Yes
3634,Yes
3643,Yes
3644,Yes
3645,Yes
3648,Yes
3659,Yes
3660,Yes
3701,Yes
3705,Yes
3722,Yes
3730,Yes
3738,Yes
3739,Yes
3763,Yes
3764,Yes
3768,Yes
3770,Yes
3772,Yes
3778,Yes
3780,Yes
3784,Yes
3805,Yes
3807,Yes
3810,Yes
3825,Yes
3828,Yes
3829,Yes
3833,Yes
3842,Yes
3843,Yes
3850,Yes
3851,Yes
3852,Yes
3853,Yes
3864,Yes
3867,Yes
3872,Yes
3874,Yes
3887,Yes
3888,Yes
3894,Yes
3897,Yes
4055,Yes
4065,Yes
4068,Yes
4102,Yes
4103,Yes
4112,Yes
4115,Yes
4118,Yes
4129,Yes
4131,Yes
4144,Yes
4156,Yes
4163,Yes
4164,Yes
4166,Yes
4168,Yes
4187,Yes
4194,Yes
4195,Yes
4200,Yes
4203,Yes
4209,Yes
4215,Yes
4216,Yes
4223,Yes
4224,Yes
4226,Yes
4241,Yes
4243,Yes
4244,Yes
4247,Yes
4249,Yes
4253,Yes
4255,Yes
4272,Yes
4273,Yes
4274,Yes
4277,Yes
4278,Yes
4279,Yes
4281,Yes
4295,Yes
4318,Yes
4323,Yes
4325,Yes
4330,Yes
4333,Yes
4334,Yes
4335,Yes
4348,Yes
4355,Yes
4368,Yes
4370,Yes
4372,Yes
4377,Yes
4381,Yes
4389,Yes
4394,Yes
4395,Yes
4403,Yes
4404,Yes
4409,Yes
4410,Yes
4412,Yes
4417,Yes
4420,Yes
4423,Yes
4438,Yes
4440,Yes
4451,Yes
4461,Yes
4471,Yes
4476,Yes
4482,Yes
4483,Yes
4487,Yes
4499,Yes
4501,Yes
4521,Yes
4533,Yes
4540,Yes
4543,Yes
4564,Yes
4568,Yes
4593,Yes
4594,Yes
4597,Yes
4599,Yes
4615,Yes
4616,Yes
4635,Yes
4636,Yes
4637,Yes
4638,Yes
4639,Yes
4643,Yes
4653,Yes
4678,Yes
4682,Yes
4734,Yes
4865,Yes
5003,Yes
5031,Yes
5035,Yes
5041,Yes
5044,Yes
5046,Yes
5048,Yes
5049,Yes
5057,Yes
5070,Yes
5071,Yes
5076,Yes
5078,Yes
5079,Yes
5085,Yes
5088,Yes
5091,Yes
5099,Yes
5101,Yes
5105,Yes
5113,Yes
5116,Yes
5117,Yes
5123,Yes
5126,Yes
5127,Yes
5131,Yes
5151,Yes
5159,Yes
5160,Yes
5165,Yes
5167,Yes
5168,Yes
5172,Yes
5173,Yes
5174,Yes
5175,Yes
5186,Yes
5190,Yes
5199,Yes
5203,Yes
5210,Yes
5232,Yes
5233,Yes
5236,Yes
5239,Yes
5241,Yes
5252,Yes
5253,Yes
5254,Yes
5260,Yes
5261,Yes
5263,Yes
5272,Yes
5275,Yes
5288,Yes
5296,Yes
5307,Yes
5319,Yes
5343,Yes
5345,Yes
5346,Yes
5356,Yes
5358,Yes
5359,Yes
5360,Yes
5369,Yes
5370,Yes
5374,Yes
5376,Yes
5379,Yes
5385,Yes
5388,Yes
5389,Yes
5392,Yes
5399,Yes
5403,Yes
5411,Yes
5422,Yes
5428,Yes
5432,Yes
5446,Yes
5458,Yes
5460,Yes
5461,Yes
5462,Yes
5470,Yes
5471,Yes
5477,Yes
5482,Yes
5487,Yes
5489,Yes
5494,Yes
5497,Yes
5498,Yes
5628,Yes
5703,Yes
5709,Yes
5727,Yes
5731,Yes
5743,Yes
5747,Yes
5779,Yes
5799,Yes
5806,Yes
5809,Yes
5812,Yes
5814,Yes
5841,Yes
5845,Yes
5847,Yes
5858,Yes
5864,Yes
5869,Yes
5922,Yes
5929,Yes
5987,Yes
6173,Yes
6190,Yes
6286,Yes
6370,Yes
6467,Yes
6469,Yes
6476,Yes
6576,Yes
6579,Yes
6789,Yes
6878,Yes
6879,Yes
6887,Yes
6898,Yes
6932,Yes
6951,Yes
6952,Yes
6958,Yes
6963,Yes
7009,Yes
7087,Yes
7129,Yes
7178,Yes
7179,Yes
7194,Yes
7199,Yes
7243,Yes
7245,Yes
7246,Yes
7280,Yes
7281,Yes
7294,Yes
7324,Yes
