Region,Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
5,1118,SPARK,Scheduled Standard Delivery,8,At Risk,Recovering,Driver Supply Focus,202414,89.80%,97.70%,8.5,91.80%,86.00%,92.90%,88.70%
44,38,SPARK,Scheduled Standard Delivery,9,At Risk,Recovering,Driver Supply Focus,202414,84.80%,99.80%,6.5,90.50%,90.60%,89.90%,67.50%
44,427,SPARK,Scheduled Standard Delivery,5,At Risk,Recovering,Driver Supply Focus,202414,88.70%,96.00%,9.8,94.30%,89.20%,89.60%,81.20%
7,2864,UBER,Scheduled Standard Delivery,18,Executive Review,Recovering,Driver Supply Focus,202414,93.80%,92.60%,9.5,96.80%,93.80%,89.80%,95.10%
6,2765,SPARK,Scheduled Standard Delivery,3,Active Monitoring,Degrading,Driver Supply Focus,202414,83.90%,99.70%,7.5,87.70%,79.40%,85.30%,82.60%
6,1098,SPARK,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202414,87.80%,100.00%,5.5,81.50%,96.00%,90.50%,81.80%
6,482,SPARK,Scheduled Standard Delivery,30,Executive Review,Recovering,Driver Supply Focus,202414,96.60%,97.90%,3.7,100.00%,100.00%,97.10%,86.70%
6,5612,SPARK,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202414,90.00%,98.60%,9,90.90%,92.40%,89.20%,87.60%
6,5612,UBER,Scheduled Standard Delivery,33,Executive Review,Recovering,Driver Supply Focus,202414,90.40%,97.80%,8.9,92.30%,91.90%,88.80%,88.50%
6,5959,SPARK,Scheduled Standard Delivery,8,Executive Review,Degrading,Driver Supply Focus,202414,87.70%,97.80%,7.1,88.70%,89.60%,88.00%,84.70%
6,567,SPARK,Scheduled Standard Delivery,42,Executive Review,Degrading,Driver Supply Focus,202414,71.90%,100.00%,5.2,64.70%,66.70%,66.70%,81.80%
59,4053,SPARK,Scheduled Standard Delivery,15,Executive Review,Degrading,Driver Supply Focus,202414,74.80%,88.60%,6.6,74.90%,71.90%,73.70%,79.60%
