Store #,Date,
2667,"Thursday, April 24, 2025",
2105,"Friday, April 25, 2025",
2996,"Saturday, April 26, 2025",
1801,"Sunday, April 27, 2025",
100,"Thursday, May 1, 2025",
359,"Friday, May 2, 2025",
5260,"Saturday, May 3, 2025",
4108,"Sunday, May 4, 2025",
849,"Thursday, May 8, 2025",
2257,"Friday, May 9, 2025",
3827,"Saturday, May 10, 2025",
3584,"Sunday, May 11, 2025",
3403,"Thursday, May 15, 2025",
1181,"Friday, May 16, 2025",
878,"Saturday, May 17, 2025",
1400,"Sunday, May 18, 2025",
4681,"Thursday, April 24, 2025",
3197,"Friday, April 25, 2025",
1501,"Saturday, April 26, 2025",
2627,"Sunday, April 27, 2025",
5214,"Thursday, May 1, 2025",
1220,"Friday, May 2, 2025",
4365,"Saturday, May 3, 2025",
890,"Sunday, May 4, 2025",
4153,"Thursday, May 8, 2025",
2195,"Friday, May 9, 2025",
5012,"Saturday, May 10, 2025",
3212,"Sunday, May 11, 2025",
3469,"Thursday, May 15, 2025",
3520,"Friday, May 16, 2025",
3795,"Saturday, May 17, 2025",
3159,"Sunday, May 18, 2025",
