Store,SCO Count,Install Date,WIC @ SCO
134,8,10/29/2023,Yes
203,9,10/29/2023,No
242,15,10/29/2023,Yes
479,17,10/29/2023,Yes
610,16,10/29/2023,Yes
736,13,10/29/2023,Yes
1051,11,10/29/2023,Yes
1075,19,10/29/2023,Yes
1896,15,10/29/2023,Yes
1910,13,10/29/2023,Yes
1959,23,10/29/2023,Yes
2690,13,10/29/2023,Yes
3275,9,10/29/2023,Yes
3392,10,10/29/2023,Yes
3433,16,10/29/2023,Yes
5349,6,10/29/2023,Yes
5379,10,10/29/2023,No
5738,10,10/29/2023,Yes
6587,10,10/29/2023,Yes
2100,16,10/29/2023,Yes
