Product Category,Item #,Description,Current Rollback Price,New Price
AMERICAN,658435465,PD SHRP AMERICAN7.62,6.82,7.62
BULK CHEDDAR,665527463,PD MILD CHEDDAR CHS,6.82,7.62
COLBY,572034162,PD COLBY ORD,6.82,7.62
COLBY,658435442,PD COLBY,6.82,7.62
DELI FRESH CHEESE,556500216,PD CLBY CHEESE PS,6.82,7.62
DELI FRESH CHEESE,579527836,PD MUENSTER PRE,6.82,7.62
DELI FRESH CHEESE,658435453,PD MOZZARELLA,6.82,7.62
MUENSTER,658435455,PD MUENSTER,6.82,7.62
PEPPER JACK,658435459,PD PEPPER JACK,6.82,7.62
PREMIUM CHICKEN,668419164,PD BUFFALO CHKN,9.87,8.97
PREMIUM CHICKEN,668419167,PD GAR CHICKN,9.87,8.97
PREMIUM CHICKEN,668419177,PD OR CHKN BRST,9.87,8.97
PREMIUM DRY SAUSAGE,668419168,PD GENOA,8.77,8.27
PREMIUM DRY SAUSAGE,668419169,PD HARD SALAMI,8.77,8.27
PREMIUM DRY SAUSAGE,668419180,PD PEPPERONI,8.77,8.27
PREMIUM HAM,668419163,PD BLK FRST HAM,8.77,8.27
PREMIUM HAM,668419172,PD HONEY HAM,8.77,8.27
PREMIUM HAM,668419175,PD MPLGLZ HY HAM,8.77,8.27
PREMIUM HAM,668419176,PD OFF BN HAM,8.77,8.27
PREMIUM HAM,668419184,PD VIRGINIA HAM,8.77,8.27
PREMIUM TURKEY,668419171,PD HICKORY TKY,10.72,9.97
PREMIUM TURKEY,668419174,PD MESQ TURKEY,10.72,9.97
PREMIUM TURKEY,668419178,PD OR TURKEY,10.72,9.97
PREMIUM TURKEY,668419179,PD PEPPER TKY,10.72,9.97
PREMIUM TURKEY,668419181,PD R/SOD TURKEY,10.72,9.97
PREMIUM TURKEY,668419183,PD SUNTOM TURKEY,10.72,9.97
PREMIUM TURKEY,668419185,PD HNY MPL TURKEY,10.72,9.97
PREMIUM TURKEY,668419186,PD OVEN ROASTED TKY,10.72,9.97
PREMIUM TURKEY,668419192,PD OR TURKEY,10.72,9.97
PREMIUM TURKEY,670865730,PD CAJUN TURKEY,10.72,9.97
PRE-SLICED,577339449,PD OVENROAST CKN PRE,9.87,8.97
PRE-SLICED,577339451,PD BUFFALO CKN PRE,9.87,8.97
PRE-SLICED,578738652,PD OVENROAST CKN PRE,9.87,8.97
PRE-SLICED,579010021,PD OVENROAST CKN PRE,9.87,8.97
PRE-SLICED,579010022,PD BUFFALO CKN PRE,9.87,8.97
PRE-SLICED,662164523,PD FAJITA CHICKN PRE,9.87,8.97
PRE-SLICED,662164651,PD TERIYAKI CHCKN PR,10.97,8.97
PRE-SLICED,665928947,PD ROTIS CHICKEN PRE,9.87,8.97
PRE-SLICED,573551808,HONEY HAM PRE,8.77,8.27
PRE-SLICED,573551809,OFF THE BONE HAM PRE,8.77,8.27
PRE-SLICED,576842887,PD BLK FRST HAM PRE,8.77,8.27
PRE-SLICED,576842888,PD OFF BONE HAM PRE,8.77,8.27
PRE-SLICED,576842889,PD HONEY HAM PRE,8.77,8.27
PRE-SLICED,576842890,PD VIRGINIA HAM PRE,8.77,8.27
PRE-SLICED,596492682,PD DELUXE HAM PRE,8.77,8.27
PRE-SLICED,597159136,PD HONEY HAM PRE,8.77,8.27
PRE-SLICED,576842886,PD HARD SALAMI PRE,8.77,8.27
PRE-SLICED,596492677,PD PEPPERONI PRE,8.77,8.27
PRE-SLICED,577339447,PD HIKRY TURKEY PRE,10.72,9.97
PRE-SLICED,578738649,PD HONEY TURKEY PRE,10.72,9.97
PRE-SLICED,578738650,PD HIKRY TURKEY PRE,10.72,9.97
PRE-SLICED,578738651,PD OVENROAST TKY PRE,10.72,9.97
PRE-SLICED,578738653,PD PEPPER TURKEY PRE,10.72,9.97
PRE-SLICED,596492486,PD SDT TURKEY PRE,10.87,9.97
PRE-SLICED,597808598,PD SDT TURKEY PRE,10.87,9.97
PRE-SLICED,653383453,PD CAJUN TURKEY PRE,10.72,9.97
PRE-SLICED,661876281,PD OVENROAST TKY PRE,10.72,9.97
PRE-SLICED,669700146,PD BLK FRT TRKY PRE,10.72,9.97
