DC Number,Type,Date,Application,Summary,Status,CRQ,CRQ Link,Cell Number
6042,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
6057,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
6065,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
6077,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
6082,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
6083,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
6084,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
8348,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,1
7013,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
7021,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
7047,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
7048,Pilot,8/14/2025,Atlas Loading,Atlas Loading defect fixes and security updates ,Completed,CHG3408510,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=910b9df547976a5051a22fd8036d4311&recordUrl=change_request.do%3Fsys_id%3D910b9df547976a5051a22fd8036d4311&sysparm_stack=&sysparm_view=,2
