Market,Store,Store Type,Launch Date ,,
360,195,SUP,5/16/2023,,
59,297,SUP,5/16/2023,,
362,577,SUP,5/16/2023,,
68,602,SUP,5/16/2023,,
152,674,SUP,5/16/2023,,
64,772,SUP,5/16/2023,,
65,1040,SUP,5/16/2023,,
22,1047,SUP,5/16/2023,,
55,1118,SUP,5/16/2023,,
306,1156,SUP,5/16/2023,,
50,1178,SUP,5/16/2023,,
20,1184,SUP,5/16/2023,,
225,1443,SUP,5/16/2023,,
369,1533,SUP,5/16/2023,,
445,1588,SUP,5/16/2023,,
461,1747,SUP,5/16/2023,,
225,1961,SUP,5/16/2023,,
219,2098,SUP,5/16/2023,,
280,2233,SUP,5/16/2023,,
23,2360,SUP,5/16/2023,,
482,2786,SUP,5/16/2023,,
197,2912,SUP,5/16/2023,,
268,3004,SUP,5/16/2023,,
583,3224,SUP,5/16/2023,,
583,3225,SUP,5/16/2023,,
67,3297,SUP,5/16/2023,,
26,3403,SUP,5/16/2023,,
234,3633,SUP,5/16/2023,,
298,3658,SUP,5/16/2023,,
91,3782,SUP,5/16/2023,,
371,3799,SUP,5/16/2023,,
368,4336,SUP,5/16/2023,,
24,4436,SUP,5/16/2023,,
207,4479,SUP,5/16/2023,,
309,5063,SUP,5/16/2023,,
178,5142,SUP,5/16/2023,,
454,5192,SUP,5/16/2023,,
305,5298,SUP,5/16/2023,,
376,5334,SUP,5/16/2023,,
266,5486,SUP,5/16/2023,,
411,484,SUP,5/18/2023,,
24,575,SUP,5/18/2023,,
67,703,SUP,5/18/2023,,
65,768,SUP,5/18/2023,,
50,880,SUP,5/18/2023,,
26,937,SUP,5/18/2023,,
89,942,SUP,5/18/2023,,
583,1055,SUP,5/18/2023,,
266,1256,SUP,5/18/2023,,
225,1510,SUP,5/18/2023,,
225,1521,SUP,5/18/2023,,
369,1532,SUP,5/18/2023,,
23,1578,SUP,5/18/2023,,
280,1674,SUP,5/18/2023,,
246,1734,SUP,5/18/2023,,
583,1800,SUP,5/18/2023,,
59,1837,SUP,5/18/2023,,
298,1842,SUP,5/18/2023,,
207,1913,SUP,5/18/2023,,
306,2005,SUP,5/18/2023,,
370,2113,SUP,5/18/2023,,
423,2448,SUP,5/18/2023,,
369,2512,SUP,5/18/2023,,
203,2618,SUP,5/18/2023,,
55,2667,SUP,5/18/2023,,
373,2671,SUP,5/18/2023,,
454,2735,SUP,5/18/2023,,
90,2881,SUP,5/18/2023,,
479,2980,SUP,5/18/2023,,
207,3445,SUP,5/18/2023,,
309,3700,SUP,5/18/2023,,
65,4111,SUP,5/18/2023,,
445,4340,SUP,5/18/2023,,
454,4393,SUP,5/18/2023,,
91,4588,SUP,5/18/2023,,
67,5045,SUP,5/18/2023,,
305,5085,SUP,5/18/2023,,
376,5137,SUP,5/18/2023,,
461,5193,SUP,5/18/2023,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
