Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Reported,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
202,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202401,85.70%,97.80%,8.8,94.80%,87.10%,82.10%,79.00%
781,SPARK,Scheduled Standard Delivery,39,Executive Review,Recovering,Driver Supply Focus,202401,91.70%,97.50%,8.4,96.70%,89.80%,90.00%,89.70%
132,SPARK,Scheduled Standard Delivery,6,At Risk,Degrading,Driver Supply Focus,202401,88.80%,99.30%,5,81.00%,98.40%,83.80%,91.30%
63,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202401,90.20%,97.10%,7.7,94.50%,87.30%,91.20%,88.00%
242,SPARK,Scheduled Standard Delivery,25,Executive Review,Recovering,Driver Supply Focus,202401,90.30%,97.20%,8.9,95.40%,83.20%,86.90%,95.60%
777,POINTPICKUP,Scheduled Standard Delivery,5,At Risk,Degrading,Driver Supply Focus,202401,86.00%,88.40%,9.1,87.00%,81.00%,84.10%,91.50%
400,UBER,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202401,92.10%,91.90%,9.1,97.90%,100.00%,84.20%,86.80%
402,POINTPICKUP,Scheduled Standard Delivery,21,Executive Review,Degrading,Driver Supply Focus,202401,86.40%,92.50%,8.5,88.00%,81.10%,90.30%,87.50%
2133,SPARK,Scheduled Standard Delivery,23,Executive Review,Recovering,Driver Supply Focus,202401,91.00%,93.50%,9.5,92.30%,91.00%,86.90%,93.30%
5145,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202401,91.80%,96.70%,6.9,94.50%,95.70%,89.10%,88.50%
5145,UBER,Scheduled Standard Delivery,10,Executive Review,Recovering,Driver Supply Focus,202401,89.60%,97.30%,7.3,97.60%,97.70%,82.40%,83.00%
508,SPARK,Scheduled Standard Delivery,10,At Risk,Recovering,Driver Supply Focus,202401,93.50%,90.80%,9.3,97.20%,89.90%,91.20%,95.80%
482,SPARK,Scheduled Standard Delivery,17,Executive Review,Degrading,Driver Supply Focus,202401,77.40%,95.30%,4.3,88.00%,85.00%,66.70%,76.00%
5959,SPARK,Scheduled Standard Delivery,16,Executive Review,Recovering,Driver Supply Focus,202401,92.80%,94.90%,8.4,92.10%,95.40%,89.20%,94.40%
293,SPARK,Scheduled Standard Delivery,28,Executive Review,Degrading,Driver Supply Focus,202401,91.00%,100.00%,3.2,85.20%,100.00%,84.60%,100.00%
567,SPARK,Scheduled Standard Delivery,29,Executive Review,Degrading,Driver Supply Focus,202401,62.10%,100.00%,4.1,52.60%,50.00%,63.60%,87.50%
2656,SPARK,Scheduled Standard Delivery,4,Active Monitoring,Recovering,Driver Supply Focus,202401,90.40%,89.10%,8.2,96.30%,86.40%,95.00%,84.60%
829,UBER,Scheduled Standard Delivery,5,Active Monitoring,Recovering,Driver Supply Focus,202401,94.80%,92.00%,6.5,100.00%,96.00%,89.30%,94.30%
653,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202401,87.90%,93.30%,8.5,92.80%,83.70%,79.40%,89.20%
655,POINTPICKUP,Scheduled Standard Delivery,9,Executive Review,Recovering,Driver Supply Focus,202401,86.10%,96.00%,9.7,92.70%,89.40%,65.40%,83.10%
493,SPARK,Scheduled Standard Delivery,2,Active Monitoring,Degrading,Driver Supply Focus,202401,79.70%,96.40%,9.2,87.60%,75.90%,68.20%,83.30%
571,POINTPICKUP,Scheduled Standard Delivery,7,At Risk,Degrading,Driver Supply Focus,202401,82.80%,97.60%,8.5,80.70%,72.50%,84.10%,90.10%
1445,UBER,Scheduled Standard Delivery,22,Executive Review,Recovering,Driver Supply Focus,202401,90.00%,100.00%,4,95.50%,90.50%,82.60%,91.70%
5471,UBER,Scheduled Standard Delivery,2,Active Monitoring,Recovering,Driver Supply Focus,202401,86.60%,99.60%,7.7,96.40%,87.00%,77.30%,87.70%
3328,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202401,74.50%,89.80%,7.8,89.20%,67.50%,57.00%,85.90%
5386,SPARK,Scheduled Standard Delivery,36,Executive Review,Recovering,Driver Supply Focus,202401,87.50%,91.00%,9.6,91.40%,91.00%,73.00%,94.50%
633,SPARK,Scheduled Standard Delivery,1,Active Monitoring,Degrading,Driver Supply Focus,202401,77.10%,96.70%,8.3,87.60%,76.60%,58.00%,86.10%
957,SPARK,Scheduled Standard Delivery,28,Executive Review,Recovering,Driver Supply Focus,202401,76.70%,98.60%,5.4,93.90%,71.90%,51.70%,84.60%
