Store Number,Vehicle Count,Install Date,Install Time,,,,,,,,
1027,2,6/23/2025,6:30 PM,,,,,,,,
1156,1,6/28/2025,6:30 PM,,,,,,,,
1209,1,6/28/2025,8:00 PM,,,,,,,,
1385,1,6/27/2025,8:15 AM,,,,,,,,
1452,1,6/26/2025,7:00 AM,,,,,,,,
1552,1,6/23/2025,7:00 AM,,,,,,,,
1662,1,6/28/2025,7:00 AM,,,,,,,,
1666,1,6/25/2025,7:00 AM,,,,,,,,
2005,1,6/23/2025,8:15 AM,,,,,,,,
2134,1,6/24/2025,7:00 AM,,,,,,,,
3700,3,6/25/2025,6:30 PM,,,,,,,,
3733,1,6/27/2025,6:30 PM,,,,,,,,
4237,3,6/26/2025,6:30 PM,,,,,,,,
4574,2,6/23/2025,8:30 PM,,,,,,,,
4593,1,6/27/2025,9:00 PM,,,,,,,,
4848,1,6/26/2025,8:15 AM,,,,,,,,
5063,1,6/25/2025,8:00 AM,,,,,,,,
5085,1,6/24/2025,8:30 PM,,,,,,,,
5298,1,6/27/2025,7:00 AM,,,,,,,,
5481,2,6/24/2025,6:30 PM,,,,,,,,
5879,1,6/24/2025,8:15 AM,,,,,,,,
1458,3,6/24/2025,6:30 PM,,,,,,,,
1469,1,6/25/2025,8:00 PM,,,,,,,,
1606,2,6/25/2025,7:00 AM,,,,,,,,
3659,1,6/25/2025,6:30 PM,,,,,,,,
4692,1,6/24/2025,9:15 PM,,,,,,,,
1167,1,6/25/2025,7:00 AM,,,,,,,,
1228,1,6/18/2025,9:00 PM,,,,,,,,
1256,2,6/28/2025,7:00 AM,,,,,,,,
1377,2,6/18/2025,7:00 AM,,,,,,,,
1401,2,6/25/2025,7:00 AM,,,,,,,,
1404,1,6/20/2025,6:30 PM,,,,,,,,
1413,2,6/20/2025,7:00 AM,,,,,,,,
1420,1,6/24/2025,8:15 AM,,,,,,,,
1497,1,6/30/2025,7:00 AM,,,,,,,,
1531,1,6/21/2025,8:15 AM,,,,,,,,
1553,1,6/21/2025,6:30 PM,,,,,,,,
1556,1,6/30/2025,8:00 PM,,,,,,,,
1596,1,6/25/2025,8:00 PM,,,,,,,,
1618,1,7/2/2025,8:15 AM,,,,,,,,
1668,1,6/19/2025,7:00 AM,,,,,,,,
1681,1,6/23/2025,6:30 PM,,,,,,,,
1735,2,6/20/2025,8:00 PM,,,,,,,,
1737,1,6/26/2025,8:15 AM,,,,,,,,
1814,1,6/21/2025,7:00 AM,,,,,,,,
1848,1,6/26/2025,7:00 AM,,,,,,,,
1892,1,6/26/2025,8:00 PM,,,,,,,,
1897,2,6/21/2025,8:00 PM,,,,,,,,
1898,1,6/24/2025,7:00 AM,,,,,,,,
1938,1,6/26/2025,6:30 PM,,,,,,,,
1998,2,6/23/2025,7:00 AM,,,,,,,,
2204,1,6/26/2025,9:15 PM,,,,,,,,
2215,1,6/25/2025,9:15 PM,,,,,,,,
2544,1,7/2/2025,7:00 AM,,,,,,,,
2817,2,7/1/2025,8:00 PM,,,,,,,,
2818,1,7/1/2025,6:30 PM,,,,,,,,
2956,1,6/28/2025,9:15 PM,,,,,,,,
3004,2,6/27/2025,7:00 AM,,,,,,,,
3400,1,6/25/2025,6:30 PM,,,,,,,,
3434,1,6/19/2025,6:30 PM,,,,,,,,
3601,1,6/30/2025,9:15 PM,,,,,,,,
3725,1,6/23/2025,7:45 PM,,,,,,,,
3790,1,6/28/2025,6:30 PM,,,,,,,,
3891,1,6/19/2025,8:15 AM,,,,,,,,
3893,1,6/18/2025,6:30 PM,,,,,,,,
4049,1,6/30/2025,8:15 AM,,,,,,,,
4286,1,6/24/2025,9:15 PM,,,,,,,,
4405,1,6/24,7:45 PM,,,,,,,,
4529,1,6/30/2025,6:30 PM,,,,,,,,
4531,1,6/28/2025,7:45 PM,,,,,,,,
4631,1,7/1/2025,7:00 AM,,,,,,,,
4641,1,6/19/2025,8:00 PM,,,,,,,,
5060,1,6/19/2025,9:15 PM,,,,,,,,
5199,1,6/18/2025,7:45 PM,,,,,,,,
5352,1,6/24/2025,6:30 PM,,,,,,,,
