Store ID,First Assigned Carrier,Fulfillment Type,Weeks With Status, Status, Trend,Directional Focus,Week Updated,OTD* %,OTP* %,Dwell Time*,OTD Previous Week,OTD 2 Wks Ago,OTD 3 Wks Ago,OTD 4 Wks Ago
2818,,Scheduled Delivery Standard,41,Executive Review,Degrading,Store Focus,202405,79.90%,90.30%,18.4,86.20%,70.40%,79.60%,81.00%
4631,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202405,89.90%,94.60%,15.6,93.50%,96.80%,88.60%,81.70%
1307,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202405,86.70%,86.80%,11.8,92.60%,91.80%,82.00%,80.60%
4286,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202405,94.70%,95.50%,13,96.30%,96.30%,89.40%,96.70%
4531,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202405,92.70%,94.50%,15.3,96.40%,97.80%,96.10%,81.40%
481,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202405,91.00%,88.80%,10.9,94.00%,89.10%,93.60%,86.90%
1734,,Scheduled Delivery Standard,29,Executive Review,Degrading,Store Focus,202405,87.30%,88.40%,11.5,83.80%,83.70%,93.30%,88.60%
2491,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202405,85.70%,88.10%,10.9,87.70%,89.20%,85.70%,80.90%
1454,,Scheduled Delivery Standard,28,Executive Review,Recovering,Store Focus,202405,91.80%,87.90%,10.8,91.90%,96.40%,91.30%,87.80%
1602,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,80.80%,87.70%,14.6,88.30%,74.00%,83.00%,64.90%
2728,,Scheduled Delivery Standard,28,Executive Review,Recovering,Store Focus,202405,88.30%,90.70%,11.8,92.70%,88.60%,85.80%,86.20%
3210,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,80.20%,86.70%,14.7,89.10%,81.00%,78.10%,35.00%
3602,,Scheduled Delivery Standard,41,Executive Review,Degrading,Store Focus,202405,79.70%,87.40%,19.1,81.50%,80.70%,81.70%,75.00%
1028,,Scheduled Delivery Standard,38,Executive Review,Degrading,Store Focus,202405,87.50%,88.00%,14.6,88.60%,91.30%,88.80%,81.00%
1125,,Scheduled Delivery Standard,6,At Risk,Recovering,Store Focus,202405,89.30%,95.70%,15.1,91.80%,88.20%,87.10%,90.40%
3460,,Scheduled Delivery Standard,6,At Risk,Degrading,Store Focus,202405,86.10%,90.90%,15,84.10%,85.70%,89.70%,84.70%
1497,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202405,90.80%,96.80%,10.9,93.30%,95.50%,93.80%,81.00%
3601,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202405,91.90%,99.50%,10.9,92.50%,93.00%,93.10%,89.20%
4049,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202405,92.30%,99.40%,14.4,94.50%,94.80%,91.40%,89.10%
1998,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202405,93.80%,94.70%,12.1,95.50%,94.90%,94.60%,89.80%
5402,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,87.00%,91.70%,10.6,87.30%,92.20%,85.40%,83.10%
5617,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,84.60%,95.10%,10.4,86.20%,81.10%,88.30%,82.50%
1938,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202405,89.30%,95.50%,15.5,92.50%,93.90%,89.40%,80.70%
3004,,Scheduled Delivery Standard,23,Executive Review,Recovering,Store Focus,202405,91.80%,92.50%,11.9,94.80%,92.90%,90.00%,89.30%
5485,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,87.50%,96.00%,17.7,86.50%,89.50%,84.80%,89.60%
2541,,Scheduled Delivery Standard,35,Executive Review,Recovering,Store Focus,202405,90.00%,93.10%,14.3,95.10%,82.50%,92.60%,89.30%
1739,,Scheduled Delivery Standard,28,Executive Review,Recovering,Store Focus,202405,90.70%,86.20%,14.7,91.10%,87.90%,93.20%,90.50%
2300,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202405,91.80%,84.30%,16.7,95.70%,89.50%,89.10%,92.80%
2588,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202405,81.40%,75.90%,16.5,89.30%,87.20%,63.90%,87.80%
1863,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,83.50%,79.20%,18,86.50%,80.80%,84.70%,81.90%
1927,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,85.00%,88.80%,14.8,87.40%,79.10%,86.70%,87.00%
3250,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202405,88.30%,94.90%,10.1,86.80%,83.60%,93.20%,89.90%
1839,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,90.40%,87.50%,14.3,89.40%,84.20%,93.60%,93.60%
2073,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,83.40%,94.90%,16.4,84.40%,67.80%,88.70%,89.50%
2316,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202405,85.60%,86.10%,19.2,92.10%,81.80%,86.50%,81.50%
2362,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202405,75.50%,85.00%,20,90.90%,84.50%,64.70%,65.70%
2115,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202405,82.70%,81.80%,15.3,80.50%,73.50%,87.10%,90.00%
3262,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202405,88.60%,89.60%,11.9,85.90%,89.70%,89.90%,88.90%
2244,,Scheduled Delivery Standard,27,Executive Review,Recovering,Store Focus,202405,90.80%,98.30%,11.8,90.90%,92.90%,88.40%,91.20%
80,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202405,85.40%,82.20%,13.1,87.90%,86.10%,82.30%,85.20%
159,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202405,90.90%,93.50%,10.4,92.70%,90.60%,88.60%,91.90%
1094,,Scheduled Delivery Standard,40,Executive Review,Degrading,Store Focus,202405,80.70%,81.60%,17.2,81.00%,79.30%,85.90%,77.60%
4553,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202405,86.00%,81.40%,15.7,87.70%,85.60%,86.10%,84.80%
2855,,Scheduled Delivery Standard,30,Executive Review,Degrading,Store Focus,202405,89.10%,82.60%,12.3,84.40%,84.10%,96.10%,91.70%
213,,Scheduled Delivery Standard,6,Active Monitoring,Degrading,Store Focus,202405,91.80%,96.60%,10.9,86.40%,91.10%,96.90%,92.30%
1161,,Scheduled Delivery Standard,45,Executive Review,Degrading,Store Focus,202405,90.00%,86.60%,11.4,90.00%,89.10%,85.70%,96.50%
1188,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,82.40%,86.70%,18.3,79.00%,83.90%,83.70%,84.00%
1265,,Scheduled Delivery Standard,25,Executive Review,Recovering,Store Focus,202405,89.70%,99.00%,12.8,94.30%,85.40%,86.60%,92.00%
2616,,Scheduled Delivery Standard,21,Executive Review,Degrading,Store Focus,202405,88.40%,85.70%,17.2,89.30%,91.10%,95.60%,77.30%
5313,,Scheduled Delivery Standard,22,Executive Review,Recovering,Store Focus,202405,91.40%,86.50%,12.8,97.40%,92.70%,88.30%,86.40%
5927,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202405,89.40%,95.30%,13.2,88.20%,89.10%,87.60%,92.30%
172,,Scheduled Delivery Standard,9,At Risk,Degrading,Store Focus,202405,91.10%,96.70%,11.9,89.90%,85.40%,93.50%,94.90%
2694,,Scheduled Delivery Standard,38,Executive Review,Degrading,Store Focus,202405,76.60%,80.50%,19.8,58.70%,74.50%,87.20%,85.90%
3061,,Scheduled Delivery Standard,18,Executive Review,Degrading,Store Focus,202405,72.70%,89.40%,21.2,80.60%,53.30%,77.70%,77.60%
5150,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,70.70%,87.60%,22.1,75.10%,67.10%,69.10%,70.90%
2124,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202405,90.10%,89.80%,14.9,90.90%,90.50%,93.20%,85.80%
3783,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202405,80.80%,80.20%,19.1,87.20%,73.60%,82.90%,80.20%
5104,,Scheduled Delivery Standard,40,Executive Review,Degrading,Store Focus,202405,70.60%,69.80%,18.8,72.20%,70.40%,62.70%,76.30%
1510,,Scheduled Delivery Standard,22,Executive Review,Degrading,Store Focus,202405,84.00%,74.90%,18.2,70.20%,87.50%,87.40%,90.80%
2250,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202405,92.10%,95.30%,15.9,94.30%,91.90%,89.90%,92.60%
2447,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202405,91.10%,98.10%,17.1,94.30%,94.30%,94.00%,82.60%
3749,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202405,86.90%,78.50%,13.9,88.40%,89.30%,82.90%,87.10%
3894,,Scheduled Delivery Standard,28,Executive Review,Recovering,Store Focus,202405,91.20%,98.00%,14.3,91.70%,89.70%,91.10%,92.40%
1294,,Scheduled Delivery Standard,32,Executive Review,Recovering,Store Focus,202405,91.00%,88.60%,16.4,94.90%,83.40%,92.60%,93.20%
2726,,Scheduled Delivery Standard,41,Executive Review,Degrading,Store Focus,202405,82.90%,89.40%,15.2,70.60%,86.70%,86.10%,86.60%
3447,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202405,84.50%,90.40%,13.8,85.20%,82.90%,83.30%,86.60%
5466,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,86.60%,85.50%,16.3,87.80%,83.60%,83.60%,91.10%
3206,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202405,91.20%,87.60%,10.5,91.10%,85.90%,95.20%,92.70%
3857,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202405,90.00%,92.70%,10.5,91.10%,90.80%,93.00%,85.00%
2452,,Scheduled Delivery Standard,37,Executive Review,Recovering,Store Focus,202405,77.90%,84.10%,20.5,92.20%,80.80%,64.60%,73.50%
6394,,Scheduled Delivery Standard,20,Executive Review,Degrading,Store Focus,202405,83.50%,92.30%,16.4,84.70%,82.80%,80.40%,85.90%
991,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,87.50%,90.60%,12.4,89.60%,84.00%,88.70%,87.20%
930,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202405,85.20%,90.90%,13.9,86.80%,86.00%,70.90%,94.80%
938,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,87.80%,90.80%,10.9,86.00%,86.40%,86.00%,93.00%
1101,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,85.60%,87.80%,10.9,80.50%,89.40%,85.40%,87.00%
5348,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,75.80%,83.00%,18.4,86.90%,81.60%,54.00%,80.70%
2111,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,86.20%,90.50%,17.4,87.80%,91.60%,87.60%,77.50%
4504,,Scheduled Delivery Standard,23,Executive Review,Degrading,Store Focus,202405,75.70%,83.10%,16.6,85.30%,87.50%,37.30%,78.50%
990,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202405,88.20%,90.40%,18.4,84.50%,88.50%,90.70%,89.10%
1222,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202405,88.30%,86.90%,14.4,84.80%,88.00%,89.70%,90.80%
1224,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202405,88.80%,84.70%,13.6,91.40%,88.80%,85.60%,89.20%
4520,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,79.30%,77.10%,12.5,73.60%,79.40%,84.50%,82.80%
1711,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202405,84.70%,94.00%,17.5,90.70%,86.80%,90.50%,68.50%
356,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,83.90%,90.50%,13.8,82.90%,89.80%,79.50%,80.30%
432,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202405,84.70%,90.80%,10.3,84.60%,83.80%,88.30%,81.60%
730,,Scheduled Delivery Standard,8,Executive Review,Degrading,Store Focus,202405,87.00%,86.30%,11.4,83.70%,82.10%,93.90%,88.10%
1311,,Scheduled Delivery Standard,13,Executive Review,Recovering,Store Focus,202405,91.70%,96.80%,10.1,92.70%,91.80%,92.70%,89.60%
4200,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202405,91.00%,92.20%,11.8,86.60%,89.40%,94.50%,93.50%
1536,,Scheduled Delivery Standard,2,Active Monitoring,Recovering,Store Focus,202405,89.70%,92.00%,13.4,93.00%,86.30%,89.70%,89.90%
705,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202405,71.70%,87.90%,25.7,83.80%,72.70%,59.70%,64.70%
942,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202405,84.50%,79.70%,16,94.90%,84.40%,72.40%,86.20%
889,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202405,89.60%,94.20%,10.1,94.70%,80.40%,89.30%,94.10%
899,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,84.60%,90.80%,13.1,85.60%,78.10%,88.40%,86.20%
952,,Scheduled Delivery Standard,14,Executive Review,Degrading,Store Focus,202405,86.60%,86.40%,13.9,82.40%,85.20%,89.50%,89.50%
1072,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,86.50%,90.00%,14.8,88.50%,83.80%,85.40%,88.10%
5797,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,84.30%,88.90%,13.2,85.10%,75.40%,87.80%,89.40%
3659,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202405,89.60%,95.70%,13,89.80%,89.60%,88.10%,91.10%
1469,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202405,64.40%,53.40%,24.4,73.50%,74.60%,46.00%,61.50%
5173,,Scheduled Delivery Standard,14,At Risk,Degrading,Store Focus,202405,90.40%,90.30%,13.1,84.80%,96.30%,89.20%,90.90%
1194,,Scheduled Delivery Standard,13,At Risk,Recovering,Store Focus,202405,93.50%,96.00%,14.6,94.70%,96.70%,96.30%,86.50%
2310,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202405,84.10%,80.60%,14.2,81.30%,80.40%,86.90%,88.10%
690,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,87.40%,91.80%,12.1,82.50%,88.90%,89.40%,88.80%
716,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202405,88.90%,92.90%,13.4,96.40%,93.60%,74.40%,92.60%
175,,Scheduled Delivery Standard,36,Executive Review,Degrading,Store Focus,202405,69.20%,68.60%,26,83.30%,60.20%,54.70%,75.20%
848,,Scheduled Delivery Standard,39,Executive Review,Degrading,Store Focus,202405,75.20%,82.20%,17.9,78.00%,73.00%,74.60%,75.10%
5196,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202405,84.80%,86.20%,19,91.50%,85.70%,72.60%,89.20%
94,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202405,93.90%,94.70%,13.1,97.60%,95.40%,97.30%,84.40%
950,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202405,89.10%,90.30%,14.3,87.00%,87.40%,90.80%,91.50%
1561,,Scheduled Delivery Standard,19,Executive Review,Degrading,Store Focus,202405,80.10%,91.50%,21,87.00%,70.60%,87.30%,74.80%
2322,,Scheduled Delivery Standard,17,Executive Review,Degrading,Store Focus,202405,87.90%,88.80%,13.5,87.60%,91.10%,87.30%,85.20%
3599,,Scheduled Delivery Standard,4,Active Monitoring,Recovering,Store Focus,202405,93.30%,91.50%,10.5,94.40%,95.90%,95.50%,87.50%
332,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,87.00%,85.70%,13.7,87.20%,85.80%,84.10%,91.10%
433,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,84.50%,87.20%,12.6,85.70%,83.60%,80.30%,88.70%
4435,,Scheduled Delivery Standard,18,Executive Review,Degrading,Store Focus,202405,88.50%,92.00%,12.2,87.70%,85.40%,92.00%,88.80%
272,,Scheduled Delivery Standard,17,Executive Review,Recovering,Store Focus,202405,94.40%,89.50%,11.4,97.30%,93.50%,89.50%,97.00%
659,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,83.30%,81.80%,16,87.20%,83.90%,73.20%,89.00%
710,,Scheduled Delivery Standard,45,Executive Review,Degrading,Store Focus,202405,85.20%,91.30%,10.6,86.10%,86.50%,75.80%,94.20%
5058,,Scheduled Delivery Standard,12,At Risk,Degrading,Store Focus,202405,87.00%,79.70%,14.3,86.70%,77.00%,90.80%,92.50%
153,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202405,92.50%,97.10%,11.1,96.00%,90.30%,94.60%,88.70%
715,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202405,87.70%,93.50%,13.1,90.10%,86.60%,89.40%,84.40%
2306,,Scheduled Delivery Standard,10,Executive Review,Degrading,Store Focus,202405,81.20%,84.80%,17.8,87.20%,84.50%,82.50%,68.00%
875,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,84.80%,89.90%,11.3,81.90%,87.20%,84.60%,88.50%
1340,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,83.20%,89.80%,20.8,85.50%,73.90%,81.40%,90.50%
3118,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,80.00%,91.40%,13.2,78.30%,81.00%,80.60%,80.30%
1400,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,87.20%,88.10%,11.7,86.20%,89.10%,84.20%,89.10%
722,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,87.80%,94.20%,11.8,85.80%,88.70%,86.90%,89.80%
855,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,84.30%,93.60%,16.5,86.90%,83.30%,77.40%,88.90%
459,,Scheduled Delivery Standard,4,At Risk,Degrading,Store Focus,202405,84.90%,95.70%,14.9,85.60%,87.90%,82.90%,83.20%
5267,,Scheduled Delivery Standard,30,Executive Review,Recovering,Store Focus,202405,89.30%,87.10%,5.4,90.80%,87.30%,83.50%,96.20%
1070,,Scheduled Delivery Standard,27,Executive Review,Degrading,Store Focus,202405,85.60%,82.20%,9.9,83.40%,84.40%,86.00%,88.90%
1403,,Scheduled Delivery Standard,31,Executive Review,Recovering,Store Focus,202405,90.90%,87.70%,10.5,90.50%,92.50%,86.30%,94.30%
3205,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202405,86.50%,89.40%,14,89.50%,87.00%,80.80%,88.50%
3741,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,81.40%,94.30%,17.5,85.30%,78.90%,70.10%,88.80%
745,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202405,87.90%,95.20%,14.3,88.70%,84.20%,85.60%,93.10%
3401,,Scheduled Delivery Standard,7,Executive Review,Degrading,Store Focus,202405,87.80%,93.10%,13.2,85.30%,89.90%,86.30%,89.90%
3609,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,87.10%,91.00%,14.4,86.90%,89.10%,82.10%,90.40%
6998,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,82.10%,82.50%,14.3,84.90%,72.70%,79.40%,91.10%
754,,Scheduled Delivery Standard,48,Executive Review,Degrading,Store Focus,202405,62.50%,73.80%,17.9,66.30%,59.30%,55.80%,67.60%
1227,,Scheduled Delivery Standard,48,Executive Review,Degrading,Store Focus,202405,76.30%,87.00%,18.8,74.80%,81.90%,70.20%,78.30%
1293,,Scheduled Delivery Standard,13,Executive Review,Degrading,Store Focus,202405,85.20%,91.30%,14.3,87.30%,83.60%,81.20%,88.60%
1658,,Scheduled Delivery Standard,24,Executive Review,Recovering,Store Focus,202405,84.60%,92.20%,11.8,90.20%,87.20%,75.50%,84.10%
758,,Scheduled Delivery Standard,28,Executive Review,Degrading,Store Focus,202405,87.60%,86.60%,15,84.50%,90.50%,83.80%,91.80%
1153,,Scheduled Delivery Standard,32,Executive Review,Degrading,Store Focus,202405,73.20%,69.40%,19.2,71.60%,66.10%,71.90%,83.20%
1367,,Scheduled Delivery Standard,32,Executive Review,Degrading,Store Focus,202405,75.80%,83.00%,24.6,83.10%,63.80%,67.60%,88.50%
1105,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202405,92.00%,95.30%,11,91.90%,93.90%,93.30%,89.00%
376,,Scheduled Delivery Standard,35,Executive Review,Degrading,Store Focus,202405,87.20%,87.50%,15.1,81.70%,90.20%,89.20%,87.40%
3868,,Scheduled Delivery Standard,1,Active Monitoring,Degrading,Store Focus,202405,82.20%,74.80%,14.9,84.90%,80.70%,82.00%,76.00%
1193,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202405,83.40%,86.10%,12.7,89.00%,92.60%,61.20%,86.80%
3331,,Scheduled Delivery Standard,26,Executive Review,Degrading,Store Focus,202405,83.00%,92.10%,10.1,89.90%,84.70%,77.80%,79.70%
2070,,Scheduled Delivery Standard,3,Active Monitoring,Degrading,Store Focus,202405,86.40%,92.60%,13.6,89.80%,93.70%,86.50%,75.70%
2722,,Scheduled Delivery Standard,10,At Risk,Recovering,Store Focus,202405,87.00%,97.60%,10.8,90.10%,88.30%,85.50%,84.00%
5935,,Scheduled Delivery Standard,21,Executive Review,Recovering,Store Focus,202405,88.60%,93.80%,11,90.20%,84.40%,89.40%,90.30%
3233,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202405,84.50%,91.90%,10.4,83.90%,96.00%,71.00%,88.30%
1473,,Scheduled Delivery Standard,9,At Risk,Recovering,Store Focus,202405,88.10%,69.50%,8.8,90.70%,84.00%,83.10%,94.40%
1864,,Scheduled Delivery Standard,15,Executive Review,Degrading,Store Focus,202405,84.60%,90.60%,16.7,81.80%,88.90%,78.40%,89.00%
1855,,Scheduled Delivery Standard,4,Active Monitoring,Degrading,Store Focus,202405,85.30%,82.60%,10.3,83.90%,90.60%,81.80%,85.90%
3220,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202405,91.70%,90.00%,12.5,95.10%,92.10%,91.60%,87.80%
1699,,Scheduled Delivery Standard,38,Executive Review,Degrading,Store Focus,202405,73.30%,74.00%,24.5,83.10%,90.90%,50.10%,64.20%
3366,,Scheduled Delivery Standard,28,Executive Review,Recovering,Store Focus,202405,87.60%,91.30%,18.5,91.60%,96.10%,81.60%,80.20%
3789,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202405,87.40%,86.20%,13.1,93.60%,93.50%,85.00%,77.70%
1492,,Scheduled Delivery Standard,7,At Risk,Recovering,Store Focus,202405,84.80%,84.20%,13.5,94.90%,87.40%,86.70%,71.90%
5334,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202405,85.10%,89.80%,18.9,93.20%,91.90%,88.50%,62.40%
953,,Scheduled Delivery Standard,27,Executive Review,Recovering,Store Focus,202405,93.00%,84.70%,11,97.90%,94.90%,93.80%,85.90%
5051,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202405,86.30%,71.40%,16,89.50%,94.10%,82.30%,80.00%
4284,,Scheduled Delivery Standard,18,Executive Review,Recovering,Store Focus,202405,89.70%,90.60%,12.3,93.60%,90.00%,95.40%,80.10%
2223,,Scheduled Delivery Standard,11,Executive Review,Recovering,Store Focus,202405,91.20%,91.60%,11,93.90%,96.50%,88.10%,86.80%
3533,,Scheduled Delivery Standard,48,Executive Review,Recovering,Store Focus,202405,81.80%,90.00%,14,93.90%,88.70%,80.30%,64.80%
5957,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202405,88.60%,92.70%,14.3,93.10%,90.10%,88.20%,83.40%
1273,,Scheduled Delivery Standard,11,At Risk,Recovering,Store Focus,202405,88.90%,86.40%,17,91.10%,89.10%,92.60%,82.90%
3018,,Scheduled Delivery Standard,12,Executive Review,Degrading,Store Focus,202405,84.90%,79.10%,14.5,86.00%,91.30%,79.70%,83.60%
984,,Scheduled Delivery Standard,20,Executive Review,Recovering,Store Focus,202405,91.40%,95.60%,11.9,90.70%,94.70%,93.60%,86.70%
1200,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202405,88.50%,83.90%,13.6,96.50%,92.70%,83.00%,83.10%
1434,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202405,78.00%,80.20%,19,84.90%,86.40%,71.10%,70.50%
1896,,Scheduled Delivery Standard,15,Executive Review,Recovering,Store Focus,202405,84.60%,85.80%,15.4,93.50%,91.90%,73.00%,79.90%
3582,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202405,91.10%,90.90%,13.3,95.30%,95.20%,84.40%,89.70%
2106,,Scheduled Delivery Standard,14,Executive Review,Recovering,Store Focus,202405,90.60%,96.60%,12.9,96.60%,94.40%,88.50%,83.50%
2402,,Scheduled Delivery Standard,27,Executive Review,Recovering,Store Focus,202405,90.40%,95.50%,11.9,97.00%,90.00%,93.50%,81.70%
774,,Scheduled Delivery Standard,16,Executive Review,Recovering,Store Focus,202405,92.20%,93.40%,13.6,94.40%,93.10%,87.70%,94.40%
2432,,Scheduled Delivery Standard,8,At Risk,Recovering,Store Focus,202405,91.90%,93.20%,11.7,92.50%,94.90%,95.10%,85.20%
2847,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202405,92.90%,91.70%,14.5,93.00%,93.70%,95.20%,90.00%
2131,,Scheduled Delivery Standard,5,Active Monitoring,Recovering,Store Focus,202405,90.00%,86.30%,11.4,90.90%,90.10%,90.50%,88.50%
1901,,Scheduled Delivery Standard,24,Executive Review,Degrading,Store Focus,202405,89.60%,89.70%,12.8,88.90%,90.70%,89.60%,89.20%
867,,Scheduled Delivery Standard,8,At Risk,Degrading,Store Focus,202405,90.40%,91.40%,13,88.10%,90.80%,89.10%,93.60%
3422,,Scheduled Delivery Standard,45,Executive Review,Recovering,Store Focus,202405,90.10%,96.60%,14.6,93.00%,93.60%,92.50%,82.80%
1591,,Scheduled Delivery Standard,12,At Risk,Recovering,Store Focus,202405,89.40%,90.80%,13.2,96.50%,92.40%,83.40%,85.50%
5436,,Scheduled Delivery Standard,49,Executive Review,Recovering,Store Focus,202405,88.40%,94.80%,16.2,90.50%,89.70%,87.00%,86.30%
2141,,Scheduled Delivery Standard,49,Executive Review,Degrading,Store Focus,202405,86.80%,89.60%,13,86.90%,91.70%,85.30%,83.60%
2830,,Scheduled Delivery Standard,12,Executive Review,Recovering,Store Focus,202405,87.80%,91.90%,11.1,90.40%,92.10%,83.60%,85.80%
5103,,Scheduled Delivery Standard,9,At Risk,Recovering,Store Focus,202405,91.90%,93.30%,14.7,91.70%,96.90%,86.20%,92.50%
2169,,Scheduled Delivery Standard,6,Active Monitoring,Recovering,Store Focus,202405,92.20%,96.20%,10.3,93.60%,92.90%,89.40%,92.90%
