Reg,BU,Market,Store Number,Threshold Met?
25,E,267,5402,Yes
4,F,36,632,Yes
25,E,266,5486,No
75,F,289,1841,No
53,E,444,6394,No
19,E,238,2817,No
17,F,174,2003,Yes
76,F,192,3280,Yes
9,A,107,3348,Yes
53,E,444,2452,Yes
53,E,441,3857,No
11,A,140,903,No
25,E,264,5352,No
2,A,19,3401,No
21,E,225,1521,No
56,M,454,5192,No
20,E,214,4285,No
53,E,263,5398,No
25,E,266,5965,Yes
17,F,577,3795,Yes
22,F,165,3422,No
54,M,380,2125,Yes
60,M,471,2595,No
22,F,166,2141,Yes
2,A,24,4436,No
40,E,340,2694,No
2,A,23,3621,No
21,E,223,3783,No
14,A,16,3461,No
2,A,23,2360,No
76,F,283,5968,Yes
22,F,178,3212,Yes
25,E,266,1497,No
56,M,454,2735,Yes
3,A,93,3877,No
21,E,225,3749,No
5,B,53,2996,No
19,E,201,5065,No
14,A,8,930,No
59,O,485,3110,Yes
19,E,207,5028,No
25,E,266,4049,No
25,E,268,5485,Yes
60,M,469,2188,No
56,M,452,3708,No
2,A,20,3710,No
54,M,403,3589,No
40,E,339,2600,No
54,M,379,5341,No
26,F,306,3371,No
4,F,29,4556,No
75,F,281,3489,Yes
76,F,195,2586,Yes
19,E,203,2618,No
59,O,494,6390,No
25,E,264,1898,No
61,O,490,6178,No
56,M,453,2048,No
21,E,219,3447,No
2,A,19,6998,No
56,M,511,2989,No
52,M,423,5977,No
22,F,558,2871,Yes
17,F,163,5439,Yes
40,E,339,1265,Yes
6,B,83,1185,No
54,M,376,3313,No
60,M,477,5935,No
22,F,166,2650,No
19,E,201,3436,No
22,F,167,4687,No
2,A,19,3709,No
14,A,8,5348,No
60,M,476,2927,No
40,E,339,5927,No
25,E,265,1596,No
20,E,214,2362,Yes
57,M,448,2951,No
13,B,130,1102,No
14,A,16,5363,No
53,E,442,1515,No
60,M,476,2550,No
56,M,511,5426,No
76,F,283,3035,Yes
53,E,435,2828,Yes
54,M,585,2293,No
14,A,8,4407,No
5,B,51,202,No
75,F,281,5344,No
41,E,256,6931,No
25,E,265,1401,No
2,A,20,3118,Yes
2,A,22,787,No
22,F,558,4456,No
2,A,19,3741,Yes
26,F,305,5481,No
13,B,134,539,No
2,A,24,2941,No
4,F,35,641,No
72,O,534,3164,No
40,E,340,5150,Yes
46,B,385,835,Yes
14,A,2,1711,No
64,O,58,3341,Yes
3,A,101,1090,No
57,M,465,5807,Yes
21,E,217,2774,No
2,A,20,1184,No
76,F,195,2355,No
6,B,64,3296,No
14,A,97,1408,No
14,A,2,762,No
58,M,458,3524,No
25,E,264,4405,No
19,E,200,2493,No
2,A,23,1766,No
2,A,32,1153,No
22,F,168,1777,No
59,O,554,3071,No
56,M,453,5139,No
53,E,441,2335,No
25,E,266,1556,No
5,B,55,2667,Yes
58,M,445,1879,Yes
19,E,206,2558,No
59,O,546,4530,No
4,F,36,1359,No
54,M,380,5676,Yes
41,E,242,526,No
22,F,167,2263,No
5,B,56,2086,No
9,A,108,5911,Yes
56,M,455,4202,No
4,F,41,1286,No
75,F,281,2577,No
6,B,65,3640,No
25,E,262,4323,No
5,B,53,2427,Yes
9,A,553,3311,No
72,O,96,4211,No
56,M,454,4393,Yes
25,E,265,4286,No
64,O,504,3199,No
21,E,223,5104,No
26,F,305,5298,No
58,M,464,5641,Yes
72,O,548,5221,Yes
72,O,549,4561,No
5,B,51,3406,No
54,M,585,3533,Yes
17,F,171,2156,No
47,M,432,3151,No
61,O,397,3356,No
40,E,340,3061,Yes
19,E,200,3876,No
17,F,163,5095,Yes
59,O,554,3072,No
57,M,484,5954,Yes
9,A,91,4588,No
59,O,485,5697,No
3,A,101,1219,No
52,M,423,1855,No
59,O,500,4157,No
61,O,551,5008,Yes
61,O,550,2590,No
21,E,219,2098,No
25,E,270,1211,No
59,O,554,3069,No
11,A,144,6964,No
2,A,23,1181,Yes
75,F,288,3831,No
60,M,469,2070,Yes
64,O,561,3204,No
4,F,36,3367,No
72,O,103,4498,No
61,O,491,4139,No
7,B,77,290,No
25,E,269,1668,No
4,F,36,4384,No
22,F,558,5340,No
59,O,494,5297,No
9,A,107,4446,Yes
42,A,324,5706,Yes
75,F,290,1969,No
25,E,265,4531,No
17,F,175,5201,No
61,O,9,4603,No
61,O,552,5980,No
25,E,267,2204,Yes
56,M,511,2161,No
72,O,492,5122,Yes
56,M,450,2039,No
16,F,183,2130,No
52,M,422,1864,Yes
26,F,299,1372,No
11,A,138,115,No
60,M,514,2571,No
59,O,494,4607,No
61,O,512,5611,No
61,O,551,5638,Yes
61,O,9,5725,Yes
72,O,103,4595,Yes
61,O,550,4178,No
22,F,167,3475,No
5,B,49,471,No
26,F,306,1666,Yes
4,F,294,4428,No
4,F,29,6395,No
19,E,205,2354,No
61,O,490,3126,No
2,A,20,4472,No
64,O,528,7311,No
59,O,499,6586,No
22,F,170,2040,No
64,O,562,4466,No
5,B,583,5823,Yes
59,O,500,2414,No
64,O,504,4182,No
21,E,217,2471,No
19,E,203,5893,No
22,F,558,5047,No
25,E,270,3434,No
58,M,459,5886,No
21,E,219,2666,No
72,O,103,2907,Yes
61,O,491,4625,No
54,M,585,4734,No
58,M,462,2288,No
59,O,500,4147,No
56,M,457,2537,No
61,O,551,3101,No
61,O,397,3788,No
2,A,24,4185,No
6,B,82,4554,Yes
72,O,102,7298,No
72,O,102,3066,No
5,B,49,3432,No
19,E,201,2062,No
12,A,120,5251,No
52,M,423,3364,Yes
25,E,269,3893,No
64,O,504,6851,No
61,O,512,5610,No
72,O,488,5759,No
64,O,528,7220,No
25,E,278,1323,No
59,O,554,5267,No
64,O,570,3512,No
22,F,558,5944,Yes
57,M,394,1838,No
2,A,25,3389,No
19,E,206,2559,No
72,O,102,7307,No
61,O,550,3144,No
42,A,324,124,No
56,M,455,3587,No
42,A,325,133,No
9,A,109,3625,Yes
11,A,145,1561,No
19,E,201,5280,No
60,M,471,3053,Yes
72,O,544,4504,No
75,F,281,2009,No
56,M,453,2190,No
64,O,528,2835,No
3,A,98,3309,No
19,E,203,2867,No
58,M,464,5930,Yes
6,B,82,5317,No
61,O,491,3152,No
4,F,38,4457,No
61,O,490,4196,No
72,O,492,5043,No
57,M,465,3477,Yes
64,O,541,7262,No
11,A,138,411,No
56,M,511,1972,No
9,A,105,1119,No
42,A,324,126,No
72,O,549,5816,No
72,O,488,3011,No
3,A,27,5797,No
72,O,103,3935,Yes
59,O,499,6233,No
