Store Number,Launch Date,Launch Week,Volume,Labor Type,Parking Spaces,Staging Space
817,44756,24,HIGH,Walk Back and Forth,4,9 ft of shelf space
1086,44756,24,LOW,Walk Back and Forth,2,3 ft of shelf space
1220,44756,24,LOW,Walk Back and Forth,2,3 ft of shelf space
4365,44756,24,LOW,Walk Back and Forth,2,3 ft of shelf space
5214,44749,23,HIGH,Coverage in Liquor Box,4,9 ft of shelf space
5250,44756,24,HIGH,Walk Back and Forth,4,9 ft of shelf space
5420,44756,24,HIGH,Walk Back and Forth,4,9 ft of shelf space
