DC Number,CHG NUMBER (WITH SNOW APPROVAL HYPERLINK),Application,SHORT CHANGE SUMMARY,Change Start Date (MM/DD/YYYY),Change Link
2364,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
2364,CHG3366662,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
2364,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
2364,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
2971,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
2971,CHG3378583,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=
2971,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
2971,CHG3372657,Inventory,Released backend improvements for inventory and shipment syncing,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=
2971,CHG3372098,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
2971,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
2971,CHG3372801,Inventory,Piloted a new version of the inventory user interface,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
3010,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
3010,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
4020,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
4020,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
4020,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
4020,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
4020,CHG3366662,Order Fulfillment,Deploys pilot for PR store orders via GRS addon ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
4047,CHG3372657,Inventory,Released backend improvements for inventory and shipment syncing,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=840085c5870faa1c8992eb5d0ebb3571&recordUrl=change_request.do%3Fsys_id%3D840085c5870faa1c8992eb5d0ebb3571&sysparm_stack=&sysparm_view=
4047,CHG3378583,Receiving,Updated configurations for ASN tracker enablement and paperless receiving features,7/30/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=2daf11614743629c4e8db5f4236d4387&recordUrl=change_request.do%3Fsys_id%3D2daf11614743629c4e8db5f4236d4387&sysparm_stack=&sysparm_view=
4047,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
4047,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
4047,CHG3372098,Receiving,"Pilots new ASN Tracker, paperless receiving, and lumper fee billing features ",7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=c6176b7c970bae587cecf52f2153af9b&recordUrl=change_request.do%3Fsys_id%3Dc6176b7c970bae587cecf52f2153af9b&sysparm_stack=&sysparm_view=
4047,CHG3372801,Inventory,Piloted a new version of the inventory user interface,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=f8e859c94707a298e7b7be74236d432c&recordUrl=change_request.do%3Fsys_id%3Df8e859c94707a298e7b7be74236d432c&sysparm_stack=&sysparm_view=
4047,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
4047,CHG3366741,Order Fulfillment,Deploys Order Fulfillment bug fixes and enhancements ,7/28/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=46506db347fee618941906f0a36d43fa&recordUrl=change_request.do%3Fsys_id%3D46506db347fee618941906f0a36d43fa&sysparm_stack=&sysparm_view=
4154,CHG3376463,Receiving,Updates the Atlas-Receiving app to use a new dcFin WAC base URL for multiple Grocery DCs ,8/4/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=6d4a4b1987c32e5c8992eb5d0ebb35a7&recordUrl=change_request.do%3Fsys_id%3D6d4a4b1987c32e5c8992eb5d0ebb35a7&sysparm_stack=&sysparm_view=
4154,CHG3379889,Location ,Fixed missing data issue preventing deletion of warehouse locations,7/31/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=8f251d7f83faa2180dfa36647daad35a&recordUrl=change_request.do%3Fsys_id%3D8f251d7f83faa2180dfa36647daad35a&sysparm_stack=&sysparm_view=
6042,CHG3366594,ICQA,Deploys pallet rounding bug fix and enables new slotting features ,7/29/2025,https://walmartglobal.service-now.com/wm_sp?id=ticket&table=change_request&sys_id=21fd85b397b22ed474c3f52f2153af15&recordUrl=change_request.do%3Fsys_id%3D21fd85b397b22ed474c3f52f2153af15&sysparm_stack=&sysparm_view=
