Store, Store Type,Cutover
733,Walmart ,4/4/2023
801,Supercenter,4/4/2023
957,Wal-Mart,4/4/2023
958,Supercenter,4/4/2023
985,Supercenter,4/4/2023
1146,Supercenter,4/4/2023
1202,Supercenter,4/4/2023
1475,Supercenter,4/4/2023
1572,Supercenter,4/4/2023
1621,Supercenter,4/4/2023
1634,Supercenter,4/6/2023
1636,Supercenter,4/6/2023
1639,Supercenter,4/6/2023
2319,Wal-Mart,4/6/2023
2367,Supercenter,4/6/2023
2453,Supercenter,4/6/2023
2810,Supercenter,4/6/2023
2827,Supercenter,4/6/2023
2935,Supercenter,4/6/2023
3643,Supercenter,4/6/2023
