Site,Ship Date,Notes,Tracking Number - Attn: Store Manager,Tracking Number - Attn: Spark Training ,,,,
5293,3/22/2022,Site is recieveing box containing three iPads and then another that contains one and the return kits,563226288692,563226288681,,,,
99,3/22/2022,All devices and materials in one box,563226288707,,,,,
116,3/22/2022,All devices and materials in one box,563226288718,,,,,
221,3/22/2022,All devices and materials in one box,563226288729,,,,,
351,3/22/2022,All devices and materials in one box,563226288730,,,,,
395,3/22/2022,All devices and materials in one box,563226288740,,,,,
481,3/22/2022,All devices and materials in one box,563226288751,,,,,
842,3/22/2022,All devices and materials in one box,563226288762,,,,,
1081,3/22/2022,All devices and materials in one box,563226288773,,,,,
1229,3/22/2022,All devices and materials in one box,563226288784,,,,,
1954,3/22/2022,All devices and materials in one box,563226288795,,,,,
2796,3/22/2022,All devices and materials in one box,563226288800,,,,,
2930,3/22/2022,All devices and materials in one box,563226288810,,,,,
3527,3/22/2022,All devices and materials in one box,563226288821,,,,,
4223,3/22/2022,All devices and materials in one box,563226288832,,,,,
5060,3/22/2022,All devices and materials in one box,563226288843,,,,,
2,3/23/2022,,563226288854,563226289379,,,,
11,3/23/2022,,563226288865,563226289380,,,,
14,3/23/2022,,563226288876,563226289390,,,,
16,3/23/2022,,563226288887,563226289405,,,,
20,3/23/2022,,563226288898,563226289416,,,,
21,3/23/2022,,563226288902,563226289427,,,,
28,3/23/2022,,563226288913,563226289438,,,,
34,3/23/2022,,563226288924,563226289449,,,,
47,3/23/2022,,563226288935,563226289450,,,,
50,3/23/2022,,563226288946,563226289460,,,,
62,3/23/2022,,563226288957,563226289471,,,,
67,3/23/2022,,563226288968,563226289482,,,,
72,3/23/2022,,563226288979,563226289493,,,,
73,3/23/2022,,563226288980,563226289508,,,,
74,3/23/2022,,563226288990,563226289519,,,,
78,3/23/2022,,563226289004,563226289520,,,,
81,3/23/2022,,563226289015,563226289530,,,,
103,3/23/2022,,563226289026,563226289541,,,,
104,3/23/2022,,563226289037,563226289552,,,,
106,3/23/2022,,563226289048,563226289563,,,,
110,3/23/2022,,563226289059,563226289574,,,,
113,3/23/2022,,563226289060,563226289585,,,,
115,3/23/2022,,563226289070,563226289596,,,,
120,3/23/2022,,563226289081,563226289600,,,,
122,3/23/2022,,563226289092,563226289611,,,,
132,3/23/2022,,563226289107,563226289622,,,,
135,3/23/2022,,563226289118,563226289633,,,,
136,3/23/2022,,563226289129,563226289644,,,,
137,3/23/2022,,563226289130,563226289655,,,,
143,3/23/2022,,563226289140,563226289666,,,,
146,3/23/2022,,563226289151,563226289677,,,,
150,3/23/2022,,563226289162,563226289688,,,,
157,3/23/2022,,563226289173,563226289699,,,,
159,3/23/2022,,563226289184,563226289703,,,,
166,3/23/2022,,563226289195,563226289714,,,,
167,3/23/2022,,563226289200,563226289725,,,,
172,3/23/2022,,563226289210,563226289736,,,,
173,3/23/2022,,563226289221,563226289747,,,,
179,3/23/2022,,563226289232,563226289758,,,,
184,3/23/2022,,563226289243,563226289769,,,,
188,3/23/2022,,563226289254,563226289770,,,,
196,3/23/2022,,563226289265,563226289780,,,,
204,3/23/2022,,563226289276,563226289791,,,,
205,3/23/2022,,563226289287,563226289806,,,,
216,3/23/2022,,563226289298,563226289817,,,,
220,3/23/2022,,563226289302,563226289828,,,,
227,3/23/2022,,563226289313,563226289839,,,,
231,3/23/2022,,563226289324,563226289840,,,,
234,3/23/2022,,563226289335,563226289850,,,,
257,3/23/2022,,563226289346,563226289861,,,,
261,3/23/2022,,563226289357,563226289872,,,,
262,3/23/2022,,563226289368,563226289883,,,,
