STORE,City,State,Market,Can you transfer?,New Transfer Day,Stop Tobacco Sales
1817,HERMISTON,OR,475,Yes,3/30/2021,4/13/2021
5296,BARBOURSVILLE,WV,316,Yes,3/30/2021,4/13/2021
5096,PALM DESERT (C. CITY),CA,463,Yes,3/30/2021,4/13/2021
2542,OTTAWA,OH,222,Yes,3/30/2021,4/13/2021
2561,ERIE(W),PA,228,Yes,3/30/2021,4/13/2021
3251,WASHINGTON COURT HOUSE,OH,218,Yes,3/30/2021,4/13/2021
295,EUREKA,MO,340,Yes,3/30/2021,4/13/2021
1080,JOHNSON CITY,TN,124,Yes,3/30/2021,4/13/2021
867,SCOTTSBLUFF,NE,429,Yes,4/6/2021,4/20/2021
1602,SPRINGFIELD,IL,275,No,4/6/2021,4/20/2021
1745,RICHMOND,IN,239,Yes,4/6/2021,4/20/2021
1812,WOOSTER,OH,215,Yes,4/6/2021,4/20/2021
2508,BOISE,ID,399,Yes,4/6/2021,4/20/2021
2511,AMERICAN FORK,UT,582,No,4/6/2021,4/20/2021
2600,CHESTERFIELD,MO,339,Yes,4/6/2021,4/20/2021
2651,MANVILLE,NJ,175,No,4/6/2021,4/20/2021
3331,PINE BLUFF,AR,327,Yes,4/6/2021,4/20/2021
4226,DUNLAP,TN,119,Yes,4/6/2021,4/20/2021
5035,MULBERRY,FL,116,No,4/6/2021,4/20/2021
5066,AVON,OH,214,Yes,4/6/2021,4/20/2021
5471,MANSFIELD (S),OH,213,Yes,4/6/2021,4/20/2021
5965,CHICAGO,IL,266,No,4/6/2021,4/20/2021
652,GARDEN CITY,KS,406,Yes,4/13/2021,4/27/2021
1305,JANESVILLE,WI,441,No,4/13/2021,4/27/2021
1640,STATE COLLEGE,PA,237,Yes,4/13/2021,4/27/2021
1651,AMERICAN CANYON,CA,453,Yes,4/13/2021,4/27/2021
2886,PICO RIVERA,CA,484,Yes,4/13/2021,4/27/2021
3061,SHREWSBURY,MO,340,Yes,4/13/2021,4/27/2021
3394,ATLANTIC,IA,413,Yes,4/13/2021,4/27/2021
4241,STILLWATER (SANGRE),OK,352,Yes,4/13/2021,4/27/2021
5348,MONTGOMERY (C),AL,8,Yes,4/13/2021,4/27/2021
5790,HOT SPRINGS,AR,537,Yes,4/13/2021,4/27/2021
807,NORTH RICHLAND HILLS,TX,50,No,4/20/2021,5/4/2021
5673,SACHSE,TX,51,No,4/20/2021,5/4/2021
5316,SAGINAW,TX,479,No,4/20/2021,5/4/2021
2956,JOLIET (N),IL,262,No,4/20/2021,5/4/2021
4692,EAST RIDGE,TN,566,Yes,4/20/2021,5/4/2021
3293,CHARDON,OH,209,Yes,4/20/2021,5/4/2021
379,OZARK,MO,333,Yes,4/20/2021,5/4/2021
3709,ATLANTA (GRESHAM),GA,19,Yes,4/20/2021,5/4/2021
4139,OMAHA (SADDLECREEK),NE,491,Yes,4/20/2021,5/4/2021
924,STERLING,CO,378,Yes,4/20/2021,5/4/2021
1839,LORAIN,OH,214,Yes,4/20/2021,5/4/2021
3796,ONTARIO,CA,462,Yes,4/20/2021,5/4/2021
55,BOONEVILLE,AR,321,Yes,4/20/2021,5/4/2021
1671,PAPILLION,NE,433,Yes,4/27/2021,5/11/2021
2362,SOUTH EUCLID,OH,209,Yes,4/27/2021,5/11/2021
2506,RAVENNA,OH,215,Yes,4/27/2021,5/11/2021
880,IRVING,TX,50,No,4/27/2021,5/11/2021
6300,PROSPER,TX,56,No,4/27/2021,5/11/2021
1377,MCHENRY,IL,270,No,4/27/2021,5/11/2021
3210,SPRINGFIELD (NE),IL,275,No,4/27/2021,5/11/2021
185,GAINESVILLE,TX,350,No,4/27/2021,5/11/2021
2545,MARINETTE,WI,440,No,4/27/2021,5/11/2021
5251,CHATTANOOGA,TN,120,Yes,4/27/2021,5/11/2021
296,DARDANELLE,AR,325,Yes,4/27/2021,5/11/2021
2359,ASHTABULA,OH,209,Yes,4/27/2021,5/11/2021
2313,STREETSBORO,OH,209,Yes,4/27/2021,5/11/2021
1932,ELLSWORTH,ME,179,Yes,4/27/2021,5/11/2021
3118,DECATUR,GA,20,Yes,4/27/2021,5/11/2021
3206,LIMA,OH,222,Yes,4/27/2021,5/11/2021
4394,SPOKANE,WA,474,Yes,5/4/2021,5/18/2021
2688,TYLER,TX,45,No,5/4/2021,5/18/2021
1929,CLOQUET,MN,419,No,5/4/2021,5/18/2021
1650,SAUKVILLE,WI,444,No,5/4/2021,5/18/2021
5494,IDAHO FALLS (W),ID,400,Yes,5/4/2021,5/18/2021
85,BENTON,AR,324,Yes,5/4/2021,5/18/2021
2046,AUGUSTA,ME,180,Yes,5/4/2021,5/18/2021
932,GRIFFIN,GA,16,Yes,5/4/2021,5/18/2021
1341,EVANSVILLE (W),IN,254,Yes,5/4/2021,5/18/2021
1514,ARNOLD,MO,340,Yes,5/4/2021,5/18/2021
491,PADUCAH,KY,253,Yes,5/4/2021,5/18/2021
410,MURRAY,KY,253,Yes,5/4/2021,5/18/2021
1335,LEXINGTON,VA,315,Yes,5/11/2021,5/25/2021
892,ANKENY,IA,414,Yes,5/11/2021,5/25/2021
5250,KISSIMMEE,FL,90,No,5/11/2021,5/25/2021
5894,OVIEDO,FL,91,No,5/11/2021,5/25/2021
3308,MIDDLEBURG,FL,101,No,5/11/2021,5/25/2021
1737,VILLA PARK,IL,268,No,5/11/2021,5/25/2021
5617,CHICAGO (HERMOSA),IL,267,No,5/11/2021,5/25/2021
217,LEWISVILLE,TX,53,No,5/11/2021,5/25/2021
4238,SANGER,CA,449,Yes,5/11/2021,5/25/2021
1576,SCHERERVILLE,IN,238,Yes,5/11/2021,5/25/2021
1965,COUNCIL BLUFFS,IA,432,Yes,5/11/2021,5/25/2021
5159,WEST BRANCH,MI,204,Yes,5/11/2021,5/25/2021
3884,TUCSON,AZ,367,Yes,5/11/2021,5/25/2021
3356,LAS VEGAS (WARM SPRINGS),NV,397,No,5/18/2021,6/1/2021
389,EDMOND,OK,352,Yes,5/18/2021,6/1/2021
5812,BLUE RIDGE,GA,18,Yes,5/18/2021,6/1/2021
2686,BENTONVILLE,AR,534,Yes,5/18/2021,6/1/2021
13,CARTHAGE,MO,334,Yes,5/25/2021,6/8/2021
119,BATESVILLE,AR,328,Yes,5/25/2021,6/8/2021
547,PLANT CITY,FL,114,No,5/25/2021,6/8/2021
590,FORT WORTH,TX,48,No,5/25/2021,6/8/2021
723,TROY,AL,7,Yes,5/25/2021,6/8/2021
936,EFFINGHAM,IL,273,No,5/25/2021,6/8/2021
1057,TALLASSEE,AL,10,Yes,5/25/2021,6/8/2021
1190,BEREA,KY,257,Yes,5/25/2021,6/8/2021
1211,HARVARD,IL,270,No,5/25/2021,6/8/2021
1487,MICHIGAN CITY,IN,238,Yes,5/25/2021,6/8/2021
1626,OKLAHOMA CITY (N),OK,352,Yes,5/25/2021,6/8/2021
1882,SELMA,CA,581,Yes,5/25/2021,6/8/2021
1915,YUCCA VALLEY,CA,463,Yes,5/25/2021,6/8/2021
1960,TAMPA (S),FL,112,No,5/25/2021,6/8/2021
2081,CLEARWATER,FL,111,No,5/25/2021,6/8/2021
2197,CORTLAND,OH,208,Yes,5/25/2021,6/8/2021
2431,SEARCY (W),AR,492,Yes,5/25/2021,6/8/2021
2783,LEXINGTON,KY,260,Yes,5/25/2021,6/8/2021
3152,OMAHA (90TH/LAKE),NE,491,Yes,5/25/2021,6/8/2021
3154,BELLEVUE (CAPEHEART),NE,491,Yes,5/25/2021,6/8/2021
3309,JACKSONVILLE(CLINTON),FL,98,No,5/25/2021,6/8/2021
3765,PIQUA,OH,223,Yes,5/25/2021,6/8/2021
4436,ALPHARETTA (NE),GA,24,Yes,5/25/2021,6/8/2021
4438,SARATOGA SPRINGS,UT,403,No,5/25/2021,6/8/2021
5054,JACKSONVILLE (ATLAN),FL,98,No,5/25/2021,6/8/2021
5710,MODESTO,CA,450,Yes,5/25/2021,6/8/2021
7246,COCHRAN,GA,32,Yes,5/25/2021,6/8/2021
17,NEOSHO,MO,334,Yes,6/1/2021,6/15/2021
51,FULTON,MO,339,Yes,6/1/2021,6/15/2021
318,ARKADELPHIA,AR,325,Yes,6/1/2021,6/15/2021
451,COLUMBIA,MO,359,Yes,6/1/2021,6/15/2021
855,UNION CITY,GA,22,Yes,6/1/2021,6/15/2021
1170,LOUISVILLE,KY,256,Yes,6/1/2021,6/15/2021
1245,LAKELAND,FL,114,No,6/1/2021,6/15/2021
1363,MADISON,GA,21,Yes,6/1/2021,6/15/2021
1397,ALBUQUERQUE,NM,384,No,6/1/2021,6/15/2021
1559,LAS VEGAS,NV,394,No,6/1/2021,6/15/2021
1678,DELAFIELD,WI,442,No,6/1/2021,6/15/2021
1724,MILLERSBURG,OH,216,Yes,6/1/2021,6/15/2021
1826,Visalia,CA,581,Yes,6/1/2021,6/15/2021
3151,OMAHA (50TH & AMES),NE,432,Yes,6/1/2021,6/15/2021
3619,CHATTANOOGA,TN,566,Yes,6/1/2021,6/15/2021
5641,LA HABRA,CA,464,Yes,6/1/2021,6/15/2021
5963,FLOWER MOUND,TX,504,No,6/1/2021,6/15/2021
4473,TUCSON (RUTHRAUFF),AZ,9,Yes,6/20/2021,7/4/2021
3168,CONWAY (PRINCE),AR,537,Yes,6/20/2021,7/4/2021
1856,BANGOR,ME,179,Yes,6/20/2021,7/4/2021
4171,GARDEN GROVE,CA,466,Yes,6/20/2021,7/4/2021
5071,LAWTON,OK,349,Yes,6/20/2021,7/4/2021
3385,ALBUQUERQUE (SAGE),NM,526,No,6/27/2021,7/11/2021
4264,ORO VALLEY (MAGEE),AZ,9,Yes,6/27/2021,7/11/2021
5297,SAINT MATTHEWS,KY,494,Yes,6/27/2021,7/11/2021
3300,WAPAKONETA,OH,222,Yes,6/27/2021,7/11/2021
3611,MARIETTA,GA,26,Yes,8/1/2021,8/15/2021
5082,PARMA,OH,214,Yes,8/1/2021,8/15/2021
483,PRATTVILLE,AL,8,Yes,8/1/2021,8/15/2021
4488,MARINA,CA,451,Yes,8/1/2021,8/15/2021
3840,FINDLAY (W),OH,222,Yes,8/1/2021,8/15/2021
2242,ANAHEIM,CA,464,Yes,8/1/2021,8/15/2021
1503,CENTERVILLE,OH,221,Yes,8/1/2021,8/15/2021
3488,BURLINGTON,WI,442,No,8/1/2021,8/15/2021
1555,EL CENTRO,CA,463,Yes,8/1/2021,8/15/2021
1815,FRESNO,CA,449,Yes,8/1/2021,8/15/2021
358,ALMA,AR,321,Yes,8/1/2021,8/15/2021
5841,MERIDIAN,ID,399,Yes,8/1/2021,8/15/2021
1129,AUSTIN,TX,82,No,8/1/2021,8/15/2021
3722,KENT,OH,215,Yes,8/1/2021,8/15/2021
2006,CLARKSTON,WA,475,Yes,8/1/2021,8/15/2021
5435,SAN JOSE,CA,451,Yes,8/1/2021,8/15/2021
3111,SPRINGFIELD,MO,538,Yes,8/8/2021,8/22/2021
3153,OMAHA,NE,491,Yes,8/8/2021,8/22/2021
1495,HUBER HEIGHTS,OH,223,Yes,8/8/2021,8/22/2021
1086,SAINT CLOUD,FL,90,No,8/8/2021,8/22/2021
5479,PFLUGERVILLE,TX,83,No,8/8/2021,8/22/2021
3590,SIOUX CITY (N),IA,426,Yes,8/8/2021,8/22/2021
3511,HAYDEN,ID,474,Yes,8/8/2021,8/22/2021
4358,OMAHA,NE,432,Yes,8/8/2021,8/22/2021
58,RUSSELLVILLE,AR,325,Yes,8/8/2021,8/22/2021
706,ZEPHYRHILLS,FL,114,No,8/8/2021,8/22/2021
125,FORT SMITH,AR,321,Yes,8/8/2021,8/22/2021
6931,LOUISVILLE,KY,242,Yes,8/8/2021,8/22/2021
1040,HOUSTON (COPPERFIELD),TX,65,No,8/8/2021,8/22/2021
82,PERRYVILLE,MO,335,Yes,8/8/2021,8/22/2021
5080,HURST,TX,50,No,8/8/2021,8/22/2021
2560,BERLIN,MD,285,Yes,8/8/2021,8/22/2021
4558,COVINGTON  (W),GA,25,Yes,8/8/2021,8/22/2021
2740,TAMPA,FL,112,No,8/8/2021,8/22/2021
3482,PLANO (COIT/190),TX,51,No,8/8/2021,8/22/2021
2063,AUSTINTOWN,OH,208,Yes,8/15/2021,8/29/2021
907,FORSYTH,GA,32,Yes,8/15/2021,8/29/2021
5368,SALEM (C),OR,477,Yes,8/15/2021,8/29/2021
890,ORLANDO,FL,91,No,8/15/2021,8/29/2021
753,CEDAR FALLS,IA,415,Yes,8/15/2021,8/29/2021
5423,LAS VEGAS (HOLLYWOOD),NV,397,No,8/15/2021,8/29/2021
3652,WEST SACRAMENTO,CA,454,Yes,8/15/2021,8/29/2021
824,ALBUQUERQUE,NM,385,No,8/15/2021,8/29/2021
5697,MILWAUKEE,WI,495,No,8/15/2021,8/29/2021
3526,BROOKSVILLE (E),FL,104,No,8/15/2021,8/29/2021
3460,PEORIA (N),IL,278,No,8/15/2021,8/29/2021
5421,ST. PETERS,MO,485,Yes,8/15/2021,8/29/2021
5135,RADCLIFF,KY,494,Yes,8/15/2021,8/29/2021
4528,DALTON,GA,566,Yes,8/29/2021,9/12/2021
3363,OWENSBORO,KY,254,Yes,8/29/2021,9/12/2021
2966,WADSWORTH,OH,215,Yes,8/29/2021,9/12/2021
1177,MANCHESTER,MO,340,Yes,8/29/2021,9/12/2021
2702,NIXA,MO,333,Yes,8/29/2021,9/12/2021
725,HAINES CITY,FL,116,No,8/29/2021,9/12/2021
5154,ROSEMEAD,CA,484,Yes,8/29/2021,9/12/2021
2988,LA FAYETTE,GA,120,Yes,8/29/2021,9/12/2021
46,BOLIVAR,MO,357,Yes,8/29/2021,9/12/2021
100,BENTONVILLE,AR,323,Yes,8/29/2021,9/12/2021
3258,EUGENE (W),OR,478,Yes,8/29/2021,9/12/2021
1153,MACON,GA,32,Yes,8/29/2021,9/12/2021
2796,OLDSMAR,FL,111,No,8/29/2021,9/12/2021
313,HIGH RIDGE,MO,340,Yes,8/29/2021,9/12/2021
3702,JACKSONVILLE,FL,98,No,8/29/2021,9/12/2021
1766,MARIETTA,GA,23,Yes,8/29/2021,9/12/2021
277,MOORE,OK,353,Yes,8/29/2021,9/12/2021
2920,ORANGE PARK (E),FL,101,No,8/29/2021,9/12/2021
2584,TUCKER,GA,20,Yes,8/29/2021,9/12/2021
1596,BOLINGBROOK,IL,265,No,8/29/2021,9/12/2021
3620,RIVERTON,UT,403,No,8/29/2021,9/12/2021
1884,DICKSON CITY,PA,226,Yes,8/29/2021,9/12/2021
2115,NEW PHILADELPHIA,OH,216,Yes,8/29/2021,9/12/2021
755,AMARILLO,TX,70,No,8/29/2021,9/12/2021
941,VALRICO,FL,114,No,8/29/2021,9/12/2021
1902,AMMON (IDAHO FALLS),ID,400,Yes,8/29/2021,9/12/2021
4699,STREATOR,IL,262,No,8/29/2021,9/12/2021
2458,SALINAS,CA,451,Yes,8/29/2021,9/12/2021
266,GRAPEVINE (SOLAKE),TX,50,No,8/29/2021,9/12/2021
1157,NORTH VERNON,IN,243,Yes,8/29/2021,9/12/2021
4128,RUSSELLVILLE,AR,537,Yes,8/29/2021,9/12/2021
5482,EATONTON,GA,21,Yes,8/29/2021,9/12/2021
2951,LANCASTER (E),CA,448,Yes,8/29/2021,9/12/2021
943,CASSELBERRY,FL,91,No,8/29/2021,9/12/2021
2881,KISSIMMEE (E),FL,90,No,8/29/2021,9/12/2021
3471,ACWORTH,GA,26,Yes,8/29/2021,9/12/2021
1083,JACKSONVILLE (NORMAN),FL,101,No,8/29/2021,9/12/2021
3648,BISMARCK (N),ND,427,Yes,8/29/2021,9/12/2021
3231,GREENWOOD,AR,321,Yes,8/29/2021,9/12/2021
4272,LOGAN,UT,401,No,8/29/2021,9/12/2021
3135,FORT WORTH (TRAVIS),TX,58,No,8/29/2021,9/12/2021
3173,LAVISTA,NE,491,Yes,9/5/2021,9/19/2021
2968,CARROLLTON,KY,243,Yes,9/5/2021,9/19/2021
1101,WETUMPKA,AL,8,Yes,9/5/2021,9/19/2021
7317,GREENBRIER,AR,537,Yes,9/5/2021,9/19/2021
3596,LOS LUNAS,NM,384,No,9/5/2021,9/19/2021
1445,PORT CLINTON,OH,213,Yes,9/5/2021,9/19/2021
2517,SANTA ANA,CA,466,Yes,9/5/2021,9/19/2021
886,FORT DODGE,IA,426,Yes,9/5/2021,9/19/2021
1480,WINCHESTER,IN,239,Yes,9/5/2021,9/19/2021
1117,PLANO,TX,51,No,9/5/2021,9/19/2021
1350,LYNCHBURG,VA,315,Yes,9/5/2021,9/19/2021
5,CONWAY,AR,326,Yes,9/5/2021,9/19/2021
299,BOWLING GREEN,KY,257,Yes,9/5/2021,9/19/2021
81,STILWELL,OK,347,Yes,9/5/2021,9/19/2021
31,POTEAU,OK,351,Yes,9/5/2021,9/19/2021
740,OZARK,AL,7,Yes,9/5/2021,9/19/2021
5218,ST. PETERSBURG,FL,111,No,9/5/2021,9/19/2021
1413,CRYSTAL LAKE,IL,270,No,9/5/2021,9/19/2021
1361,SIOUX CITY,IA,426,Yes,9/5/2021,9/19/2021
1505,PIKEVILLE,KY,258,Yes,9/5/2021,9/19/2021
3763,EL PASO,TX,505,No,9/5/2021,9/19/2021
718,AUBURNDALE,FL,116,No,9/5/2021,9/19/2021
3278,LINCOLN (SE),NE,433,Yes,9/5/2021,9/19/2021
579,SAINT AUGUSTINE,FL,94,No,9/26/2021,10/10/2021
1606,CHATTANOOGA,TN,119,Yes,9/26/2021,10/10/2021
1660,PALMDALE,CA,448,Yes,9/26/2021,10/10/2021
1683,SHENANDOAH,IA,413,Yes,9/26/2021,10/10/2021
1927,MACEDONIA,OH,214,Yes,9/26/2021,10/10/2021
3224,GARLAND (SE),TX,51,no,9/26/2021,10/10/2021
3741,ATLANTA (W),GA,19,Yes,9/26/2021,10/10/2021
2280,MOUNTAIN VIEW,CA,451,Yes,9/26/2021,10/10/2021
89,CAMDENTON,MO,336,Yes,9/26/2021,10/10/2021
691,FORT PAYNE,AL,3,Yes,9/26/2021,10/10/2021
735,WINCHESTER,TN,151,Yes,9/26/2021,10/10/2021
1628,SANDUSKY,OH,213,Yes,9/26/2021,10/10/2021
1735,WHEELING,IL,269,No,9/26/2021,10/10/2021
1986,NORWALK,OH,213,Yes,9/26/2021,10/10/2021
2251,CITY OF INDUSTRY,CA,462,Yes,9/26/2021,10/10/2021
3220,ST GEORGE (S),UT,405,no,9/26/2021,10/10/2021
4101,LONG BEACH,CA,465,Yes,9/26/2021,10/10/2021
5060,ALGONQUIN,IL,270,No,9/26/2021,10/10/2021
5374,EATON,OH,223,Yes,9/26/2021,10/10/2021
5728,NEWBURGH,IN,254,Yes,9/26/2021,10/10/2021
126,LITTLE ROCK,AR,324,Yes,9/26/2021,10/10/2021
260,WAXAHACHIE,TX,55,no,9/26/2021,10/10/2021
475,ROUND ROCK,TX,83,no,9/26/2021,10/10/2021
494,NEWNAN,GA,16,Yes,9/26/2021,10/10/2021
622,OKLAHOMA CITY,OK,352,Yes,9/26/2021,10/10/2021
1082,JACKSONVILLE(MANDAR),FL,98,No,9/26/2021,10/10/2021
1859,CALEXICO,CA,463,Yes,9/26/2021,10/10/2021
2208,SAYRE,PA,226,Yes,9/26/2021,10/10/2021
2278,ERIE (S),PA,228,Yes,9/26/2021,10/10/2021
2526,PORTER RANCH,CA,446,Yes,9/26/2021,10/10/2021
2537,REDDING,CA,457,Yes,9/26/2021,10/10/2021
2918,ALLEN,TX,51,no,9/26/2021,10/10/2021
3284,ARLINGTON,TX,44,no,9/26/2021,10/10/2021
3710,DECATUR (W),GA,20,Yes,9/26/2021,10/10/2021
3783,DAYTON (N),OH,223,Yes,9/26/2021,10/10/2021
1983,Ceres (Modesto SE),CA,450,Yes,10/3/2021,10/17/2021
90,GROVE,OK,347,Yes,10/3/2021,10/17/2021
937,MARIETTA,GA,26,Yes,10/3/2021,10/17/2021
1216,CARROLTON,TX,53,no,10/3/2021,10/17/2021
1612,TUCSON,AZ,366,Yes,10/3/2021,10/17/2021
1637,OMAHA (N),NE,432,Yes,10/3/2021,10/17/2021
2694,KIRKWOOD,MO,340,Yes,10/3/2021,10/17/2021
2791,GEORGETOWN,DE,285,Yes,10/3/2021,10/17/2021
4283,COLUMBUS (AIRPORT),GA,16,Yes,10/3/2021,10/17/2021
4677,MUSKEGO,WI,435,no,10/3/2021,10/17/2021
6397,Miami (Coral Reef),FL,98,No,10/3/2021,10/17/2021
689,SOMERSET,KY,258,Yes,10/10/2021,10/24/2021
1469,CHATTANOOGA,TN,120,Yes,10/10/2021,10/24/2021
1871,WATERTOWN,NY,187,Yes,10/10/2021,10/24/2021
2803,EDMOND,OK,352,Yes,10/10/2021,10/24/2021
6998,EASTPOINT,GA,19,Yes,10/10/2021,10/24/2021
5173,DALTON,GA,120,Yes,10/17/2021,10/31/2021
3295,BROKEN ARROW,OK,356,Yes,10/24/2021,11/7/2021
2932,KNOXVILLE,TN,122,Yes,11/21/2021,12/5/2021
3739,NAMPA (NORTHEAST),ID,399,Yes,1/17/2022,1/17/2022
3740,AURORA,CO,490,Yes,1/17/2022,1/17/2022
1585,NORTH PLATTE,NE,429,Yes,1/17/2022,1/17/2022
3512,ALBUQUERQUE,NM,526,No,1/17/2022,1/17/2022
4339,N LAS VEGAS (LOSEE),NV,397,No,1/17/2022,1/17/2022
4405,AURORA (NE),IL,264,No,1/17/2022,1/17/2022
2784,BEATRICE,NE,407,Yes,1/17/2022,1/17/2022
3728,NORTH LAS VEGAS (N),NV,394,No,1/17/2022,1/17/2022
4407,MONTGOMERY (E),AL,8,Yes,1/17/2022,1/17/2022
79,JOPLIN,MO,334,Yes,1/17/2022,1/17/2022
556,WAYCROSS,GA,28,Yes,1/17/2022,1/17/2022
756,TRION,GA,120,Yes,1/17/2022,1/17/2022
955,APOPKA,FL,91,No,1/17/2022,1/17/2022
1241,DAVENPORT,IA,418,Yes,1/17/2022,1/17/2022
1330,LIMA,OH,222,Yes,1/17/2022,1/17/2022
1894,MEDINA,OH,214,Yes,1/17/2022,1/17/2022
1911,AKRON,OH,215,Yes,1/17/2022,1/17/2022
2035,GREENVILLE,OH,239,Yes,1/17/2022,1/17/2022
2861,GARDEN CITY,ID,399,Yes,1/17/2022,1/17/2022
3782,ORLANDO (NARCOOSSEE),FL,91,No,1/17/2022,1/17/2022
908,ORLANDO,FL,90,No,1/23/2022,1/23/2022
2980,FORT WORTH (N),TX,50,no,1/23/2022,1/23/2022
261,HOT SPRINGS,AR,325,Yes,1/23/2022,1/23/2022
334,CARLINVILLE,IL,275,No,1/23/2022,1/23/2022
576,TULSA,OK,345,Yes,1/23/2022,1/23/2022
789,MESQUITE,TX,583,no,1/23/2022,1/23/2022
2435,Dundalk,MD,282,Yes,1/23/2022,1/23/2022
3400,OSWEGO,IL,265,No,1/23/2022,1/23/2022
4185,SUWANEE (N),GA,24,Yes,1/23/2022,1/23/2022
5337,CLOVIS (N),CA,449,Yes,1/23/2022,1/23/2022
5640,ANAHEIM,CA,551,Yes,1/23/2022,1/23/2022
4240,HIGHLAND VILLAGE,TX,53,no,1/23/2022,1/23/2022
3238,SPRINGFIELD,MO,538,Yes,1/30/2022,1/30/2022
517,MUSTANG,OK,353,Yes,1/30/2022,1/30/2022
1253,AUSTIN,TX,82,no,1/30/2022,1/30/2022
1863,EASTLAKE,OH,209,Yes,1/30/2022,1/30/2022
2079,MARQUETTE,MI,196,Yes,1/30/2022,1/30/2022
1205,MACCLENNY,FL,101,No,2/10/2022,2/10/2022
5037,YULEE,FL,98,No,2/10/2022,2/10/2022
538,GAINESVILLE (NE),FL,93,No,2/10/2022,2/10/2022
3207,SANFORD (W),FL,94,No,2/10/2022,2/10/2022
1553,BLOOMINGDALE,IL,264,No,2/10/2022,2/10/2022
512,EL PASO (E),TX,505,No,2/10/2022,2/10/2022
6578,RICHLAND HILLS,TX,58,No,2/10/2022,2/10/2022
896,GRAND PRAIRIE,TX,49,No,2/10/2022,2/10/2022
2958,APPLETON,WI,439,No,2/10/2022,2/10/2022
734,ENTERPRISE,AL,7,Yes,2/10/2022,2/10/2022
11,MOUNTAIN HOME,AR,328,Yes,2/10/2022,2/10/2022
3180,SOUTH GATE,CA,446,Yes,2/10/2022,2/10/2022
3947,Chula Vista,CA,458,Yes,2/10/2022,2/10/2022
639,BRUNSWICK,GA,28,Yes,2/10/2022,2/10/2022
1479,VALPARAISO,IN,238,Yes,2/10/2022,2/10/2022
4607,LEXINGTON (PALOMAR),KY,494,Yes,2/10/2022,2/10/2022
445,LEITCHFIELD,KY,256,Yes,2/10/2022,2/10/2022
974,WEST MELBOURNE,FL,92,No,2/20/2022,2/20/2022
988,LUTZ,FL,104,No,2/20/2022,2/20/2022
1418,O FALLON,IL,341,No,2/20/2022,2/20/2022
1556,ORLAND HILLS,IL,266,No,2/20/2022,2/20/2022
3790,LOCKPORT,IL,265,No,2/20/2022,2/20/2022
280,ROCKDALE,TX,83,No,2/20/2022,2/20/2022
3777,FRISCO (W),TX,56,No,2/20/2022,2/20/2022
5288,SEAGOVILLE,TX,49,No,2/20/2022,2/20/2022
5191,FORNEY,TX,55,No,2/20/2022,2/20/2022
