STORE,City,State,Market,Can you transfer?,New Transfer Day,Stop Tobacco Sales
3510,PEARLAND,TX,62,No,2/20/2022,2/20/2022
1105,NORTH LITTLE ROCK (E),AR,326,Yes,2/20/2022,2/20/2022
127,MALVERN,AR,325,Yes,2/20/2022,2/20/2022
336,SHERIDAN,AR,325,Yes,2/20/2022,2/20/2022
5706,LITTLE ROCK (BOWMAN),AR,324,Yes,2/20/2022,2/20/2022
5686,BURBANK,CA,448,Yes,2/20/2022,2/20/2022
3401,COLLEGE PARK,GA,19,Yes,2/20/2022,2/20/2022
4409,ROCKMART,GA,22,Yes,2/20/2022,2/20/2022
787,RIVERDALE,GA,22,Yes,2/20/2022,2/20/2022
2780,CALDWELL,ID,399,Yes,2/20/2022,2/20/2022
665,CAMPBELLSVILLE,KY,256,Yes,2/20/2022,2/20/2022
4255,ELYRIA (S),OH,214,Yes,2/20/2022,2/20/2022
1718,FINDLAY,OH,222,Yes,2/20/2022,2/20/2022
1429,FREMONT,OH,213,Yes,2/20/2022,2/20/2022
3639,DULLES,VA,292,Yes,2/20/2022,2/20/2022
2007,MOSES LAKE,WA,473,Yes,2/20/2022,2/20/2022
5670,CLEARWATER(BELCHER),FL,548,No,2/27/2022,2/27/2022
5038,PLAINFIELD,IL,262,No,2/27/2022,2/27/2022
1003,PLANO,IL,262,No,2/27/2022,2/27/2022
1897,ELK GROVE VILLAGE,IL,268,No,2/27/2022,2/27/2022
3601,CRESTWOOD,IL,266,No,2/27/2022,2/27/2022
5930,ANAHEIM (N),CA,464,Yes,2/27/2022,2/27/2022
520,WINDER,GA,25,Yes,2/27/2022,2/27/2022
3461,PEACHTREE CITY,GA,16,Yes,2/27/2022,2/27/2022
1729,CONNERSVILLE,IN,239,Yes,2/27/2022,2/27/2022
2175,BRANSON WEST,MO,333,Yes,2/27/2022,2/27/2022
14,LEBANON,MO,357,Yes,2/27/2022,2/27/2022
5313,LAKE ST LOUIS,MO,339,Yes,2/27/2022,2/27/2022
3172,OMAHA (50TH & L),NE,491,Yes,2/27/2022,2/27/2022
3608,MADISON,OH,209,Yes,2/27/2022,2/27/2022
5343,FREDERICKSBURG (S),VA,291,Yes,3/6/2022,3/20/2022
3516,CHULA VISTA (E),CA,458,Yes,3/6/2022,3/20/2022
4182,PLANO (PRESTON & PARKER),TX,561,no,3/6/2022,3/20/2022
348,MONTICELLO,AR,327,Yes,3/6/2022,3/20/2022
4691,MONTGOMERY,AL,544,Yes,3/6/2022,3/20/2022
636,PRINCETON,IL,279,No,3/6/2022,3/20/2022
779,LAKELAND,FL,116,No,3/6/2022,3/20/2022
1578,ROSWELL,GA,23,Yes,3/6/2022,3/20/2022
3247,DELAVAN,WI,442,no,3/6/2022,3/20/2022
1184,STONE MOUNTAIN,GA,20,Yes,3/6/2022,3/20/2022
3008,ATLANTA  (VINE),GA,23,Yes,3/6/2022,3/20/2022
3253,EDINBORO,PA,228,Yes,3/6/2022,3/20/2022
4450,MIDDLETOWN,KY,242,Yes,3/6/2022,3/20/2022
5866,FRISCO,TX,56,no,3/6/2022,3/20/2022
2996,DALLAS,TX,53,no,3/13/2022,3/27/2022
59,JOPLIN,MO,334,Yes,3/13/2022,3/27/2022
177,PARIS,TN,146,Yes,3/13/2022,3/27/2022
3610,LOUISVILLE (NW),KY,242,Yes,3/13/2022,3/27/2022
3594,PANTEGO,TX,58,no,3/13/2022,3/27/2022
733,VALLEY,AL,10,Yes,3/13/2022,3/27/2022
340,CHECOTAH,OK,351,Yes,3/13/2022,3/27/2022
1167,SOMERS,WI,435,no,3/13/2022,3/27/2022
796,PERU,IL,279,No,3/13/2022,3/27/2022
1938,BEDFORD PARK,IL,264,No,3/20/2022,4/3/2022
987,FORT MYERS,FL,105,No,3/20/2022,4/3/2022
5126,CENTRE,AL,3,Yes,3/20/2022,4/3/2022
3347,WINTER HAVEN (E),FL,116,No,3/20/2022,4/3/2022
3403,DALLAS,GA,26,Yes,3/20/2022,4/3/2022
1942,HOLLAND,MI,200,Yes,3/27/2022,4/10/2022
992,TULSA,OK,356,Yes,3/27/2022,4/10/2022
1848,GLEN ELLYN,IL,264,No,3/27/2022,4/10/2022
5614,COLLEYVILLE,TX,504,no,3/27/2022,4/10/2022
4460,NO LITTLE ROCK (MAU),AR,324,Yes,3/27/2022,4/10/2022
3857,MONONA,WI,441,no,3/27/2022,4/10/2022
5220,TAMPA,FL,112,No,4/3/2022,4/17/2022
4132,DOWNEY,CA,465,Yes,4/3/2022,4/17/2022
1085,PORT RICHEY,FL,104,No,4/3/2022,4/17/2022
1373,LILBURN,GA,24,Yes,4/3/2022,4/17/2022
805,FENTON,MO,339,Yes,4/3/2022,4/17/2022
1318,KNOXVILLE,TN,122,Yes,4/3/2022,4/17/2022
4285,CLEVELAND (W),OH,214,Yes,4/3/2022,4/17/2022
5162,SANTA CLARITA (W),CA,448,Yes,4/3/2022,4/17/2022
5134,BAKERSFIELD (SW),CA,447,Yes,4/3/2022,4/17/2022
3622,ROANOKE,VA,509,Yes,4/3/2022,4/17/2022
1331,SIDNEY,OH,222,Yes,4/3/2022,4/17/2022
648,SAINT PETERS,MO,341,Yes,4/3/2022,4/17/2022
3891,WAUKEGAN,IL,269,No,4/3/2022,4/17/2022
