Store,User ID,Store Rank
1257,DRESCOB,2
549,LWH000M,2
5216,e0c0cq2,2
1078,JMPOSPI,2
964,smdomin,2
2201,l0r019y,2
407,sworthj,2
6286,Z0A00B9,2
917,J0F04YH,2
2133,j0s03tw,2
3826,bls009k,2
812,mnwilbo,2
765,d0l06ze,2
1249,DEZAPAT,2
4131,rbcroft,2
1541,f0r02ah,2
5420,l0g01ag,2
3538,amheadl,2
759,jidelga,2
3387,klmcfar,2
5871,L0R049M,2
859,waareva,2
1068,a0w01k0,2
1087,SAM00B7,2
956,RJBEPPE,2
5455,adhart,2
721,mjesu14,2
974,J0M05ZH,2
5894,AZENGJI,2
1702,nbstruz,2
973,j0s14qh,2
771,jds00u4,2
2591,G0S01PN,2
623,e0m01h2,2
3370,m0b02m4,2
968,lltyler,2
819,b0l03qa,2
649,d0d0gf7,2
1349,serden1,2
929,CLTRIGG,2
3474,jjreind,2
3887,a0f03n9,2
5035,JSKNOWL,2
174,LAF004Z,2
3347,ket0033,2
5264,hlc001k,2
6397,j0c05lz,2
4446,cgoulet,2
528,ntb001u,2
1374,JFM002J,2
811,J0D02JB,2
1996,s0m05te,2
1680,l0g0449,2
1845,k0d0ck8,2
105,bvpende,2
104,k0b00wv,2
239,B0F01JF,2
410,r0b0gwq,2
36,jjs00ev,2
258,r0c074y,2
409,BMH0077,2
177,JLB0101,2
393,PDC001K,2
5703,LLM003U,2
738,PDR001V,2
1710,C0T02WV,2
114,HBL000B,2
303,l0s080b,2
1100,KCCOMPT,2
1115,k0l06eg,2
1468,LKMILES,2
287,v0s05ja,2
391,jmm00te,2
675,DPR0021,2
70,pdbingh,2
453,j0t0hz2,2
715,t0a00ww,2
273,PCHUMBL,2
1124,bkwilba,2
6469,rdj0030,2
161,CAG00D3,2
106,g0s0b6e,2
394,C0E01JN,2
3060,r0s01n0,2
97,s0e030u,2
4187,k0r04ps,2
218,s0s0uh0,2
1530,jlc0069,2
365,krb007a,2
305,l0s0ayl,2
229,CED0053,2
115,eljoine,2
2306,c0t0du7,2
274,DMB00P6,2
183,TLH00KE,2
93,TLPEERY,2
153,RLH00E6,2
2939,e0a05zu,2
2690,JLG00OH,2
466,M0D034W,2
766,RBPATTE,2
107,jkmorga,2
164,t0dunn,2
120,caz000b,2
660,m0d0792,2
1194,w0e00t7,2
3495,BLH00BA,2
6878,M0H07XM,2
742,h0s04eu,2
3829,j0p0nex,2
3717,ewm000g,2
668,ELNEWBY,2
688,a0y01ay,2
1466,clw00jf,2
5197,JRHAGER,2
5057,AMM0147,2
1318,t0f07fz,2
314,LMKIGHT,2
4223,csh004l,2
673,NABONNE,2
656,TPC001I,2
599,cmjesse,2
4166,s0r0fkg,2
1606,t0f06mq,2
3289,CMV004N,2
1080,GWT000I,2
619,atg001u,2
264,sdl0026,2
678,CBLAYMO,2
1075,kjdahl,2
735,KWCOMMO,2
308,MJG0060,2
366,JLGIVEN,2
712,MALOCKM,2
304,k0p09mt,2
671,c0g0bnb,2
1226,d0y00t7,2
2757,MPATRYK,2
5151,c0k06wl,2
690,KLOLIVE,2
4226,j0f0322,2
620,jmblade,2
674,tcdicke,2
685,tdm009a,2
879,c0h0ld3,2
4414,z0m0189,2
3660,JLFORSY,2
756,DDM00DJ,2
3017,M0P01SG,2
2749,LLC008J,2
4435,a0m05ua,2
3852,RKOAKS,2
1467,KSBOLIN,2
1215,j0d0fdu,2
1694,anmclau,2
1159,e0d02rw,2
4483,g0b00ox,2
667,bac00ff,2
3234,CAL00AQ,2
568,PPLUMLE,2
1320,CGASHFO,2
5058,SOGHEBR,2
306,JALEMAS,2
390,m0d0ao3,2
4482,a0h0gg8,2
1089,KRC007S,2
4635,BSNELLI,2
192,knu0003,2
672,j0g0ezm,2
724,k0r0900,2
681,j0s12m6,2
3137,a0r0sh4,2
695,ryblair,2
663,ddk001v,2
1319,MGB003D,2
2065,elw005l,2
416,JMP00MV,2
1376,jwpardu,2
682,KDSTAPL,2
2932,c0l05o9,2
737,RECAROT,2
3835,b0s00v8,2
140,a0w01ci,2
505,K0D00YY,2
170,m0a06ki,2
146,JEW00CJ,2
275,jrk003r,2
165,BPSUNIG,2
398,jlt0091,2
540,C0W06C9,2
180,s0d03lh,2
2132,SALANDR,2
523,JMM00QC,2
1088,j0a0moq,2
1163,dmp003b,2
918,LJJ004I,2
383,cdl0044,2
3591,tebreau,2
5079,BRC002C,2
761,TLTHIBO,2
773,KHAUTRE,2
911,d0f0a52,2
3483,NDDOMAN,2
4679,l0c09p8,2
345,CKP001I,2
485,JMBURD,2
4295,CMBELVI,2
989,JTW0081,2
1195,CJPIAZZ,2
3828,S1B01W8,2
312,a0n01kh,2
5287,cam00fh,2
970,CMAGUIL,2
310,BAALLEM,2
249,eycruz,2
572,SACALIC,2
3528,MCSCARB,2
3288,JALEBOE,2
2665,dozenon,2
384,slrueda,2
386,ZDANDRU,2
3390,ELCOLLE,2
1168,TBPIGOT,2
2706,DMW00CZ,2
3585,M0M0AKZ,2
400,ENDAVIS,2
75,klp007h,2
