Location #,Phase,Business,Site Type,Address,City,State,Region,Market,Training,Go Live
254,Indiana 1,Walmart,Supercenter,1001 Nw,Olney,IL,25,273,2/19/2024,3/4/2024
422,Indiana 1,Walmart,Supercenter,1304 E Main St,Robinson,IL,25,273,2/19/2024,3/4/2024
506,Indiana 1,Walmart,Supercenter,1540 N Worthy,Flora,IL,40,272,2/19/2024,3/4/2024
550,Indiana 1,Walmart,Supercenter,2610 W Haven Rd,Lawrenceville,IL,25,273,2/19/2024,3/4/2024
798,Indiana 1,Walmart,Supercenter,108 Kyden Dr,MARSHALL,IL,25,273,2/19/2024,3/4/2024
828,Indiana 1,Walmart,Supercenter,2373 E Main St,Plainfield,IN,41,251,2/20/2024,3/4/2024
884,Indiana 1,Walmart,Supercenter,2500 Progress Pkwy,Shelbyville,IN,41,249,2/21/2024,3/4/2024
902,Indiana 1,Walmart,Supercenter,1750 Indianapolis,Greencastle,IN,41,251,2/20/2024,3/4/2024
923,Indiana 1,Walmart,Supercenter,16865 Clover Rd,Noblesville,IN,41,482,2/22/2024,3/4/2024
995,Indiana 1,Walmart,Supercenter,2125 N Morton St,Franklin,IN,41,251,2/21/2024,3/4/2024
1141,Indiana 1,Walmart,Supercenter,1965 N State St,Greenfield,IN,41,249,2/21/2024,3/4/2024
1180,Indiana 1,Walmart,Supercenter,790 Greensburg Commons Shopping Center,Greensburg,IN,41,243,2/21/2024,3/4/2024
1275,Indiana 1,Walmart,Supercenter,2440 N Lebanon St,Lebanon,IN,41,482,2/22/2024,3/4/2024
1310,Indiana 1,Walmart,Supercenter,5555 S Us-41,Terre Haute,IN,41,251,2/20/2024,3/4/2024
1356,Indiana 1,Walmart,Supercenter,410 Grand Valley Blvd,Martinsville,IN,41,251,2/21/2024,3/4/2024
1459,Indiana 1,Walmart,Supercenter,7245 Us-31 S,Indianapolis,IN,41,249,2/21/2024,3/4/2024
1480,Indiana 1,Walmart,Supercenter,950 E Greenville Pike,Winchester,IN,21,239,2/22/2024,3/4/2024
1518,Indiana 1,Walmart,Supercenter,3221 W 86Th St,Indianapolis,IN,41,482,2/22/2024,3/4/2024
1557,Indiana 1,Walmart,Supercenter,8300 E 96Th St,Fishers,IN,41,482,2/22/2024,3/4/2024
1580,Indiana 1,Walmart,Supercenter,10617 E Washington,Indianapolis,IN,41,249,2/21/2024,3/4/2024
1601,Indiana 1,Walmart,Supercenter,2001 E 151St St,Carmel,IN,41,482,2/22/2024,3/4/2024
1629,Indiana 1,Walmart,Walmart,2150 E National Ave,Brazil,IN,41,251,2/20/2024,3/4/2024
1655,Indiana 1,Walmart,Supercenter,1835 Us-231 S,Crawfordsville,IN,41,482,2/22/2023,3/4/2024
1665,Indiana 1,Walmart,Supercenter,4801 W Clara Ln,Muncie,IN,21,239,2/22/2024,3/4/2024
1728,Indiana 1,Walmart,Supercenter,2321 Charles St,Anderson,IN,21,239,2/22/2024,3/4/2024
1758,Indiana 1,Walmart,Supercenter,3167 S State Rd 3,New Castle,IN,21,239,2/21/2024,3/4/2024
2388,Indiana 1,Walmart,Supercenter,950 W Votaw,Portland,IN,21,239,2/22/2024,3/4/2024
2786,Indiana 1,Walmart,Supercenter,9500 Us-36 E,Avon,IN,41,482,2/20/2024,3/4/2024
2787,Indiana 1,Walmart,Supercenter,7325 N Keystone Ave,Indianapolis,IN,41,249,2/22/2024,3/4/2024
2788,Indiana 1,Walmart,Supercenter,400 W Northfield Dr,Brownsburg,IN,41,482,2/22/2024,3/4/2024
2934,Indiana 1,Walmart,Supercenter,15150 Us-150,Paris,IL,25,273,2/20/2024,3/4/2024
3435,Indiana 1,Walmart,Supercenter,1133 N Emerson Rd,Greenwood,IN,41,249,2/21/2024,3/4/2024
3529,Indiana 1,Walmart,Supercenter,10735 Pendleton Pike,Indianapolis,IN,41,249,2/21/2024,3/4/2024
3747,Indiana 1,Walmart,Supercenter,1501 E 29Th St,Muncie,IN,21,239,2/22/2024,3/4/2024
3781,Indiana 1,Walmart,Supercenter,4545 Lafayette Rd,Indianapolis,IN,41,482,2/22/2024,3/4/2024
4053,Indiana 1,Walmart,Neighborhood Market,5555 Michigan Rd,Indianapolis,IN,59,494,2/22/2024,3/4/2024
4054,Indiana 1,Walmart,Neighborhood Market,4837 Kentucky Ave,Indianapolis,IN,59,494,2/20/2024,3/4/2024
4235,Indiana 1,Walmart,Supercenter,2399 S State Rd 46,Terre Haute,IN,41,251,2/20/2024,3/4/2024
4417,Indiana 1,Walmart,Supercenter,8191 Upland Way,Camby,IN,41,251,2/20/2024,3/4/2024
