Store,,MAR,69,YTD,70,MAR,71,YTD,72,MAR,73,YTD,74,MAR,75,YTD,76,MAR,77,YTD,78,MAR,79,YTD,80,MAR,81,YTD,82,MAR,83,YTD,84,MAR,85,YTD,86,MAR,87,YTD,88
515,,-2.06%,,-1.44%,,12.37%,,8.13%,,12.07%,,9.87%,,25.68%,G,15.23%,,98,G,201,G,87.48%,G,87.40%,G,53,G,110,G,110.21%,G,109.68%,G,0:42:40,,0:43:48,,521/2576,,792/2576,
1070,,-10.32%,R,-10.09%,R,-4.11%,R,-3.19%,R,3.09%,,5.24%,,-12.31%,R,-17.82%,R,41,,63,,39.26%,,39.12%,,6,,11,,64.18%,,66.06%,,0:47:01,,0:45:09,,2322/2576,R,2311/2576,R
1122,,3.00%,,3.98%,,19.39%,,20.20%,,6.51%,,8.49%,,18.79%,,16.47%,G,6,,21,,43.12%,,42.63%,,13,,29,G,59.92%,,64.07%,,1:04:54,R,1:01:08,R,1280/2576,,1057/2576,
2753,,-3.35%,R,-6.44%,R,9.84%,,12.13%,,2.67%,,11.65%,,9.72%,,-0.33%,,14,,32,,35.71%,R,31.81%,R,15,G,34,G,73.16%,,75.23%,,0:39:51,,0:40:40,,1440/2576,,1400/2576,
3485,,-4.64%,R,-2.45%,,16.09%,,16.72%,,11.85%,,12.29%,,-5.78%,,-8.06%,R,21,,67,,54.20%,,56.19%,G,6,,13,,103.12%,G,103.30%,G,0:43:17,,0:42:35,,1036/2576,,925/2576,
3874,,-5.17%,R,-3.66%,R,6.09%,,13.62%,,-12.37%,R,1.56%,,7.19%,,2.89%,,17,,37,,69.81%,G,63.55%,G,8,,20,,87.89%,,85.98%,,0:57:15,,0:56:20,,1794/2576,,1427/2576,
4616,,8.43%,G,8.73%,G,24.17%,,19.61%,,8.71%,,6.16%,,29.74%,G,23.86%,G,41,,124,G,44.74%,,44.57%,,11,,16,,74.94%,,77.99%,,0:53:44,,0:51:09,,558/2576,,627/2576,
7185,,11.16%,G,9.73%,G,17.80%,,20.75%,,23.95%,,23.33%,,14.07%,,13.12%,,6,,9,R,40.31%,,42.39%,,2,R,3,R,40.31%,R,42.14%,,0:47:35,,0:47:39,,979/2576,,885/2576,
Total,B,-0.93%,R,-0.45%,,11.84%,,12.31%,,7.44%,,9.79%,,9.51%,,4.50%,,0.98,,1.15,,52.74%,G,51.83%,,0.46,,0.49,G,78.37%,,79.62%,,0:48:43,,0:47:40,,179/394,,165/394,
594,,-7.76%,R,-7.25%,R,52.91%,G,49.29%,G,70.03%,G,72.77%,G,41.83%,G,37.48%,G,1,R,5,R,52.76%,,45.89%,,3,,3,R,23.52%,R,21.50%,R,0:35:15,G,0:35:59,,452/2576,G,559/2576,
787,,-2.12%,,-1.65%,,0.71%,,2.28%,,5.87%,,12.87%,,-7.99%,,-1.63%,,1,R,8,R,64.29%,G,61.84%,G,0,R,0,R,53.09%,,47.36%,,0:42:40,,0:44:15,,2133/2576,R,1972/2576,
3201,,-11.23%,R,-6.44%,R,-17.38%,R,-1.26%,R,19.18%,,26.55%,G,-30.02%,R,-19.15%,R,31,,48,,35.93%,R,34.17%,R,5,,7,,68.80%,,66.81%,,0:35:48,G,0:36:32,,2202/2576,R,1946/2576,
3402,,-3.87%,R,-5.43%,R,-4.96%,R,-4.99%,R,-0.54%,,4.55%,,4.17%,,-7.31%,R,21,,51,,49.79%,,49.96%,,25,G,43,G,60.82%,,63.62%,,1:06:45,R,1:16:21,R,2299/2576,R,2390/2576,R
Total,B,-5.96%,R,-5.09%,R,4.10%,R,7.21%,,17.62%,,23.50%,G,-1.73%,R,-1.60%,R,0.44,,0.47,,51.71%,,48.77%,,0.27,,0.22,,51.47%,,50.82%,R,0:45:30,,0:48:36,,343/394,R,320/394,R
855,,4.21%,,3.12%,,21.47%,,16.44%,,16.78%,,5.84%,,25.31%,G,18.14%,G,6,,28,,51.66%,,49.63%,,2,R,3,R,35.90%,R,30.15%,R,0:38:10,,0:36:34,,680/2576,,1019/2576,
3401,,-7.04%,R,-7.21%,R,2.06%,,0.53%,,-4.93%,R,-6.13%,R,-2.71%,,0.35%,,19,,20,,44.58%,,40.71%,,14,,15,,84.37%,,77.47%,,1:06:12,R,1:13:15,R,2251/2576,R,2407/2576,R
3709,,-7.19%,R,-4.01%,R,6.48%,,8.34%,,23.18%,,25.76%,G,-12.36%,R,-10.19%,R,68,G,75,,45.56%,,44.44%,,4,,6,,54.82%,,55.01%,,0:20:36,G,0:20:55,G,1419/2576,,1339/2576,
Total,B,-3.48%,R,-2.55%,R,8.66%,,8.02%,,12.20%,,10.07%,,-0.39%,,0.16%,,1,,0.68,,47.09%,,45.03%,,0.22,,0.13,,57.86%,,53.45%,,0:38:27,G,0:40:21,G,260/394,,292/394,
3,,2.59%,,2.36%,,14.07%,,17.05%,,9.51%,,12.89%,,27.58%,G,16.03%,,16,,46,,42.00%,,42.45%,,9,,19,,93.88%,,92.68%,,0:36:20,,0:34:54,G,631/2576,,456/2576,G
510,,-9.80%,R,-8.28%,R,-11.07%,R,-10.17%,R,-2.45%,R,0.33%,R,-35.41%,R,-36.71%,R,18,,27,,30.39%,R,28.87%,R,3,,9,,43.79%,,51.76%,,0:58:33,,0:56:39,,2564/2576,R,2550/2576,R
520,,-3.23%,R,-3.36%,,-8.40%,R,-1.90%,R,-8.04%,R,2.67%,,-8.21%,,-2.53%,,16,,29,,43.00%,,44.21%,,3,,5,,62.80%,,67.98%,,0:56:36,,0:53:15,,2486/2576,R,2306/2576,R
780,,10.85%,G,5.24%,,28.96%,G,18.92%,,25.10%,G,22.21%,,52.54%,G,21.60%,G,36,,51,,55.88%,G,53.14%,,9,,16,,83.15%,,87.31%,,0:41:30,,0:39:06,,94/2576,G,277/2576,G
1111,,12.44%,G,10.27%,G,31.46%,G,25.21%,G,50.53%,G,40.26%,G,26.82%,G,16.29%,,1,R,2,R,35.31%,R,35.02%,R,1,R,2,R,108.02%,G,106.43%,G,0:30:52,G,0:28:27,G,112/2576,G,176/2576,G
1121,,-12.34%,R,-12.74%,R,7.54%,,-6.54%,R,3.14%,,-8.84%,R,-3.77%,,-10.95%,R,18,,28,,50.71%,,46.43%,,6,,7,,82.50%,,75.60%,,0:34:04,G,0:30:31,G,1523/2576,,2201/2576,R
1363,,2.28%,,-1.27%,,2.29%,,4.08%,,-2.17%,R,-2.18%,R,7.99%,,2.03%,,20,,33,,33.83%,R,31.96%,R,5,,11,,57.88%,,64.01%,,0:19:11,G,0:18:54,G,1557/2576,,1651/2576,
1400,,13.84%,G,11.80%,G,49.24%,G,48.93%,G,38.06%,G,29.99%,G,39.90%,G,42.80%,G,42,,77,,35.42%,R,33.29%,R,3,,10,,83.59%,,84.42%,,0:53:42,,0:49:06,,220/2576,G,170/2576,G
2811,,4.23%,,0.42%,,-1.04%,R,-2.98%,R,-9.81%,R,-8.38%,R,6.40%,,-3.75%,,11,,14,,41.41%,,37.70%,,1,R,4,R,27.97%,R,32.85%,R,0:36:00,,0:36:32,,2031/2576,,2274/2576,R
3627,,5.18%,,8.28%,G,19.64%,,25.07%,G,4.14%,,11.05%,,26.36%,G,26.50%,G,7,,7,R,34.48%,R,30.27%,R,4,,5,,25.05%,R,26.53%,R,0:32:08,G,0:31:28,G,903/2576,,625/2576,
5482,,20.95%,G,6.77%,G,177.03%,G,57.54%,G,176.80%,G,51.84%,G,72.80%,G,18.93%,G,28,,55,,37.75%,R,35.30%,R,11,,18,,66.07%,,60.33%,,0:36:43,,0:35:57,,35/2576,G,110/2576,G
Total,B,3.20%,,1.40%,,17.94%,,14.23%,,13.05%,,10.88%,,15.05%,G,7.12%,,0.62,,0.56,,39.26%,R,37.26%,R,0.16,,0.16,,64.11%,,65.88%,,0:39:00,G,0:37:18,G,81/394,,140/394,
615,,0.33%,,2.30%,,-5.43%,R,0.34%,R,-4.83%,R,2.24%,,-1.64%,,0.36%,,2,R,5,R,45.37%,,41.58%,,0,R,2,R,52.36%,,49.57%,,1:04:53,R,1:05:02,R,2505/2576,R,2373/2576,R
