DC,Kit QTY,Ring QTY,Estimated Date
6091,20,80,7/14/2022
6095,38,152,7/21/2022
7014,50,200,7/28/2022
6097,55,220,8/4/2022
6056,23,92,8/11/2022
6074,47,188,8/18/2022
6083,53,212,8/25/2022
6077,32,128,9/1/2022
6065,50,200,9/8/2022
6042,55,220,9/15/2022
6072,59,236,9/22/2022
7023,59,236,9/29/2022
6082,60,240,10/6/2022
6099,60,240,10/13/2022
7021,60,240,10/20/2022
7048,60,240,10/27/2022
7018,62,248,11/3/2022
7012,63,252,11/10/2022
6055,64,256,11/17/2022
6057,64,256,11/24/2022
7015,65,260,12/1/2022
7019,66,264,12/8/2022
7055,66,264,12/15/2022
6071,68,272,12/22/2022
7077,69,276,12/29/2022
6073,70,280,1/5/2023
6064,74,296,1/12/2023
7024,85,340,1/19/2023
6090,85,340,1/26/2023
7010,86,344,2/2/2023
7013,87,348,2/9/2023
6059,91,364,2/16/2023
7017,93,372,2/23/2023
7030,93,372,3/2/2023
6084,99,396,3/9/2023
7016,104,416,3/16/2023
6047,126,504,3/23/2023
6096,128,512,3/30/2023
6085,145,580,4/6/2023
