Store Number,Start (Night),End (Morning),
2826,4/3/2023,4/4/2023,
5104,4/3/2023,4/4/2023,
2784,4/3/2023,4/4/2023,
2263,4/3/2023,4/4/2023,
6463,4/3/2023,4/4/2023,
8236,4/3/2023,4/4/2023,
3724,4/3/2023,4/4/2023,
8958,4/4/2023,4/5/2023,
3988,4/4/2023,4/5/2023,
5409,4/4/2023,4/5/2023,
1637,4/4/2023,4/5/2023,
2945,4/4/2023,4/5/2023,
4901,4/4/2023,4/5/2023,
6503,4/4/2023,4/5/2023,
5291,4/4/2023,4/5/2023,
5008,4/5/2023,4/6/2023,
4100,4/5/2023,4/6/2023,
1410,4/5/2023,4/6/2023,
3151,4/5/2023,4/6/2023,
2334,4/5/2023,4/6/2023,
8278,4/5/2023,4/6/2023,
4871,4/5/2023,4/6/2023,
3359,4/5/2023,4/6/2023,
3131,4/6/2023,4/7/2023,
7043,4/6/2023,4/7/2023,
2089,4/10/2023,4/11/2023,
6548,4/10/2023,4/11/2023,
1826,4/11/2023,4/12/2023,
5954,4/11/2023,4/12/2023,
154,4/11/2023,4/12/2023,
5826,4/11/2023,4/12/2023,
5659,4/12/2023,4/13/2023,
1465,4/12/2023,4/13/2023,
6968,4/12/2023,4/13/2023,
5641,4/13/2023,4/14/2023,
1934,4/13/2023,4/14/2023,
3066,4/13/2023,4/14/2023,
2486,4/17/2023,4/18/2023,
1687,4/17/2023,4/18/2023,
7298,4/17/2023,4/18/2023,
3747,4/17/2023,4/18/2023,
3267,4/17/2023,4/18/2023,
2519,4/17/2023,4/18/2023,
8142,4/17/2023,4/18/2023,
4790,4/17/2023,4/18/2023,
3338,4/17/2023,4/18/2023,
5609,4/18/2023,4/19/2023,
4174,4/18/2023,4/19/2023,
3644,4/18/2023,4/19/2023,
7221,4/18/2023,4/19/2023,
2774,4/18/2023,4/19/2023,
5361,4/18/2023,4/19/2023,
1529,4/18/2023,4/19/2023,
6236,4/18/2023,4/19/2023,
8271,4/18/2023,4/19/2023,
4145,4/18/2023,4/19/2023,
5007,4/19/2023,4/20/2023,
5611,4/19/2023,4/20/2023,
1688,4/19/2023,4/20/2023,
6937,4/19/2023,4/20/2023,
1330,4/19/2023,4/20/2023,
3150,4/19/2023,4/20/2023,
2205,4/19/2023,4/20/2023,
8283,4/19/2023,4/20/2023,
6329,4/19/2023,4/20/2023,
3628,4/19/2023,4/20/2023,
4127,4/20/2023,4/21/2023,
5610,4/20/2023,4/21/2023,
3216,4/20/2023,4/21/2023,
6941,4/20/2023,4/21/2023,
3809,4/20/2023,4/21/2023,
1683,4/20/2023,4/21/2023,
5469,4/20/2023,4/21/2023,
6203,4/20/2023,4/21/2023,
4740,4/20/2023,4/21/2023,
2328,4/20/2023,4/21/2023,
4855,4/24/2023,4/25/2023,
6256,4/24/2023,4/25/2023,
5683,4/25/2023,4/26/2023,
5640,4/25/2023,4/26/2023,
5922,4/25/2023,4/26/2023,
5719,4/25/2023,4/26/2023,
1739,4/25/2023,4/26/2023,
1389,4/25/2023,4/26/2023,
5358,4/25/2023,4/26/2023,
8161,4/25/2023,4/26/2023,
8292,4/25/2023,4/26/2023,
4445,4/25/2023,4/26/2023,
5982,4/26/2023,4/27/2023,
3099,4/26/2023,4/27/2023,
4378,4/26/2023,4/27/2023,
5945,4/26/2023,4/27/2023,
4644,4/26/2023,4/27/2023,
5748,4/26/2023,4/27/2023,
2574,4/26/2023,4/27/2023,
4994,4/26/2023,4/27/2023,
4452,4/26/2023,4/27/2023,
5980,4/27/2023,4/28/2023,
5602,4/27/2023,4/28/2023,
4623,4/27/2023,4/28/2023,
5615,4/27/2023,4/28/2023,
2561,4/27/2023,4/28/2023,
985,4/27/2023,4/28/2023,
1886,4/27/2023,4/28/2023,
8175,4/27/2023,4/28/2023,
6507,4/27/2023,4/28/2023,
3604,5/1/2023,5/2/2023,
4178,5/1/2023,5/2/2023,
1973,5/1/2023,5/2/2023,
1883,5/1/2023,5/2/2023,
1475,5/1/2023,5/2/2023,
4404,5/1/2023,5/2/2023,
8160,5/1/2023,5/2/2023,
6249,5/1/2023,5/2/2023,
5467,5/1/2023,5/2/2023,
4275,5/2/2023,5/3/2023,
5994,5/2/2023,5/3/2023,
1873,5/2/2023,5/3/2023,
3253,5/2/2023,5/3/2023,
1721,5/2/2023,5/3/2023,
1591,5/2/2023,5/3/2023,
4859,5/2/2023,5/3/2023,
8294,5/2/2023,5/3/2023,
5188,5/2/2023,5/3/2023,
3844,5/3/2023,5/4/2023,
5627,5/3/2023,5/4/2023,
2586,5/3/2023,5/4/2023,
3860,5/3/2023,5/4/2023,
1506,5/3/2023,5/4/2023,
2888,5/3/2023,5/4/2023,
6678,5/3/2023,5/4/2023,
8257,5/3/2023,5/4/2023,
5143,5/3/2023,5/4/2023,
2632,5/4/2023,5/5/2023,
2225,5/4/2023,5/5/2023,
2210,5/4/2023,5/5/2023,
1568,5/4/2023,5/5/2023,
5992,5/4/2023,5/5/2023,
2023,5/4/2023,5/5/2023,
6567,5/4/2023,5/5/2023,
6501,5/4/2023,5/5/2023,
5182,5/4/2023,5/5/2023,
3265,5/8/2023,5/9/2023,
2907,5/8/2023,5/9/2023,
2164,5/8/2023,5/9/2023,
4952,5/8/2023,5/9/2023,
8112,5/8/2023,5/9/2023,
7032,5/9/2023,5/10/2023,
2930,5/9/2023,5/10/2023,
5725,5/9/2023,5/10/2023,
3050,5/9/2023,5/10/2023,
2261,5/9/2023,5/10/2023,
2405,5/9/2023,5/10/2023,
6536,5/9/2023,5/10/2023,
6572,5/9/2023,5/10/2023,
2520,5/10/2023,5/11/2023,
4498,5/10/2023,5/11/2023,
3049,5/10/2023,5/11/2023,
2590,5/10/2023,5/11/2023,
8191,5/10/2023,5/11/2023,
8256,5/10/2023,5/11/2023,
4258,5/11/2023,5/12/2023,
2396,5/11/2023,5/12/2023,
4490,5/11/2023,5/12/2023,
5993,5/11/2023,5/12/2023,
2283,5/11/2023,5/12/2023,
5779,5/15/2023,5/16/2023,
6967,5/15/2023,5/16/2023,
7320,5/15/2023,5/16/2023,
4757,5/15/2023,5/16/2023,
5439,5/15/2023,5/16/2023,
5027,5/15/2023,5/16/2023,
3223,5/15/2023,5/16/2023,
2448,5/15/2023,5/16/2023,
1777,5/15/2023,5/16/2023,
6581,5/15/2023,5/16/2023,
5697,5/15/2023,5/16/2023,
4441,5/16/2023,5/17/2023,
4324,5/16/2023,5/17/2023,
3098,5/16/2023,5/17/2023,
2355,5/16/2023,5/17/2023,
2909,5/16/2023,5/17/2023,
3404,5/16/2023,5/17/2023,
2614,5/16/2023,5/17/2023,
6547,5/16/2023,5/17/2023,
4930,5/16/2023,5/17/2023,
3077,5/16/2023,5/17/2023,
5880,5/17/2023,5/18/2023,
4560,5/17/2023,5/18/2023,
5349,5/17/2023,5/18/2023,
5678,5/17/2023,5/18/2023,
5777,5/17/2023,5/18/2023,
4597,5/17/2023,5/18/2023,
3281,5/17/2023,5/18/2023,
2274,5/17/2023,5/18/2023,
4612,5/17/2023,5/18/2023,
6533,5/17/2023,5/18/2023,
6512,5/17/2023,5/18/2023,
4138,5/17/2023,5/18/2023,
5731,5/18/2023,5/19/2023,
5704,5/18/2023,5/19/2023,
5257,5/18/2023,5/19/2023,
2170,5/18/2023,5/19/2023,
1863,5/18/2023,5/19/2023,
1999,5/18/2023,5/19/2023,
2641,5/18/2023,5/19/2023,
6693,5/18/2023,5/19/2023,
8180,5/18/2023,5/19/2023,
5149,5/18/2023,5/19/2023,
6332,5/22/2023,5/23/2023,
8123,5/22/2023,5/23/2023,
4729,5/23/2023,5/24/2023,
5265,5/23/2023,5/24/2023,
2289,5/23/2023,5/24/2023,
2107,5/23/2023,5/24/2023,
2362,5/23/2023,5/24/2023,
3088,5/23/2023,5/24/2023,
2145,5/23/2023,5/24/2023,
6676,5/23/2023,5/24/2023,
4851,5/23/2023,5/24/2023,
6172,5/23/2023,5/24/2023,
1904,5/24/2023,5/25/2023,
525,5/24/2023,5/25/2023,
1893,5/24/2023,5/25/2023,
1869,5/24/2023,5/25/2023,
1610,5/24/2023,5/25/2023,
1839,5/24/2023,5/25/2023,
1633,5/24/2023,5/25/2023,
2252,5/24/2023,5/25/2023,
6460,5/24/2023,5/25/2023,
4926,5/24/2023,5/25/2023,
5180,5/24/2023,5/25/2023,
1406,5/25/2023,5/26/2023,
4211,5/25/2023,5/26/2023,
5129,5/25/2023,5/26/2023,
5340,5/25/2023,5/26/2023,
1907,5/25/2023,5/26/2023,
1744,5/25/2023,5/26/2023,
2799,5/30/2023,5/31/2023,
2871,5/30/2023,5/31/2023,
2138,5/30/2023,5/31/2023,
2853,5/31/2023,6/1/2023,
3280,5/31/2023,6/1/2023,
