Store Nbr,Store Location,Store Type Descr,Go Forward Trait,Go Forward Trait Desc,Mod Communication,Digital Signage for HD Storage
1,"ROGERS, AR1",BASE STR Supercenter,520562,03206036WRAWIRE,Heavy Duty Storage MOD CAT 520,NO
2,HARRISON AR2,BASE STR Supercenter,520554,02806036WRASTEEL,Heavy Duty Storage MOD CAT 520,NO
3,COMMERCE GA3,BASE STR Supercenter,54892,032W HDSTR TR 24,Heavy Duty Storage MOD CAT 520,NO
