Store,Dept,Inventory Dollars,Format
1,80,"$26,124.63",WM Supercenter
1,93,"$77,896.88",WM Supercenter
1,94,"$40,446.39",WM Supercenter
1,98,"$25,084.94",WM Supercenter
2,80,"$19,743.08",WM Supercenter
2,93,"$74,277.69",WM Supercenter
2,94,"$38,996.70",WM Supercenter
2,98,"$28,070.24",WM Supercenter
3,80,"$17,319.18",WM Supercenter
3,93,"$57,153.39",WM Supercenter
3,94,"$28,457.76",WM Supercenter
3,98,"$19,739.71",WM Supercenter
4,80,"$17,456.83",WM Supercenter
4,93,"$103,005.58",WM Supercenter
4,94,"$57,832.60",WM Supercenter
4,98,"$21,622.43",WM Supercenter
5,80,"$16,437.39",WM Supercenter
5,93,"$58,964.12",WM Supercenter
5,94,"$18,033.22",WM Supercenter
5,98,"$23,128.09",WM Supercenter
7,80,"$14,100.24",WM Supercenter
7,93,"$79,019.81",WM Supercenter
7,94,"$29,340.69",WM Supercenter
7,98,"$17,642.78",WM Supercenter
8,80,"$3,612.23",WM Supercenter
8,93,"$60,116.20",WM Supercenter
8,94,"$24,812.76",WM Supercenter
8,98,"$6,924.28",WM Supercenter
9,80,"$21,029.52",WM Supercenter
9,93,"$93,778.43",WM Supercenter
9,94,"$31,094.90",WM Supercenter
9,98,"$31,188.80",WM Supercenter
10,80,"$18,712.38",WM Supercenter
10,93,"$95,297.84",WM Supercenter
10,94,"$41,410.45",WM Supercenter
10,98,"$25,929.01",WM Supercenter
11,80,"$27,479.69",WM Supercenter
11,93,"$107,076.52",WM Supercenter
11,94,"$60,658.06",WM Supercenter
11,98,"$31,233.50",WM Supercenter
12,80,"$12,831.79",WM Supercenter
12,93,"$70,356.33",WM Supercenter
12,94,"$35,524.18",WM Supercenter
12,98,"$27,235.72",WM Supercenter
13,80,"$14,717.78",WM Supercenter
13,93,"$55,622.08",WM Supercenter
13,94,"$29,970.26",WM Supercenter
13,98,"$18,895.25",WM Supercenter
14,80,"$12,910.66",WM Supercenter
14,93,"$53,007.70",WM Supercenter
14,94,"$23,093.31",WM Supercenter
14,98,"$24,533.50",WM Supercenter
