Store,DC,Commodity,23-Dec,24-Dec,25-Dec,26-Dec,27-Dec,28-Dec,29-Dec
144,6082,FDD,1,1,1,1,1,1,1
145,6077,FDD,1,1,1,1,1,1,1
146,6056,FDD,1,0,1,1,1,1,1
147,6042,FDD,1,0,1,1,1,1,1
148,6042,FDD,1,0,1,1,1,1,1
149,7010,FDD,1,1,1,1,1,1,1
150,7015,FDD,1,1,1,1,1,1,1
151,6042,FDD,1,0,1,1,1,1,1
152,6077,FDD,1,0,1,1,1,1,1
153,6072,FDD,1,1,1,1,1,1,1
154,6097,FDD,1,0,1,1,1,1,1
155,6072,FDD,1,1,1,1,1,1,1
157,6082,FDD,1,0,1,1,1,1,1
158,6042,FDD,1,0,1,1,1,1,1
159,6077,FDD,1,1,1,1,1,1,1
160,6082,FDD,1,0,1,1,1,1,1
161,6072,FDD,1,0,1,1,1,1,1
162,6042,FDD,1,0,1,1,1,1,1
163,7010,FDD,1,1,1,1,1,1,1
164,6072,FDD,1,1,1,1,1,1,1
165,7010,FDD,1,1,1,1,1,1,1
166,6077,FDD,1,0,1,1,1,1,1
167,6082,FDD,1,0,1,1,1,0,1
168,7015,FDD,1,1,1,1,1,1,1
169,6082,FDD,1,0,0,1,1,1,0
170,7010,FDD,1,1,1,1,1,1,1
171,6082,FDD,1,0,1,1,1,1,1
172,6077,FDD,1,1,1,1,1,1,1
173,6077,FDD,1,0,1,1,1,1,1
174,6071,FDD,0,1,1,0,0,0,0
175,6072,FDD,1,1,1,1,1,1,1
177,6072,FDD,1,0,1,1,1,1,1
178,7015,FDD,1,1,1,1,1,1,1
179,6065,FDD,1,0,1,1,1,1,1
180,7010,FDD,1,1,1,1,1,1,1
181,6082,FDD,1,0,1,1,1,1,1
182,6072,FDD,1,0,1,1,1,1,1
183,6072,FDD,1,0,1,1,1,0,1
184,6065,FDD,1,1,1,1,1,1,1
185,6042,FDD,1,0,1,1,1,1,1
186,7015,FDD,1,0,1,1,1,1,1
188,6059,FDD,1,0,1,1,1,1,1
189,6077,FDD,1,1,1,1,1,1,1
190,6072,FDD,1,0,1,1,1,1,1
192,6062,FDD,1,1,1,1,1,1,1
194,7010,FDD,1,1,1,1,1,1,1
195,6065,FDD,1,1,1,1,1,1,1
196,6059,FDD,1,0,1,1,1,1,1
197,6077,FDD,1,1,1,1,1,1,1
198,6059,FDD,1,1,1,1,1,1,1
199,7024,FDD,1,1,1,1,1,1,1
200,6077,FDD,1,1,1,1,1,1,1
201,6059,FDD,1,0,1,1,1,1,1
202,6042,FDD,1,0,1,1,1,1,1
203,6077,FDD,1,1,1,1,1,1,1
204,6059,FDD,1,0,1,1,1,1,1
205,6072,FDD,1,0,1,1,1,1,1
206,6042,FDD,1,0,1,1,1,1,1
207,7015,FDD,1,0,1,1,1,1,1
209,6082,FDD,1,1,1,0,1,1,0
210,7015,FDD,0,0,1,0,1,0,1
211,6083,FDD,1,1,1,1,1,1,1
212,6042,FDD,1,1,1,1,1,1,1
213,6059,FDD,1,0,1,1,1,1,1
214,7010,FDD,1,0,1,1,1,1,1
