Store,Current DC,Support DC
5262,7019,6095
1462,7019,6095
1212,7019,6095
916,7019,6095
4189,7019,6095
1346,7019,6095
1101,7019,6095
1222,7019,6095
1229,7019,6095
934,7019,6095
5174,7019,6095
1493,7019,6095
700,7019,6095
3785,7019,6095
4756,7019,6095
5740,7019,6095
1260,7019,6095
4648,7019,6095
6166,7019,6095
6165,7019,6095
5744,7019,6095
4657,7019,6095
4672,7019,6095
6173,7019,6095
731,7019,6095
853,7019,6095
6849,7019,6095
5098,7019,6095
5771,7019,6095
5653,7019,6095
1174,7019,6095
740,7019,6095
866,7019,6095
4318,7019,6095
4210,7019,6095
4333,7019,6095
1066,7019,6095
991,7019,6095
5776,7019,6095
4581,7019,6095
887,7019,6095
2717,7019,6095
6531,7019,6095
1091,7019,6095
3271,7019,6095
785,7019,6095
423,7019,6095
424,7019,6095
425,7019,6095
2739,7019,6095
2748,7019,6095
8861,7019,6095
2760,7019,6095
904,7019,6095
919,7019,6099
483,7019,6099
1224,7019,6099
1362,7019,6099
930,7019,6099
938,7019,6099
818,7019,6099
944,7019,6099
5845,7019,6099
7247,7019,6099
3439,7019,6099
1134,7019,6099
1375,7019,6099
4407,7019,6099
5872,7019,6099
1032,7019,6099
2114,7019,6099
843,7019,6099
723,7019,6099
604,7019,6099
5623,7019,6099
734,7019,6099
1605,7019,6099
5769,7019,6099
4691,7019,6099
5422,7019,6099
3484,7019,6099
990,7019,6099
3119,7019,6099
1057,7019,6099
4582,7019,6099
1620,7019,6099
1638,7019,6099
4357,7019,6099
5348,7019,6099
3075,7019,6099
2534,7019,6099
2533,7019,6099
1207,7019,6099
