PrimaryKey,Rank,Markets
mlsData,1,6
mlsData,2,11
mlsData,3,12
mlsData,4,17
mlsData,5,36
mlsData,6,14
mlsData,7,29
mlsData,8,15
mlsData,9,30
mlsData,10,31
